1;CS;phpmyadmin;phpmyadmin_sig;dokuwiki;dokuwiki sig _;opencart;opencart sig _;phpbb;phpbb sig _;prestashop;prestashop sig _;vanilla;vanilla sig _;dolibarr;dolibarr sig _;roundcubemail;roundcubemail sig _;openemr;openemr sig _;kanboard;kanboard sig _
2;CS; cor_ts; sig; cor_ts; sig; cor_ts; sig; cor_ts; sig; cor_ts; sig; cor_ts; sig; cor_ts; sig; cor_ts; sig; cor_ts; sig; cor_ts; sig
3;CyclomaticComplexity ; 0.58 ;   *; 0.48 ; ; 0.03 ; ; -0.87 ;   *; 0.19 ; ; 0.67 ;   *; 0.41 ;   *; 0.4 ; ; -0.17 ; ; -0.21 ; 
4;NPathComplexity ; 0.61 ;   *; 0.56 ;   *; 0.06 ; ; -0.87 ;   *; 0.04 ; ; 0.65 ;   *; 0.46 ;   *; 0.33 ; ; -0.01 ; ; -0.27 ; 
5;ExcessiveMethodLength ; 0.5 ;   *; 0.37 ; ; 0.13 ; ; -0.87 ;   *; 0.2 ; ; 0.73 ;   *; 0.45 ;   *; 0.43 ;   *; 0.03 ; ; 0.16 ; 
6;ExcessiveClassLength ; 0.24 ;   *; 0.41 ; ; -0.17 ; ; -0.84 ;   *; 0.38 ;   *; 0.72 ;   *; 0.35 ;   *; 0.36 ; ; -0.05 ; ; -0.15 ; 
7;ExcessiveParameterList ; 0.6 ;   *; -0.33 ; ; 0.18 ; ; -0.48 ;   *; 0.41 ;   *; 0 ; ; 0.46 ;   *; 0.22 ; ; 0.32 ; ; 0.01 ; 
8;ExcessivePublicCount ; 0.4 ;   *; 0.03 ; ; -0.31 ; ; -0.56 ;   *; 0.33 ;   *; 0.75 ;   *; 0.36 ;   *; 0.22 ; ; 0.03 ; ; 0 ; 
9;TooManyFields ; 0.3 ;   *; 0.07 ; ; 1 ; ; -0.62 ;   *; 0.39 ;   *; 0.68 ;   *; 0.41 ;   *; 0.41 ;   *; -0.03 ; ; -0.22 ; 
10;TooManyMethods ; 0.21 ;   *; 0.13 ; ; -0.36 ; ; -0.66 ;   *; 0.21 ; ; 0.75 ;   *; 0.46 ;   *; 0.41 ;   *; -0.34 ; ; -0.01 ; 
11;TooManyPublicMethods ; 0.15 ; ; 0.52 ; ; 0.09 ; ; -0.82 ;   *; 0.21 ; ; 0.68 ;   *; 0.44 ;   *; 0.41 ;   *; -0.3 ; ; -0.08 ; 
12;ExcessiveClassComplexity ; 0.31 ;   *; 0.32 ; ; 0.09 ; ; -0.85 ;   *; 0.21 ; ; 0.73 ;   *; 0.42 ;   *; 0.31 ; ; -0.11 ; ; -0.36 ;   *
13;NumberOfChildren ; 0.05 ; ; 0.3 ; ; -0.21 ; ; -0.38 ; ; 0.4 ;   *; 0.53 ;   *; 0.48 ;   *; 1 ; ; 0.12 ; ; 0.02 ; 
14;DepthOfInheritance ; 0 ; ; 0 ; ; 0 ; ; 0 ; ; 0.03 ; ; 0 ; ; 0 ; ; 0 ; ; -0.74 ;   *; 0 ; 
