CS; p; issig
CyclomaticComplexity ; 0.87226765031715 ; 
NPathComplexity ; 0.687456047474579 ; 
ExcessiveMethodLength ; 0.711289798787959 ; 
ExcessiveClassLength ; 0.975202527564436 ; 
ExcessiveParameterList ; 0.708967999355791 ; 
ExcessivePublicCount ; 0.948689121134571 ; 
TooManyFields ; 0.890492776040894 ; 
TooManyMethods ; 0.845172239863683 ; 
TooManyPublicMethods ; 0.762056827818729 ; 
ExcessiveClassComplexity ; 0.918302856085765 ; 
NumberOfChildren ; 0.394198284805457 ; 
DepthOfInheritance ; all 0 ; 0
CouplingBetweenObjects ; 0.396662691605237 ; 
DevelopmentCodeFragment ; 0.398946270508239 ; 
UnusedPrivateField ; 0.788334928146163 ; 
UnusedLocalVariable ; 0.790680465689786 ; 
UnusedPrivateMethod ; 0.922432527758601 ; 
UnusedFormalParameter ; 0.955278283917086 ; 
embed.JS ; 0.710729008345947 ; 
inline.JS ; 0.909258638971328 ; 
embed.CSS ; 0.236003336242383 ; 
inline.CSS ; 0.642872455483124 ; 
css.in.JS ; 0.758639383989052 ; 
css.in.JS..jquery ; 0.131180117295676 ; 
max.lines ; 0.40848141849764 ; 
max.lines.per.function ; 0.962595023698431 ; 
max.params ; 0.132276491532063 ; 
complexity ; 0.262438863831158 ; 
max.depth ; 0.299823824820556 ; 
max.nested.callbacks ; 0.56179568539364 ; 
