CS; p; issig
CyclomaticComplexity ; 3.29837906793884e-05 ; *
NPathComplexity ; 2.42521246827889e-05 ; *
ExcessiveMethodLength ; 2.78257421426669e-05 ; *
ExcessiveClassLength ; 0.000396220040562509 ; *
ExcessiveParameterList ; 0.225121849439795 ; 
ExcessivePublicCount ; 0.203206404800868 ; 
TooManyFields ; 0.0277484159109343 ; *
TooManyMethods ; 0.142267058726631 ; 
TooManyPublicMethods ; 0.00128729777082242 ; *
ExcessiveClassComplexity ; 0.000305789353826487 ; *
NumberOfChildren ; 0.420056116830896 ; 
DepthOfInheritance ; all 0 ; 0
CouplingBetweenObjects ; 0.440886152271297 ; 
DevelopmentCodeFragment ; 0.0762061468528939 ; 
UnusedPrivateField ; all 0 ; 0
UnusedLocalVariable ; 0.00273642498512119 ; *
UnusedPrivateMethod ; 0.763897457252554 ; 
UnusedFormalParameter ; 0.000820483135641596 ; *
embed.JS ; 0.000995004393030072 ; *
inline.JS ; 0.00146753886040439 ; *
embed.CSS ; 0.335378825441262 ; 
inline.CSS ; 0.00024329639628898 ; *
css.in.JS ; 5.17404138796142e-05 ; *
css.in.JS..jquery ; 0.318838704570651 ; 
max.lines ; 0.000994103332561929 ; *
max.lines.per.function ; 0.0104485261215309 ; *
max.params ; 0.24062166182119 ; 
complexity ; 0.263969886028136 ; 
max.depth ; 0.308312451322235 ; 
max.nested.callbacks ; 0.33086052230522 ; 
