CS; p; issig
CyclomaticComplexity ; 0.356683028517619 ; 
NPathComplexity ; 0.357487183682483 ; 
ExcessiveMethodLength ; 0.435322046868535 ; 
ExcessiveClassLength ; 0.276450238386911 ; 
ExcessiveParameterList ; 0.598789387539475 ; 
ExcessivePublicCount ; 0.436215307714492 ; 
TooManyFields ; all the same value= ; 1
TooManyMethods ; 0.463374263296081 ; 
TooManyPublicMethods ; 0.380130160558012 ; 
ExcessiveClassComplexity ; 0.378749152709365 ; 
NumberOfChildren ; 0.328047583368872 ; 
DepthOfInheritance ; all 0 ; 0
CouplingBetweenObjects ; 0.328047583368872 ; 
DevelopmentCodeFragment ; 0.476574104398545 ; 
UnusedPrivateField ; 0.54923200579723 ; 
UnusedLocalVariable ; 0.264105336311945 ; 
UnusedPrivateMethod ; 0.474586810198795 ; 
UnusedFormalParameter ; 0.370680675418483 ; 
embed.JS ; 0.337808462180283 ; 
inline.JS ; 0.711803219605423 ; 
embed.CSS ; 0.685940054037222 ; 
inline.CSS ; 0.538939686250526 ; 
css.in.JS ; 0.392844900846251 ; 
css.in.JS..jquery ; 0.561409366382863 ; 
max.lines ; 0.266726691789584 ; 
max.lines.per.function ; 0.288634426719323 ; 
max.params ; 0.415482559493436 ; 
complexity ; 0.344321071089587 ; 
max.depth ; 0.774616658838048 ; 
max.nested.callbacks ; 0.327855471078832 ; 
