CS; p; issig
CyclomaticComplexity ; 0.0522962075908484 ; 
NPathComplexity ; 0.0395880817434834 ; *
ExcessiveMethodLength ; 0.0285800305312949 ; *
ExcessiveClassLength ; 0.0443247382202691 ; *
ExcessiveParameterList ; all 0 ; 0
ExcessivePublicCount ; 0.0980028331916841 ; 
TooManyFields ; 0.0457949954280366 ; *
TooManyMethods ; 0.046156942631963 ; *
TooManyPublicMethods ; 0.0604450547558081 ; 
ExcessiveClassComplexity ; 0.0930576830462284 ; 
NumberOfChildren ; 0.0841045349531356 ; 
DepthOfInheritance ; all 0 ; 0
CouplingBetweenObjects ; 0.345599030141045 ; 
DevelopmentCodeFragment ; 0.0523993850163533 ; 
UnusedPrivateField ; 0.301239447137462 ; 
UnusedLocalVariable ; 0.0701620629608408 ; 
UnusedPrivateMethod ; 0.624640754054849 ; 
UnusedFormalParameter ; 0.100892307247923 ; 
embed.JS ; 0.10109237429645 ; 
inline.JS ; 0.0142435613294031 ; *
embed.CSS ; 0.0853917924657794 ; 
inline.CSS ; 0.660313563504455 ; 
css.in.JS ; 0.0538357979295315 ; 
css.in.JS..jquery ; 0.0182224197115085 ; *
max.lines ; 0.0251751871853606 ; *
max.lines.per.function ; 0.0316639689114738 ; *
max.params ; 0.176718926910285 ; 
complexity ; 0.115398507644585 ; 
max.depth ; 0.0927485207355865 ; 
max.nested.callbacks ; 0.0448729556402862 ; *
