CS; p; issig
CyclomaticComplexity ; 0.0364861012059037 ; *
NPathComplexity ; 0.0243222268160275 ; *
ExcessiveMethodLength ; 0.11723087336822 ; 
ExcessiveClassLength ; 0.512455982790366 ; 
ExcessiveParameterList ; 0.153575862680053 ; 
ExcessivePublicCount ; 0.500277819538073 ; 
TooManyFields ; 0.406734229752333 ; 
TooManyMethods ; 0.994917434038741 ; 
TooManyPublicMethods ; 0.0535690920685301 ; 
ExcessiveClassComplexity ; 0.0184813030395535 ; *
NumberOfChildren ; 0.00145451901312094 ; *
DepthOfInheritance ; all 0 ; 0
CouplingBetweenObjects ; 0.0896478191735832 ; 
DevelopmentCodeFragment ; 0.0419217732478252 ; *
UnusedPrivateField ; all 0 ; 0
UnusedLocalVariable ; 0.0481784187212889 ; *
UnusedPrivateMethod ; all 0 ; 0
UnusedFormalParameter ; 0.180390126398479 ; 
embed.JS ; 0.0256098695971068 ; *
inline.JS ; 0.458672354742307 ; 
embed.CSS ; 0.567359683199367 ; 
inline.CSS ; 0.186929650993121 ; 
css.in.JS ; 0.0462863903620419 ; *
css.in.JS..jquery ; 0.784238380724398 ; 
max.lines ; 0.620561779605082 ; 
max.lines.per.function ; 0.0312359873371891 ; *
max.params ; 0.150710149113009 ; 
complexity ; 0.0408069301316591 ; *
max.depth ; 0.953897504593719 ; 
max.nested.callbacks ; 0.995972966867546 ; 
