CS; p; issig
CyclomaticComplexity ; 0.660302419939737 ; 
NPathComplexity ; 0.690526624916949 ; 
ExcessiveMethodLength ; 0.644725279024857 ; 
ExcessiveClassLength ; 0.519772994520296 ; 
ExcessiveParameterList ; 0.569637131033243 ; 
ExcessivePublicCount ; 0.497623208204637 ; 
TooManyFields ; 0.580885708054244 ; 
TooManyMethods ; 0.582840320355147 ; 
TooManyPublicMethods ; 0.639997208619938 ; 
ExcessiveClassComplexity ; 0.622257774871407 ; 
NumberOfChildren ; all the same value= ; 1
DepthOfInheritance ; all 0 ; 0
CouplingBetweenObjects ; 0.665234576145673 ; 
DevelopmentCodeFragment ; 0.524620603038036 ; 
UnusedPrivateField ; 0.624544738458157 ; 
UnusedLocalVariable ; 0.872024164222711 ; 
UnusedPrivateMethod ; 0.569637131033243 ; 
UnusedFormalParameter ; 0.606288830187356 ; 
embed.JS ; 0.718379812423858 ; 
inline.JS ; 0.852405299342247 ; 
embed.CSS ; 0.79940759301519 ; 
inline.CSS ; 0.793952321412999 ; 
css.in.JS ; 0.608143139682009 ; 
css.in.JS..jquery ; 0.701616511854051 ; 
max.lines ; 0.808639030618458 ; 
max.lines.per.function ; 0.831809142531229 ; 
max.params ; 0.927742290245927 ; 
complexity ; 0.881526025415867 ; 
max.depth ; 0.652559747085081 ; 
max.nested.callbacks ; 0.923433399103826 ; 
