CS; p; issig
CyclomaticComplexity ; 3.68312932495e-05 ; *
NPathComplexity ; 0.000155012470990875 ; *
ExcessiveMethodLength ; 0.000131146749438907 ; *
ExcessiveClassLength ; 2.70206993749161e-05 ; *
ExcessiveParameterList ; 0.0575226495344798 ; 
ExcessivePublicCount ; 0.191021364222586 ; 
TooManyFields ; 0.00799580723139864 ; *
TooManyMethods ; 0.13014746308899 ; 
TooManyPublicMethods ; 0.0376484387541037 ; *
ExcessiveClassComplexity ; 2.1537947038267e-05 ; *
NumberOfChildren ; 0.407830925242766 ; 
DepthOfInheritance ; all 0 ; 0
CouplingBetweenObjects ; 0.428314928938028 ; 
DevelopmentCodeFragment ; 0.0961494191083296 ; 
UnusedPrivateField ; all 0 ; 0
UnusedLocalVariable ; 0.154999716862849 ; 
UnusedPrivateMethod ; 0.76389683508015 ; 
UnusedFormalParameter ; 5.99972273873634e-05 ; *
embed.JS ; 0.720702625584233 ; 
inline.JS ; 0.430902669303461 ; 
embed.CSS ; 4.52957150614485e-05 ; *
inline.CSS ; 0.397433341999819 ; 
css.in.JS ; 0.0166291547472191 ; *
css.in.JS..jquery ; 0.331879986812686 ; 
max.lines ; 3.08520255692566e-05 ; *
max.lines.per.function ; 0.00240239450188483 ; *
max.params ; 0.212538853709349 ; 
complexity ; 0.391364140272885 ; 
max.depth ; 0.30876735611004 ; 
max.nested.callbacks ; 0.334101221411246 ; 
