CS; p; issig
CyclomaticComplexity ; 0.743106090001175 ; 
NPathComplexity ; 0.875073588339394 ; 
ExcessiveMethodLength ; 0.793152487821763 ; 
ExcessiveClassLength ; 0.369841683851209 ; 
ExcessiveParameterList ; 0.109365228499072 ; 
ExcessivePublicCount ; 0.507450186146886 ; 
TooManyFields ; 0.450799172839672 ; 
TooManyMethods ; 0.393762137795211 ; 
TooManyPublicMethods ; 0.661001450426819 ; 
ExcessiveClassComplexity ; 0.773474145064163 ; 
NumberOfChildren ; 0.0106485417383076 ; *
DepthOfInheritance ; 0.887404357684888 ; 
CouplingBetweenObjects ; 0.107810971441369 ; 
DevelopmentCodeFragment ; 0.437077009805038 ; 
UnusedPrivateField ; 0.0454181784509387 ; *
UnusedLocalVariable ; 0.379012462099699 ; 
UnusedPrivateMethod ; 0.08776389366763 ; 
UnusedFormalParameter ; 0.804465663569279 ; 
embed.JS ; 0.586404814723941 ; 
inline.JS ; 0.295058788684574 ; 
embed.CSS ; 0.0253830109113872 ; *
inline.CSS ; 0.762174632038087 ; 
css.in.JS ; 0.416844504457102 ; 
css.in.JS..jquery ; 0.690448420014561 ; 
max.lines ; 0.609107561631519 ; 
max.lines.per.function ; 0.996549307067146 ; 
max.params ; 0.00322889501167738 ; *
complexity ; 0.00903697667162349 ; *
max.depth ; 0.215524550459315 ; 
max.nested.callbacks ; 0.048943951908817 ; *
