1;CS;phpmyadmin;phpmyadmin_sig;dokuwiki;dokuwiki sig _;opencart;opencart sig _;phpbb;phpbb sig _;prestashop;prestashop sig _;vanilla;vanilla sig _;dolibarr;dolibarr sig _;roundcubemail;roundcubemail sig _;openemr;openemr sig _;kanboard;kanboard sig _
2;CyclomaticComplexity ;0.353835339770981; ;0.159956193027679; ;0.259594805270545; ;0.00131771999629508; *;0.801186460739804; ;0.573367853104422; ;0.245213342695443; ;0.940954551303423; ;0.192762265833256; ;0.569218091320094; 
3;NPathComplexity ;0.312054505473627; ;0.155310578236989; ;0.520673385581043; ;0.00410559269671606; *;0.858224953462625; ;0.425013323029144; ;0.0258254045907955; *;0.985215569082378; ;0.249679229721594; ;0.66935016059198; 
4;ExcessiveMethodLength ;0.108753121626539; ;0.0790914226656385; ;0.221216026225188; ;0.00389028678295262; *;0.875963574982933; ;0.0192334742661202; *;0.0730570685723709; ;0.91883210186135; ;0.241231428598436; ;0.332149854609422; 
5;ExcessiveClassLength ;0.00141812401972227; *;0.292778377758749; ;0.233285889507167; ;0.000405446026599768; *;0.59911389618688; ;0.183991040514632; ;0.91921483041535; ;0.820861005690404; ;0.239439348450119; ;1; unique <=3
6;ExcessiveParameterList ;0.728145247315667; ;1; unique <=3;1; unique <=3;0.281696070586673; ;0.508761594004442; ;1; 0;0.022156624929651; *;1; unique <=3;0.10587765583185; ;0.741837579908123; 
7;ExcessivePublicCount ;0.0399306682535052; *;0.291789770391363; ;0.685904054833277; ;0.243190695806717; ;0.71280245609944; ;0.961582634775047; ;0.0538406497827029; ;1; unique <=3;0.297136308601776; ;1; 0
8;TooManyFields ;0.508086346097371; ;0.594883171612409; ;1;  all cs=1;0.0156637690110601; *;0.699437404562842; ;0.238118507958097; ;0.193275833099361; ;1; unique <=3;0.202128873521134; ;1; unique <=3
9;TooManyMethods ;0.207825431008205; ;0.333019709435147; ;0.62430269108571; ;0.150476235947381; ;0.526533503638044; ;0.000515565542924834; *;0.134012235198975; ;0.855312801528746; ;0.911191932665401; ;1; unique <=3
10;TooManyPublicMethods ;0.00310412491191977; *;0.232450038926834; ;0.282821064560367; ;0.0393013520258455; *;0.788640428384256; ;0.361610310216731; ;0.466029836073187; ;0.879512311662048; ;0.119784890491926; ;0.40183168321183; 
11;ExcessiveClassComplexity ;0.00866355341383389; *;0.0215181861322517; *;0.438256765603754; ;0.000403217465211996; *;0.794990905309819; ;0.386378233327645; ;0.220832457670098; ;0.856395521840977; ;0.126954690120219; ;0.633399663923641; 
12;NumberOfChildren ;0.014115840950607; *;1; unique <=3;1; unique <=3;1; unique <=3;0.127383568679863; ;0.94054913527631; ;0.786650614326903; ;1;  all cs=1;0.1752066729101; ;0.49285859290271; 
13;DepthOfInheritance ;1; 0;1; 0;1; 0;1; 0;1; unique <=3;1; 0;1; 0;1; 0;1; unique <=3;1; 0
14;CouplingBetweenObjects ;0.00129807638292127; *;1; unique <=3;1; unique <=3;0.549026434331416; ;0.392236484936445; ;0.590013167836891; ;0.894081406865142; ;1; unique <=3;0.102119459756981; ;0.651606879495193; 
15;DevelopmentCodeFragment ;0.00205062402331305; *;0.587553727904987; ;0.214515522338763; ;1; unique <=3;0.718244890199217; ;0.0799486236315186; ;1; unique <=3;1; unique <=3;0.791370722006437; ;1; 0
16;UnusedPrivateField ;0.176585303158437; ;1; 0;0.135129276953006; ;1; 0;0.266827024453133; ;1; unique <=3;0.368456306637809; ;1; unique <=3;1; unique <=3;1; 0
17;UnusedLocalVariable ;0.093672075437347; ;0.313283553572195; ;0.370081492704231; ;0.277021333596128; ;0.876845230517035; ;0.00562881285671711; *;0.0736657260929384; ;0.643203213929686; ;0.143901879047369; ;0.244365663074581; 
18;UnusedPrivateMethod ;0.896079511873564; ;1; 0;1; unique <=3;1; unique <=3;0.300282388575713; ;0.215445357357829; ;0.480557698669446; ;1; unique <=3;0.43333186143265; ;1; unique <=3
19;UnusedFormalParameter ;0.385546986251157; ;0.671637847008635; ;0.269652965975798; ;0.00101266995935397; *;0.83198580899491; ;0.507077027725644; ;0.118334223710603; ;0.790961374132949; ;0.478965462383814; ;0.213507666013297; 
20;embed.JS ;0.44143520574336; ;0.202002957894971; ;0.237236998593343; ;0.937673830592401; ;0.930074410932805; ;0.00226936351056984; *;0.10603869892932; ;0.798664949843396; ;0.65426957293202; ;1; unique <=3
21;inline.JS ;0.276664732648491; ;0.706713922739412; ;0.125325114904009; ;0.822415986699177; ;0.591433103231013; ;0.17027726204957; ;0.059862478353277; ;0.84915200760676; ;0.755551070196298; ;1; 0
22;embed.CSS ;0.407400858001817; ;1; unique <=3;0.864563108916246; ;0.000581212419334779; *;0.365613711577938; ;0.651600010813819; ;0.578849991320124; ;1; unique <=3;0.689635009553526; ;0.69661923475153; 
23;inline.CSS ;0.705347873755537; ;0.433049054831564; ;0.14974884339998; ;0.727380020210377; ;0.946845227622656; ;0.0628370009648086; ;0.0471913443414514; *;0.847915588787922; ;0.70315814527445; ;0.654631363640863; 
24;css.in.JS ;0.387137467107325; ;0.306123666695398; ;0.206246263738427; ;0.0886277930753804; ;0.830120260750532; ;0.29764417577002; ;0.682666173003228; ;0.804521770060435; ;0.111643286263646; ;0.748878873680786; 
25;css.in.JS..jquery ;0.687719079437622; ;0.893867560757929; ;0.191430491796147; ;0.385727859094649; ;0.815792766134506; ;0.389892058851924; ;0.198477089597324; ;0.831152109526844; ;0.284506045057447; ;0.0859865242237577; 
26;max.lines ;0.380775348569662; ;0.714123420913256; ;0.253699010295589; ;0.000914758757206907; *;0.901662117742944; ;0.00815242606108441; *;0.159641736196371; ;0.844955956132015; ;0.875123039364907; ;0.772570280824611; 
27;max.lines.per.function ;0.162721029372749; ;0.45242407227528; ;0.506809865314562; ;0.0054753130393712; *;0.986573968221124; ;0.00049942254527026; *;0.402718418704699; ;0.879624649849582; ;0.944363913590522; ;0.705187220474558; 
28;max.params ;0.784719026474569; ;0.844864220209842; ;0.109258072410673; ;0.246042273206134; ;0.0657656207765216; ;0.94621032679186; ;0.104648812747718; ;0.872593412170156; ;0.0422638085600024; *;0.789100692901846; 
29;complexity ;0.779511379001805; ;0.505738037144717; ;0.1067392911149; ;0.430386257945883; ;0.100187710832594; ;0.838490596340369; ;0.187606388424896; ;0.858711161903388; ;0.0444214730269511; *;0.766222256173732; 
30;max.depth ;0.862929450658351; ;0.890390776787501; ;0.0918684782428782; ;1; unique <=3;0.673950917671108; ;0.871791633908771; ;0.235156237615401; ;0.799921950093374; ;0.222036005106675; ;0.761395389288253; 
31;max.nested.callbacks ;0.551615743939874; ;1; unique <=3;0.50713698049275; ;0.386282839013905; ;0.22308816593841; ;0.0177091759061457; *;0.518650394513366; ;0.812856254868238; ;0.290938828608973; ;0.847157946990706; 
