1;CS;phpmyadmin;phpmyadmin_sig;dokuwiki;dokuwiki sig _;opencart;opencart sig _;phpbb;phpbb sig _;prestashop;prestashop sig _;vanilla;vanilla sig _;dolibarr;dolibarr sig _;roundcubemail;roundcubemail sig _;openemr;openemr sig _;kanboard;kanboard sig _;;total sig;;26;;;;
2;CyclomaticComplexity ;0.731783918; ;0.177682459; ;0.557697432; ;0.438000364; ;0.876671937; ;0.000137524; *;0.684788428; ;0.549680538; ;0.682712672; ;0.194158323; ;;      *    ;*;1;      #    ;•;      |    ;|
3;NPathComplexity ;0.648547712; ;0.155786229; ;0.256765069; ;0.337026087; ;0.891474502; ;0.119435506; ;0.826954362; ;0.581651633; ;0.888437344; ;0.582311479; ;;          ;;0;          ;;          ;
4;ExcessiveMethodLength ;0.489662758; ;0.244914747; ;0.397867751; ;0.448275856; ;0.887269074; ;0.022900664; *;0.646070526; ;0.457612727; ;0.041952691; *;0.511123183; ;;      *   * ;**;2;      #   # ;••;      |   | ;||
5;ExcessiveClassLength ;0.124049161; ;0.196794476; ;0.450042814; ;0.039099051; *;0.69192666; ;0.01529501; *;0.685334448; ;0.400906158; ;0.26814781; ;1;;;    *  *   ;**;2;    #  #   ;••;    |  |   ;||
6;ExcessiveParameterList ;0.211098218; ;1;;1;;0.171810066; ;0.750769029; ;1;;0.212097766; ;1;;0.301290042; ;0.888846567; ;;      ;;0;      ;;      ;
7;ExcessivePublicCount ;0.626682668; ;0.175529888; ;0.230869502; ;0.092416095; ;0.75079295; ;0.662484792; ;0.714673642; ;1;;0.843600417; ;1;;;        ;;0;        ;;        ;
8;TooManyFields ;0.922196214; ;0.160925188; ;1;;0.367128658; ;0.821444559; ;0.719311632; ;0.346108956; ;1;;0.898802545; ;1;;;       ;;0;       ;;       ;
9;TooManyMethods ;0.685563103; ;0.127044089; ;0.256022771; ;0.128162853; ;0.719813261; ;0.243055934; ;0.401260322; ;0.410899838; ;0.679065758; ;1;;;         ;;0;         ;;         ;
10;TooManyPublicMethods ;0.051907729; ;0.238081497; ;0.69298084; ;0.561768777; ;0.904779786; ;0.257660367; ;0.49596842; ;0.424880772; ;0.422481697; ;0.648681301; ;;          ;;0;          ;;          ;
11;ExcessiveClassComplexity ;0.287829257; ;0.462940086; ;0.844366531; ;0.076705853; ;0.852212997; ;0.259984325; ;0.845433385; ;0.404539011; ;0.232523476; ;0.707141179; ;;          ;;0;          ;;          ;
12;NumberOfChildren ;0.206842551; ;1;;1;;1;;0.327163985; ;0.028213423; *;0.513993091; ;1;;0.608843993; ;0.675394781; ;;   *   ;*;1;   #   ;•;   |   ;|
13;DepthOfInheritance ;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;;;;0;;;;
14;CouplingBetweenObjects ;0.076537693; ;1;;1;;0.551719021; ;0.752150006; ;0.963026852; ;0.993217864; ;1;;0.282889239; ;0.801423681; ;;       ;;0;       ;;       ;
15;DevelopmentCodeFragment ;0.006622987; *;0.167779804; ;0.321696376; ;1;;0.567658953; ;0.793358763; ;1;;1;;0.086893661; ;1;;; *     ;*;1; #     ;•; |     ;|
16;UnusedPrivateField ;0.909262068; ;1;;0.309945843; ;1;;0.676394229; ;1;;0.993226748; ;1;;1;;1;;;    ;;0;    ;;    ;
