1;CS;phpmyadmin;dokuwiki;opencart;phpbb;prestashop;vanilla;dolibarr;roundcubemail;openemr;kanboard
2;CyclomaticComplexity ;0.786467828503006;0.0986541941041213;0.461530540223121;1.35184942472934e-07;0.618419823567132;0.165042897858337;0.137951203775914;0.813945030091737;0.747538299430235;0.0923964702624311
3;NPathComplexity ;0.762783894901653;0.0730223111831183;0.344827961626462;3.71271890288897e-05;0.638087457144873;0.791831323888346;0.0305207514116438;0.953154492146727;0.716887576493152;0.659366474762502
4;ExcessiveMethodLength ;0.322924665937232;0.121515356074309;0.161383863503114;5.80893508012155e-06;0.688679490889667;0.0507136166914942;0.0431236545696594;0.763204347997557;0.106424568688557;0.645293760543541
5;ExcessiveClassLength ;0.00945712815117692;0.12799562761379;0.817372831784055;3.65199393722883e-15;0.392776954666408;0.11637081742089;0.788230142549457;0.654435990942942;0.183229023035932;0.573496143092434
6;ExcessiveParameterList ;0.756778279021347;0.0422562452579928;0.778285874695295;0.247767937213143;0.316620532117368;1;0.0110727415572045;0.625659349574832;0.182250065363804;0.648267238332455
7;ExcessivePublicCount ;0.29870338283594;0.100935276497551;0.494816107287894;0.244163167226259;0.489596209785942;0.963815837773299;0.0992298956646286;0.536793163624593;0.750490486638842;1
8;TooManyFields ;0.855335626485781;0.0450168282255649;1;0.00226447708065723;0.581945645216915;0.375673821139381;0.371702245291682;0.457328957948859;0.671113640291788;0.762554064589079
9;TooManyMethods ;0.300591113124854;0.366313342695131;0.462593733465552;0.16604461215583;0.324219804132736;0.105796432169169;0.192666423864646;0.67075176359276;0.791182313539328;0.42731740292517
10;TooManyPublicMethods ;0.00237090706899061;0.124488904743767;0.384872254841685;0.0293524560228143;0.606218307660947;0.586153886671899;0.754010234328695;0.751943599757654;0.381842803984733;0.286477830493453
11;ExcessiveClassComplexity ;0.0228969317767671;0.0845868562008517;0.8251857930077;2.71844086227078e-15;0.583353718631862;0.270025422573737;0.196521901820426;0.722794771428358;0.298422926303566;0.732641466605838
12;NumberOfChildren ;0.0171310825024836;0.0151874539213555;0.366899366993158;0.541484882942934;0.0389908318839966;0.676708398807762;0.356365322296743;1;0.708901723886514;0.201886356111955
13;DepthOfInheritance ;1;1;1;1;0.238797763810319;1;1;1;0.843242524081204;1
14;CouplingBetweenObjects ;0.009960382089924;0.599641449600726;0.19646245408465;0.575411998643167;0.305875538146978;0.694628131538087;0.974630953060515;0.927897407406558;0.214791036640289;0.98056919938843
15;DevelopmentCodeFragment ;0.000437565226643902;0.141841659601803;0.586046647716006;0.28123043880324;0.457946140509578;0.496989934358361;0.442548766294111;0.49489619129825;0.966643186405566;1
16;UnusedPrivateField ;0.988540663600309;1;0.294751818697421;1;0.24894549705684;0.648029902031664;0.613956473244847;0.66822166154266;0.00265674008102971;1
17;UnusedLocalVariable ;0.966653264440563;0.250860537179617;0.167925648257161;0.211197908297865;0.855499611062743;0.486023022275091;0.0132047410042798;0.929181496589684;0.201844788078321;0.434529233258846
18;UnusedPrivateMethod ;0.899000291423472;1;0.376323172747425;0.900935944336175;0.249190947523023;0.202634189043753;0.435964103009785;0.625659349574832;0.620132634517377;0.778176989586289
19;UnusedFormalParameter ;0.657414054976072;0.155611943576137;0.240630320860832;2.1027944670036e-08;0.768226089035859;0.0559502624357629;0.0904314016747936;0.570882240034597;0.879004925703591;0.729733116522648
20;embed.JS ;0.670911049170905;0.475515276372289;0.224723158676407;0.941009520228453;0.899612552875545;0.222603138586888;0.160926057031752;0.776460092816863;0.000467042752018191;0.00511238288327811
21;inline.JS ;0.676698794045135;0.874982645321633;0.41234949596958;0.814469516306784;0.490828298915101;0.0959820070868394;0.0332354363668284;0.762828885890889;0.000579171421675063;1
22;embed.CSS ;0.954266558703155;0.95732949305313;0.541503737522292;1.50987455315036e-12;0.0844560821075544;0.117856592149956;0.967713636645393;0.819574364475306;0.0011901685579544;0.611116590990313
23;inline.CSS ;0.675803753412991;0.885769348262898;0.289471602612432;0.733827704628635;0.592985765809188;0.0668374499527512;0.0448433208433191;0.754468212324414;0.000350948341217174;0.602699430605459
24;css.in.JS ;0.687127309857856;0.441229209628868;0.761793575686732;0.0623965375472653;0.841398867464;0.36936795623848;0.906589930163411;0.663835622227329;0.458505622997199;0.303273781174593
25;css.in.JS..jquery ;0.826121482460667;0.968627786630996;0.710782150816261;0.41572566965171;0.734078420587905;0.318585779515819;4.8842665621616e-05;0.743329678837055;0.000184680055706689;0.115900636871321
26;max.lines ;0.676624063611608;0.956806311572302;0.107949043348667;2.4008693596733e-09;0.873745226195963;0.031691409731376;0.150541160697481;0.950045535140461;0.408859246097607;0.675529963508785
27;max.lines.per.function ;0.767967736855033;0.206953208447854;0.282175910688066;0.000131420393536322;0.998761584357797;0.461542152144908;0.337778240780632;0.966062623178367;0.0172236881623343;0.714514485290629
28;max.params ;0.949801967361843;0.236649935942041;0.302749892249896;0.262998149181658;0.0231251662859966;0.625608405296752;0.00450087957822773;0.957398940153316;0.201506670495983;0.842282676988226
29;complexity ;0.947193830638157;0.103433200234849;0.311573628672006;0.479530943323826;0.0498241677481987;0.707660943888717;0.00285415037709764;0.957065906834733;0.0684453175460899;0.83714806154392
30;max.depth ;0.938602311297898;0.888103994353412;0.364159599659449;0.384240092454609;0.533647229102738;0.282806362055407;0.0022684687779868;0.684142877489526;0.0581664771945554;0.811408983755419
31;max.nested.callbacks ;0.99197512194309;0.968096705246236;0.270272478276893;0.42160968913737;0.210093830716348;0.275935191836436;0.880486683916215;0.883692385427224;0.00125991939640862;0.750599637171523
