1;CS;phpmyadmin;phpmyadmin_sig;dokuwiki;dokuwiki sig _;opencart;opencart sig _;phpbb;phpbb sig _;prestashop;prestashop sig _;vanilla;vanilla sig _;dolibarr;dolibarr sig _;roundcubemail;roundcubemail sig _;openemr;openemr sig _;kanboard;kanboard sig _
2;CyclomaticComplexity ;0.974618619580131; ;0.074561725458339; ;0.755716775376453; ;0.0452817340219723; *;0.79805108933918; ;0.00252660517637116; *;0.394382269160425; ;0.912038617632175; ;0.786914655190401; ;0.0270884414034134; *
3;NPathComplexity ;0.996150005897257; ;0.0863841084022392; ;0.656952369879923; ;0.0374460537072241; *;0.818609384157806; ;0.15248028593164; ;0.81250872951072; ;0.991548495668837; ;0.716837577342413; ;0.2681654476882; 
4;ExcessiveMethodLength ;0.844639725104167; ;0.0393587309066248; *;0.7741928709973; ;0.0543373557912492; ;0.793599659326913; ;0.0211937406763317; *;0.578423288973729; ;0.854648342324788; ;0.0277073998060371; *;0.023845324903976; *
5;ExcessiveClassLength ;0.0880303063597638; ;0.045550732160203; *;0.0303342586232244; *;0.0566451742154646; ;0.594377392082694; ;0.247972342523448; ;0.686351840256161; ;0.714429016911178; ;0.0629071231974591; ;1; unique <=3
6;ExcessiveParameterList ;0.622712150544102; ;1; unique <=3;1; unique <=3;0.0255093925640629; *;0.680209196552892; ;1; 0;0.217573597926745; ;1; unique <=3;0.0428038869977439; *;0.523612090112256; 
7;ExcessivePublicCount ;0.542844235942389; ;0.0461724126747525; *;0.446026457782675; ;0.0169123044763788; *;0.655990765994308; ;0.66157377288492; ;0.595854235425415; ;1; unique <=3;0.877727733875467; ;1; 0
8;TooManyFields ;0.807015437570237; ;0.037327746940294; *;1;  all cs=1;0.0402482997604458; *;0.758046603942705; ;0.925368789447741; ;0.203253780735024; ;1; unique <=3;0.767780611105953; ;1; unique <=3
9;TooManyMethods ;0.771069560176099; ;0.190792581179996; ;0.445086100175939; ;0.157796328523284; ;0.58776785491569; ;0.347888146635158; ;0.547138620558947; ;0.726308940944631; ;0.894532843196011; ;1; unique <=3
10;TooManyPublicMethods ;0.263667067409088; ;0.154569017114357; ;0.895656330067215; ;0.184732942791103; ;0.869471918723263; ;0.230737879039587; ;0.363737158205991; ;0.87551712815549; ;0.580226115075652; ;0.0475902141213626; *
11;ExcessiveClassComplexity ;0.160418551446284; ;0.0914165748285668; ;0.301373411118282; ;0.0393956403440946; *;0.767661041242494; ;0.5601716016208; ;0.310277798864235; ;0.797778273259969; ;0.299907390667408; ;0.0236353666034664; *
12;NumberOfChildren ;0.499146036303238; ;1; unique <=3;1; unique <=3;1; unique <=3;0.233534760726283; ;0.035543224616166; *;0.286842575273481; ;1;  all cs=1;0.907280169017119; ;0.242637020351078; 
13;DepthOfInheritance ;1; 0;1; 0;1; 0;1; 0;1; unique <=3;1; 0;1; 0;1; 0;1; unique <=3;1; 0
14;CouplingBetweenObjects ;0.00600289480891283; *;1; unique <=3;1; unique <=3;0.0989404831788469; ;0.615023402342986; ;0.790504834894698; ;0.745035005914445; ;1; unique <=3;0.0672449988086943; ;0.446742280942606; 
15;DevelopmentCodeFragment ;0.0128244240034601; *;0.352328918359347; ;0.443052881133729; ;1; unique <=3;0.486932531694974; ;0.711206619545957; ;1; unique <=3;1; unique <=3;0.188266124277842; ;1; 0
16;UnusedPrivateField ;0.803019488262155; ;1; 0;0.863016604938823; ;1; 0;0.372267477580163; ;1; unique <=3;0.845372864328975; ;1; unique <=3;1; unique <=3;1; 0
17;UnusedLocalVariable ;0.886410686793186; ;0.772881071268333; ;0.258448236316369; ;0.168895002068323; ;0.974709474083078; ;0.00285732369095379; *;0.0470612634961877; *;0.89643797722327; ;0.0421541066880771; *;0.00515420381995541; *
18;UnusedPrivateMethod ;0.972116018002392; ;1; 0;1; unique <=3;1; unique <=3;0.543593267323338; ;0.98109076351201; ;0.963194917395683; ;1; unique <=3;0.636073685387555; ;1; unique <=3
19;UnusedFormalParameter ;0.606898112876287; ;0.263595988820615; ;0.199968999669597; ;0.42411373396881; ;0.944377472930501; ;0.00816954077808373; *;0.155137695616511; ;0.628894173547161; ;0.919327741260706; ;0.155607443125452; 
20;embed.JS ;0.901002599601703; ;0.990740734410902; ;0.911878446427061; ;0.0690762430031616; ;0.981370125161396; ;0.470714591455101; ;0.474017312529195; ;0.297419726918633; ;0.00104125646152713; *;1; unique <=3
21;inline.JS ;0.933101457234687; ;0.721278546413423; ;0.107869366934027; ;0.041613689802751; *;0.629107623401748; ;0.540449955998372; ;0.201470034691777; ;0.309909836801795; ;0.00139706192417079; *;1; 0
22;embed.CSS ;0.8108002608862; ;1; unique <=3;0.507837261217291; ;0.017844122985934; *;0.296705935638873; ;0.0184022888769547; *;0.519689775053854; ;1; unique <=3;0.00183168448715047; *;0.374875869430006; 
23;inline.CSS ;0.2840008836814; ;0.84886527182903; ;0.523916443615915; ;0.130462287452762; ;0.811205665310028; ;0.736627189158475; ;0.349951943221659; ;0.409331079031854; ;0.000529568210978879; *;0.156339847628497; 
24;css.in.JS ;0.55720986773928; ;0.992948691854117; ;0.397591846386348; ;0.136531441027276; ;0.947149636288182; ;0.84531421579336; ;0.45728761294725; ;0.613181750189835; ;0.849838106879607; ;0.212635595938361; 
25;css.in.JS..jquery ;0.855324933502058; ;0.902374645340265; ;0.371748026949155; ;0.0298852377771166; *;0.834852023262344; ;0.150729313034712; ;3.51149569927469e-05; *;0.602942576245699; ;0.000182762101326337; *;0.831027761224478; 
26;max.lines ;0.203634571622777; ;0.829764446644535; ;0.752999371239994; ;0.682886735735453; ;0.967957649108869; ;0.00169741642369845; *;0.502650591486763; ;0.414898413996777; ;0.452305100914909; ;0.381309087856268; 
27;max.lines.per.function ;0.952710367727759; ;0.712791909248953; ;0.680412758915876; ;0.0456953879831607; *;0.998409546566252; ;0.475633204304039; ;0.681156470890135; ;0.34021049611641; ;0.0151694295173072; *;0.69992804853351; 
28;max.params ;0.625224479351224; ;0.532716923472464; ;0.649406613686716; ;0.021823493325325; *;0.065133633827155; ;0.741742908217683; ;0.024890531963982; *;0.177611190384342; ;0.0334321406511363; *;0.5042652035223; 
29;complexity ;0.612846436129652; ;0.483117831293447; ;0.80198738422473; ;0.0209238139317911; *;0.0982075153110051; ;0.871474906249523; ;0.00971289419975998; *;0.321422971704976; ;0.0654676046525196; ;0.480878507797603; 
30;max.depth ;0.62207654977665; ;0.906404423823228; ;0.306291347840347; ;1; unique <=3;0.806253937677881; ;0.0623441400074354; ;0.000880719837105741; *;0.688510395460612; ;0.100633567048961; ;0.435883311922166; 
31;max.nested.callbacks ;0.68095779849656; ;1; unique <=3;0.297907378097821; ;0.0329053353949742; *;0.295740276998446; ;0.012151353225187; *;0.868621424303465; ;0.326158608404139; ;0.00364999894129349; *;0.511114956093902; 
