1;CS;phpmyadmin;phpmyadmin_p;dokuwiki;dokuwiki p _;opencart;opencart p _;phpbb;phpbb p _;phppgadmin;phppgadmin p _;mediawiki;mediawiki p _;prestashop;prestashop p _;vanilla;vanilla p _;dolibarr;dolibarr p _;roundcubemail;roundcubemail p _;openemr;openemr p _;kanboard;kanboard p _;;phpmyadmin;phpmyadmin_p;dokuwiki;dokuwiki p _;opencart;opencart p _;phpbb;phpbb p _;prestashop;prestashop p _;vanilla;vanilla p _;dolibarr;dolibarr p _;roundcubemail;roundcubemail p _;openemr;openemr p _;kanboard;kanboard p _;;;;;;;phpmyadmin;dokuwiki;opencart;phpbb;prestashop;vanilla;dolibarr;roundcubemail;openemr;kanboard;;min;max;avg;dp
2;CS; r^2; p; r^2; p; r^2; p; r^2; p; r^2; p; r^2; p; r^2; p; r^2; p; r^2; p; r^2; p; r^2; p; r^2; p;;p0.05;p0.10;p0.05;p0.10;p0.05;p0.10;p0.05;p0.10;p0.05;p0.10;p0.05;p0.10;p0.05;p0.10;p0.05;p0.10;p0.05;p0.10;p0.05;p0.10;;;;;;;;;;;;;;;;;;;;;
3;CyclomaticComplexity ;0.063397281;0.000673756;0.045143959;0.188086362;0.086690204;0.144270556;0.170764357;0.00285738;0.013471164;0.548793092;0.212999096;1.22E-08;0.054401464;0.045507377;0.002311805;0.708250088;0.159083106;0.000187823;0.037125109;0.299048709;0.015891056;0.484532004;0.313132744;1.26E-06;;;;*;;;;*;;*;;;;*;;;;;;*;;;*****;•••••;;•••••;;;0.170764357;;0.212999096;0.054401464;;0.159083106;;;0.313132744;;0.054401464;0.313132744;0.182076153;0.093660987
4;NPathComplexity ;0.045228845;0.004260825;0.020893886;0.373522941;0.04662194;0.289418008;0.182012372;0.002004574;0.004188937;0.738713625;0.220235994;6.40E-09;0.062643757;0.031495371;0.031613059;0.163279975;0.179133675;6.71E-05;0.031341464;0.34072259;0.055642306;0.186316799;0.366398397;9.22E-08;;;;*;;;;*;;*;;;;*;;;;;;*;;;*****;•••••;;•••••;;;0.182012372;;0.220235994;0.062643757;;0.179133675;;;0.366398397;;0.062643757;0.366398397;0.202084839;0.109203806
5;ExcessiveMethodLength ;0.130714154;6.61E-07;0.016631182;0.427729218;0.15255494;0.048517846;0.17748796;0.002312611;0.090700101;0.112378307;0.213567502;1.16E-08;0.057873352;0.038956457;0.134130091;0.003157049;0.233745469;3.66E-06;0.039035433;0.286701534;0.008533615;0.609139202;0.00864792;0.461247309;;*;;*;;;;*;;*;;*;;*;;;;;;;;;******;••••••;;••••••;;0.15255494;0.17748796;;0.213567502;0.057873352;0.134130091;0.233745469;;;;;0.057873352;0.233745469;0.161559886;0.062854808
6;ExcessiveClassLength ;0.177281915;4.39E-09;0.017779651;0.412074153;0.011125701;0.608077516;0.143274319;0.006718656;0.067660527;0.172962282;0.277793819;3.12E-11;0.031184032;0.132303968;0.165656714;0.000931543;0.009239423;0.387348652;0.088322282;0.104458369;0.055545484;0.186711578;0;0;;;;*;;;;*;;;;*;;;;;;;;;;;***;•••;;•••;;;0.143274319;;0.277793819;;0.165656714;;;;;;0.143274319;0.277793819;0.195574951;0.072077733
7;ExcessiveParameterList ;0.067466913;0.000446001;0;0;0.006616107;0.692836123;0.195110875;0.001321363;0.045209832;0.268128838;0.237652012;1.33E-09;0.01773789;0.257957302;0;0;0.213257724;1.11E-05;0;0;0.000328878;0.920210399;0.002354316;0.701106632;;;;*;;;;*;;;;;;*;;;;;;;;;***;•••;;•••;;;0.195110875;;0.237652012;;;0.213257724;;;;;0.195110875;0.237652012;0.215340203;0.021346888
8;ExcessivePublicCount ;0.093262649;3.23E-05;0.039499791;0.218911499;0.211420112;0.018111157;0.012858742;0.432989127;0.011527846;0.579327789;0.02517513;0.063062478;0.037532181;0.098150906;0.003751081;0.633476761;0.203745706;1.84E-05;0;0;0.082778733;0.104462039;0;0;;*;;;;;;;°;;°;;;*;;;;;;;;;**;••;°°;••°°;;0.211420112;;;0.02517513;0.037532181;;0.203745706;;;;;0.02517513;0.211420112;0.119468282;0.101919162
9;TooManyFields ;0.014689413;0.106062473;0.030295454;0.282757982;1;  all cs=1 ;0.062362809;0.080292483;0;0;0.206665356;2.13E-08;0.023781987;0.189561257;0.022711451;0.238412558;0.275480176;3.51E-07;0.055536952;0.201863598;0.050465182;0.208802805;0;0;;;;;°;;;*;;;;;;*;;;;;;;;;**;••;°;••°;;;0.062362809;;0.206665356;;;0.275480176;;;;;0.062362809;0.275480176;0.18150278;0.108764054
10;TooManyMethods ;0.036369448;0.010553867;0.036328095;0.238769376;0.238272533;0.011409223;0.036983849;0.180901755;0.025480637;0.408165458;0.238714849;1.21E-09;0.029114245;0.146085101;0.001735958;0.745769333;0.354560384;2.89E-09;0.09545985;0.090794883;0.146462959;0.027938377;0;0;;*;;;;;;*;;;;;;*;;;°;*;;;;;****;••••;°;••••°;;0.238272533;;;0.238714849;;;0.354560384;0.09545985;0.146462959;;;0.09545985;0.354560384;0.214694115;0.099458297
11;TooManyPublicMethods ;0.187717818;1.38E-09;0.067358131;0.105826841;0.042008445;0.315181344;0.044013855;0.143664185;0.03627293;0.322364185;0.018197505;0.11468067;0.053144796;0.048149214;0.031706357;0.162650117;0.211446775;1.22E-05;0.047922508;0.236737326;0.110650463;0.058562522;0.020027917;0.260799662;;;;;;;;;;*;;;;*;;;;;°;;;;**;••;°;••°;;;;;;0.053144796;;0.211446775;;0.110650463;;;0.053144796;0.211446775;0.125080678;0.08013147
