CS; r^2; p; issig
CyclomaticComplexity ; 0.159083105989332 ; 0.0001878229741928 ; *
NPathComplexity ; 0.179133674847134 ; 6.70535479757377e-05 ; *
ExcessiveMethodLength ; 0.233745469375703 ; 3.65884129964594e-06 ; *
ExcessiveClassLength ; 0.00923942291870177 ; 0.387348652336968 ; 
ExcessiveParameterList ; 0.213257723850092 ; 1.11061173372663e-05 ; *
ExcessivePublicCount ; 0.203745706018058 ; 1.84459973980968e-05 ; *
TooManyFields ; 0.275480175820238 ; 3.51168107465847e-07 ; *
TooManyMethods ; 0.354560383826907 ; 2.89468495386437e-09 ; *
TooManyPublicMethods ; 0.211446775095546 ; 1.2237125776994e-05 ; *
ExcessiveClassComplexity ; 0.0592790123330049 ; 0.0265552018764312 ; *
NumberOfChildren ; 0.00153889980158346 ; 0.724758015612438 ; 
DepthOfInheritance ; 0 ; 0 ; 
CouplingBetweenObjects ; 0.00482317854682237 ; 0.532712997154018 ; 
DevelopmentCodeFragment ; 0.146841285907992 ; 0.000349320775206231 ; *
UnusedPrivateField ; 0.0701617042760516 ; 0.0155216325990268 ; *
UnusedLocalVariable ; 0.231438510457747 ; 4.15129559803948e-06 ; *
UnusedPrivateMethod ; 0.124626914732973 ; 0.00106218479182722 ; *
UnusedFormalParameter ; 0.136826399074179 ; 0.000577898103582303 ; *
embed.JS ; 0.17447743706855 ; 8.53110443346504e-05 ; *
inline.JS ; 0.170336860715622 ; 0.000105594337190676 ; *
embed.CSS ; 0.00641639043674971 ; 0.471612503021876 ; 
inline.CSS ; 0.150809953783378 ; 0.000285853903621527 ; *
css.in.JS ; 0.152549390850137 ; 0.000261754487454953 ; *
css.in.JS..jquery ; 0.000225455707309715 ; 0.892827084185438 ; 
max.lines ; 0.333227576912155 ; 1.11215171479699e-08 ; *
max.lines.per.function ; 0.0615240435999998 ; 0.0237628453518236 ; *
max.params ; 0.0138088226254407 ; 0.290050642926533 ; 
complexity ; 0.082009681197884 ; 0.00867424822214542 ; *
max.depth ; 0.0532362916560977 ; 0.0358542960979527 ; *
max.nested.callbacks ; 0.154267534145637 ; 0.000239917226694121 ; *
