CS; r^2; p; issig
CyclomaticComplexity ; 0.0158910556538818 ; 0.48453200430998 ; 
NPathComplexity ; 0.0556423063422209 ; 0.186316799100563 ; 
ExcessiveMethodLength ; 0.0085336150284061 ; 0.609139202289571 ; 
ExcessiveClassLength ; 0.0555454839158352 ; 0.186711578129175 ; 
ExcessiveParameterList ; 0.000328877565167532 ; 0.92021039930483 ; 
ExcessivePublicCount ; 0.0827787325495979 ; 0.104462039426971 ; 
TooManyFields ; 0.0504651817023669 ; 0.208802805153834 ; 
TooManyMethods ; 0.146462959062286 ; 0.0279383773429438 ; *
TooManyPublicMethods ; 0.110650463435027 ; 0.058562522210936 ; 
ExcessiveClassComplexity ; 0.00580221004809104 ; 0.673523590186033 ; 
NumberOfChildren ; 0.00581497041182622 ; 0.673184564975758 ; 
DepthOfInheritance ; 0 ; 0 ; unique <=2
CouplingBetweenObjects ; 0.13571979099547 ; 0.0348979857273581 ; *
DevelopmentCodeFragment ; 0.134984788255957 ; 0.035432325878356 ; *
UnusedPrivateField ; 0.0459624625971195 ; 0.230888605668789 ; 
UnusedLocalVariable ; 0.0254717598111509 ; 0.374982185670572 ; 
UnusedPrivateMethod ; 0.164569299663342 ; 0.0191669128400038 ; *
UnusedFormalParameter ; 0.17122507153306 ; 0.0166742511010434 ; *
embed.JS ; 0.208951909671948 ; 0.00748662489708368 ; *
inline.JS ; 0.263288552067293 ; 0.00226087335556901 ; *
embed.CSS ; 0.212778124441177 ; 0.00689416243351859 ; *
inline.CSS ; 0.137400101288866 ; 0.0337061799451688 ; *
css.in.JS ; 0.0239043971965324 ; 0.390282024459559 ; 
css.in.JS..jquery ; 0.070792126671423 ; 0.134487872387209 ; 
max.lines ; 0.10159000758156 ; 0.0706289039481338 ; 
max.lines.per.function ; 0.151441015026528 ; 0.0251958731201524 ; *
max.params ; 0.0220981349162666 ; 0.40901432244766 ; 
complexity ; 0.0037479152913507 ; 0.735031076898632 ; 
max.depth ; 0.0793539134178187 ; 0.112243152471952 ; 
max.nested.callbacks ; 0.112256412773823 ; 0.0566519729541613 ; 
