CS; r^2; p; issig
CyclomaticComplexity ; 0.0544014640226835 ; 0.0455073765477214 ; *
NPathComplexity ; 0.0626437569632617 ; 0.0314953714155188 ; *
ExcessiveMethodLength ; 0.057873351600881 ; 0.0389564565774612 ; *
ExcessiveClassLength ; 0.031184032314958 ; 0.132303967838189 ; 
ExcessiveParameterList ; 0.0177378897096207 ; 0.257957301601567 ; 
ExcessivePublicCount ; 0.0375321809887731 ; 0.0981509061108491 ; 
TooManyFields ; 0.0237819865004593 ; 0.189561256520952 ; 
TooManyMethods ; 0.029114245302377 ; 0.146085100853419 ; 
TooManyPublicMethods ; 0.0531447958824871 ; 0.0481492138769696 ; *
ExcessiveClassComplexity ; 0.0620471914772797 ; 0.0323422823969619 ; *
NumberOfChildren ; 0.000259650355778498 ; 0.891612610890593 ; 
DepthOfInheritance ; 8.65377379342724e-05 ; 0.937300675847435 ; 
CouplingBetweenObjects ; 0.0224718714669407 ; 0.202378188727165 ; 
DevelopmentCodeFragment ; 5.00417599086867e-05 ; 0.952300790244372 ; 
UnusedPrivateField ; 0.000312937736445077 ; 0.881083000629601 ; 
UnusedLocalVariable ; 0.0148016770396292 ; 0.301790427073736 ; 
UnusedPrivateMethod ; 0.00853101229654638 ; 0.433809742413385 ; 
UnusedFormalParameter ; 0.0595865829758397 ; 0.0360885224179188 ; *
embed.JS ; 0.0096259760662792 ; 0.405616592722678 ; 
inline.JS ; 0.0441389515071989 ; 0.0723948573924699 ; 
embed.CSS ; 0.00523234427565454 ; 0.540234615070765 ; 
inline.CSS ; 0.00725279600509696 ; 0.470637192081925 ; 
css.in.JS ; 0.00209067543902271 ; 0.698876166869086 ; 
css.in.JS..jquery ; 0.0311362995303325 ; 0.132605202504503 ; 
max.lines ; 0.00481745632563127 ; 0.556791592572024 ; 
max.lines.per.function ; 1.63641584606065e-05 ; 0.972712589650584 ; 
max.params ; 0.00201242917558995 ; 0.704299873879007 ; 
complexity ; 0.00944453420747779 ; 0.410099020749468 ; 
max.depth ; 0.00427379828331576 ; 0.579996886575631 ; 
max.nested.callbacks ; 0.00515937778160314 ; 0.543080268324876 ; 
