1;CS;phpmyadmin;phpmyadmin_p;dokuwiki;dokuwiki p _;opencart;opencart p _;phpbb;phpbb p _;phppgadmin;phppgadmin p _;mediawiki;mediawiki p _;prestashop;prestashop p _;vanilla;vanilla p _;dolibarr;dolibarr p _;roundcubemail;roundcubemail p _;openemr;openemr p _;kanboard;kanboard p _
2;CS; te; p; te; p; te; p; te; p; te; p; te; p; te; p; te; p; te; p; te; p; te; p; te; p
3;CyclomaticComplexity ; 0.0703690298773731 ; 0.00666666666666667 ; 0.0912938549001929 ; 0.593333333333333 ; 0.534767701892162 ; 0 ; 0.170206140645503 ; 0.0966666666666667 ; 0.205322798707027 ; 0.663333333333333 ; 0.15350411869452 ; 0 ; 0.131265454786369 ; 0.106666666666667 ; 0.0913446689175697 ; 0.08 ; 0.208419697232031 ; 0 ; 0.11959133186467 ; 0.476666666666667 ; 0.16796279140261 ; 0.476666666666667 ; 0.166002387233018 ; 0.0533333333333333 
4;NPathComplexity ; 0.0697436650483859 ; 0.0166666666666667 ; 0.0889944544662741 ; 0.523333333333333 ; 0.206344083468766 ; 0.606666666666667 ; 0.170206140645503 ; 0.0833333333333333 ; 0.239933877593073 ; 0.403333333333333 ; 0.140043224016288 ; 0.00333333333333333 ; 0.131265454786369 ; 0.106666666666667 ; 0.0913446689175697 ; 0.08 ; 0.310997310346324 ; 0 ; 0.11959133186467 ; 0.476666666666667 ; 0.171939335507517 ; 0.576666666666667 ; 0.201287881637965 ; 0.02 
5;ExcessiveMethodLength ; 0.197336722219368 ; 0 ; 0.0959382970726926 ; 0.56 ; 0.380723993835076 ; 0.0833333333333333 ; 0.177786172804094 ; 0.08 ; 0.277040640453355 ; 0.196666666666667 ; 0.160401463555121 ; 0 ; 0.131265454786369 ; 0.12 ; 0.21094992977964 ; 0.01 ; 0.154894724310437 ; 0.00666666666666667 ; 0.11959133186467 ; 0.476666666666667 ; 0.209473822402151 ; 0.366666666666667 ; 0.152100288416724 ; 0.07 
6;ExcessiveClassLength ; 0.0703690298773731 ; 0.00666666666666667 ; 0.0672461248378693 ; 0.78 ; 0.318419891724812 ; 0.166666666666667 ; 0.141024301335286 ; 0.1 ; 0.414449628645795 ; 0.00333333333333333 ; 0.21897466136316 ; 0 ; 0.124562041201532 ; 0.176666666666667 ; 0.133866705164819 ; 0.143333333333333 ; 0.260560289627171 ; 0.00333333333333333 ; 0.23948324502161 ; 0.09 ; 0.230229789958484 ; 0.376666666666667 ; 0 ; 0 
7;ExcessiveParameterList ; 0.0776274295514636 ; 0 ; 0 ; 0 ; 0.58082563340749 ; 0 ; 0.163608924393916 ; 0.126666666666667 ; 0.303202648386937 ; 0.0833333333333333 ; 0.176008518289869 ; 0 ; 0.0672683438759893 ; 0.773333333333333 ; 0 ; 0 ; 0.154894724310437 ; 0.00666666666666667 ; 0 ; 0 ; 0.197351326766558 ; 0.363333333333333 ; 0.173685389151521 ; 0 
8;ExcessivePublicCount ; 0.053065769576866 ; 0.08 ; 0.117825294577207 ; 0.23 ; 0.206344083468766 ; 0.523333333333333 ; 0.249801917425794 ; 0.00333333333333333 ; 0.214773126117057 ; 0.493333333333333 ; 0.0948991947288797 ; 0.1 ; 0.124280221126545 ; 0.176666666666667 ; 0.12387470094226 ; 0.25 ; 0.184213005845438 ; 0.01 ; 0 ; 0 ; 0.217340557060642 ; 0.36 ; 0 ; 0 
9;TooManyFields ; 0.0689075286632882 ; 0.00666666666666667 ; 0.0673209391118873 ; 0.546666666666667 ; 1 ;  all cs=1 ; 0.135286022215448 ; 0.14 ; 0 ; 0 ; 0.117933813084988 ; 0.04 ; 0.130102708494561 ; 0.126666666666667 ; 0.162233200212163 ; 0.07 ; 0.168812273254835 ; 0.05 ; 0.23948324502161 ; 0.05 ; 0.147082357593281 ; 0.576666666666667 ; 0 ; 0 
10;TooManyMethods ; 0.0728065627779845 ; 0.133333333333333 ; 0.0664080361475332 ; 0.623333333333333 ; 0.206344083468766 ; 0.523333333333333 ; 0.250308950992293 ; 0.00333333333333333 ; 0.247368009775354 ; 0.496666666666667 ; 0.133921710512146 ; 0.00333333333333333 ; 0.0980688960161318 ; 0.456666666666667 ; 0.301611208549198 ; 0 ; 0.35232607132701 ; 0 ; 0.23948324502161 ; 0.05 ; 0.10985450356947 ; 0.0633333333333333 ; 0 ; 0 
11;TooManyPublicMethods ; 0.203783625491027 ; 0 ; 0.115363372996524 ; 0.243333333333333 ; 0.532317879434333 ; 0.00666666666666667 ; 0.119076604494142 ; 0.343333333333333 ; 0.3107900591485 ; 0 ; 0.154314730422533 ; 0 ; 0.171937697067624 ; 0.0133333333333333 ; 0.146156238295743 ; 0.113333333333333 ; 0.106465052973897 ; 0.22 ; 0.155568687297997 ; 0.25 ; 0.154676914692017 ; 0.703333333333333 ; 0.107298818930597 ; 0.163333333333333 
