CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.166002387233018 ; 0.0533333333333333 ;  ; 0.0568812463665014 ; 0.85 ; 
NPathComplexity ; 0.201287881637965 ; 0.02 ; * ; 0.0744198765078383 ; 0.683333333333333 ; 
ExcessiveMethodLength ; 0.152100288416724 ; 0.07 ;  ; 0.182993099310479 ; 0.01 ; *
ExcessiveClassLength ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
ExcessiveParameterList ; 0.173685389151521 ; 0 ; * ; 0.0472234947267984 ; 0.893333333333333 ; 
ExcessivePublicCount ; 0 ; 0 ;  ; 0 ; 0 ; 
TooManyFields ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
TooManyMethods ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
TooManyPublicMethods ; 0.107298818930597 ; 0.163333333333333 ;  ; 0.099897531885548 ; 0.323333333333333 ; 
ExcessiveClassComplexity ; 0.150664111154647 ; 0.0866666666666667 ;  ; 0.123106833815924 ; 0.143333333333333 ; 
NumberOfChildren ; 0.150664111154647 ; 0.0933333333333333 ;  ; 0.118176749925828 ; 0.213333333333333 ; 
DepthOfInheritance ; 0 ; 0 ;  ; 0 ; 0 ; 
CouplingBetweenObjects ; 0.145839247210302 ; 0.136666666666667 ;  ; 0.118394222709018 ; 0.21 ; 
DevelopmentCodeFragment ; 0 ; 0 ;  ; 0 ; 0 ; 
UnusedPrivateField ; 0 ; 0 ;  ; 0 ; 0 ; 
UnusedLocalVariable ; 0.218011285419793 ; 0.0133333333333333 ; * ; 0.104117262594766 ; 0.313333333333333 ; 
UnusedPrivateMethod ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
UnusedFormalParameter ; 0.218011285419793 ; 0.01 ; * ; 0.11566805715464 ; 0.223333333333333 ; 
embed.JS ; 0.143553629925866 ; 0.06 ;  ; 0.0762589219937578 ; 0.63 ; 
inline.JS ; 0 ; 0 ;  ; 0 ; 0 ; 
embed.CSS ; 0.223978725745802 ; 0 ; * ; 0.0594321568593106 ; 0.816666666666667 ; 
inline.CSS ; 0.182203001514273 ; 0 ; * ; 0.0807434594157477 ; 0.626666666666667 ; 
css.in.JS ; 0.0993803763233621 ; 0.556666666666667 ;  ; 0.0657562135854806 ; 0.72 ; 
css.in.JS..jquery ; 0.127721054845798 ; 0.08 ;  ; 0.10719201615291 ; 0.233333333333333 ; 
max.lines ; 0.149980682736745 ; 0.0566666666666667 ;  ; 0.0802801597194166 ; 0.626666666666667 ; 
max.lines.per.function ; 0.217955162512536 ; 0.01 ; * ; 0.0668052722888463 ; 0.75 ; 
max.params ; 0.158143830331949 ; 0.03 ; * ; 0.124232541435351 ; 0.123333333333333 ; 
complexity ; 0.126705097969421 ; 0.0833333333333333 ;  ; 0.107981528939078 ; 0.263333333333333 ; 
max.depth ; 0.126705097969421 ; 0.0833333333333333 ;  ; 0.107981528939078 ; 0.263333333333333 ; 
max.nested.callbacks ; 0.110870121283561 ; 0.24 ;  ; 0.0491058513261592 ; 0.873333333333333 ; 
