CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.16796279140261 ; 0.476666666666667 ;  ; 0.309406458770886 ; 0.0566666666666667 ; 
NPathComplexity ; 0.171939335507517 ; 0.576666666666667 ;  ; 0.283949591621259 ; 0.0633333333333333 ; 
ExcessiveMethodLength ; 0.209473822402151 ; 0.366666666666667 ;  ; 0.335202444837112 ; 0.03 ; *
ExcessiveClassLength ; 0.230229789958484 ; 0.376666666666667 ;  ; 0.273028996640069 ; 0.1 ; 
ExcessiveParameterList ; 0.197351326766558 ; 0.363333333333333 ;  ; 0.214939374149981 ; 0.246666666666667 ; 
ExcessivePublicCount ; 0.217340557060642 ; 0.36 ;  ; 0.190142782042086 ; 0.363333333333333 ; 
TooManyFields ; 0.147082357593281 ; 0.576666666666667 ;  ; 0.126533643148569 ; 0.693333333333333 ; 
TooManyMethods ; 0.10985450356947 ; 0.0633333333333333 ;  ; 0.190507811013217 ; 0.333333333333333 ; 
TooManyPublicMethods ; 0.154676914692017 ; 0.703333333333333 ;  ; 0.165561542393773 ; 0.51 ; 
ExcessiveClassComplexity ; 0.107733260945241 ; 0.84 ;  ; 0.204112616772703 ; 0.3 ; 
NumberOfChildren ; 0.280537074511085 ; 0.0766666666666667 ;  ; 0.413062926943149 ; 0.00333333333333333 ; *
DepthOfInheritance ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
CouplingBetweenObjects ; 0.178021823434935 ; 0.176666666666667 ;  ; 0.17679511206324 ; 0.413333333333333 ; 
DevelopmentCodeFragment ; 0.25675155910623 ; 0.26 ;  ; 0.140105606440748 ; 0.61 ; 
UnusedPrivateField ; 0.217340557060642 ; 0.106666666666667 ;  ; 0.113756739188963 ; 0.773333333333333 ; 
UnusedLocalVariable ; 0.177734999686324 ; 0.673333333333333 ;  ; 0.167350941582405 ; 0.446666666666667 ; 
UnusedPrivateMethod ; 0.358089518638625 ; 0 ; * ; 0.164890796563112 ; 0.493333333333333 ; 
UnusedFormalParameter ; 0.288411098481113 ; 0 ; * ; 0.114872632298956 ; 0.79 ; 
embed.JS ; 0.302214785071208 ; 0.0933333333333333 ;  ; 0.248170625933442 ; 0.146666666666667 ; 
inline.JS ; 0.232935891854396 ; 0.213333333333333 ;  ; 0.234998230745206 ; 0.173333333333333 ; 
embed.CSS ; 0.302214785071208 ; 0.0933333333333333 ;  ; 0.248170625933442 ; 0.146666666666667 ; 
inline.CSS ; 0.191784188719981 ; 0.55 ;  ; 0.304520120867233 ; 0.07 ; 
css.in.JS ; 0.301937737571518 ; 0.17 ;  ; 0.354540433715916 ; 0.03 ; *
css.in.JS..jquery ; 0.218204330427305 ; 0.253333333333333 ;  ; 0.254864731333535 ; 0.116666666666667 ; 
max.lines ; 0.193394043087066 ; 0.313333333333333 ;  ; 0.180355382086413 ; 0.34 ; 
max.lines.per.function ; 0.231752189007801 ; 0.213333333333333 ;  ; 0.240925560570791 ; 0.173333333333333 ; 
max.params ; 0.23457250003786 ; 0.133333333333333 ;  ; 0.22831089722984 ; 0.193333333333333 ; 
complexity ; 0.244214739928995 ; 0.173333333333333 ;  ; 0.283369498945805 ; 0.06 ; 
max.depth ; 0.31454763800746 ; 0 ; * ; 0.292584246092284 ; 0.1 ; 
max.nested.callbacks ; 0.2380761313687 ; 0.04 ; * ; 0.251170626638869 ; 0.146666666666667 ; 
