CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.131265454786369 ; 0.106666666666667 ;  ; 0.0927560775961372 ; 0.59 ; 
NPathComplexity ; 0.131265454786369 ; 0.106666666666667 ;  ; 0.0927560775961372 ; 0.583333333333333 ; 
ExcessiveMethodLength ; 0.131265454786369 ; 0.12 ;  ; 0.133218895382603 ; 0.193333333333333 ; 
ExcessiveClassLength ; 0.124562041201532 ; 0.176666666666667 ;  ; 0.140356785955435 ; 0.163333333333333 ; 
ExcessiveParameterList ; 0.0672683438759893 ; 0.773333333333333 ;  ; 0.182071617520334 ; 0.06 ; 
ExcessivePublicCount ; 0.124280221126545 ; 0.176666666666667 ;  ; 0.135374622624748 ; 0.17 ; 
TooManyFields ; 0.130102708494561 ; 0.126666666666667 ;  ; 0.107403378908332 ; 0.386666666666667 ; 
TooManyMethods ; 0.0980688960161318 ; 0.456666666666667 ;  ; 0.135686209847885 ; 0.206666666666667 ; 
TooManyPublicMethods ; 0.171937697067624 ; 0.0133333333333333 ; * ; 0.0931322002447828 ; 0.566666666666667 ; 
ExcessiveClassComplexity ; 0.0794222893059 ; 0.416666666666667 ;  ; 0.0492829169373337 ; 0.94 ; 
NumberOfChildren ; 0.232137333698837 ; 0.00333333333333333 ; * ; 0.127768423836772 ; 0.22 ; 
DepthOfInheritance ; 0.124712935628358 ; 0.0833333333333333 ;  ; 0.121864317302015 ; 0.226666666666667 ; 
CouplingBetweenObjects ; 0.160786346375682 ; 0.02 ; * ; 0.121176006031232 ; 0.273333333333333 ; 
DevelopmentCodeFragment ; 0.0848298736991588 ; 0.463333333333333 ;  ; 0.11616373507179 ; 0.29 ; 
UnusedPrivateField ; 0.172537772649088 ; 0.00333333333333333 ; * ; 0.0465665823761991 ; 0.92 ; 
UnusedLocalVariable ; 0.129748044730035 ; 0.14 ;  ; 0.154383530039905 ; 0.1 ; 
UnusedPrivateMethod ; 0.145216191594279 ; 0.05 ; * ; 0.112222959508863 ; 0.36 ; 
UnusedFormalParameter ; 0.0432445696154215 ; 0.94 ;  ; 0.137447376686413 ; 0.183333333333333 ; 
embed.JS ; 0.141682115982636 ; 0.11 ;  ; 0.109038445240931 ; 0.386666666666667 ; 
inline.JS ; 0.16953915544317 ; 0.0166666666666667 ; * ; 0.149425651741518 ; 0.123333333333333 ; 
embed.CSS ; 0.119672229337074 ; 0.343333333333333 ;  ; 0.0996142725405232 ; 0.466666666666667 ; 
inline.CSS ; 0.201375356755449 ; 0.00333333333333333 ; * ; 0.124984830933481 ; 0.22 ; 
css.in.JS ; 0.0992597037581885 ; 0.473333333333333 ;  ; 0.119399644667911 ; 0.286666666666667 ; 
css.in.JS..jquery ; 0.080460731982431 ; 0.66 ;  ; 0.0895443025334304 ; 0.53 ; 
max.lines ; 0.145801159930404 ; 0.07 ;  ; 0.112329547823041 ; 0.356666666666667 ; 
max.lines.per.function ; 0.128878406351083 ; 0.133333333333333 ;  ; 0.246895727787989 ; 0.00333333333333333 ; *
max.params ; 0.170215000746538 ; 0.05 ; * ; 0.156780231724314 ; 0.05 ; *
complexity ; 0.170215000746538 ; 0.05 ; * ; 0.156780231724314 ; 0.06 ; 
max.depth ; 0.195212629278267 ; 0 ; * ; 0.152995817332522 ; 0.0833333333333333 ; 
max.nested.callbacks ; 0.197011004600402 ; 0.00666666666666667 ; * ; 0.242848744006327 ; 0 ; *
