CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.342007617269907 ; 0.103333333333333 ;  ; 0.262063978159569 ; 0.403333333333333 ; 
NPathComplexity ; 0.327110770014073 ; 0.1 ;  ; 0.307370244603266 ; 0.223333333333333 ; 
ExcessiveMethodLength ; 0.292737785642275 ; 0.273333333333333 ;  ; 0.224033404371608 ; 0.533333333333333 ; 
ExcessiveClassLength ; 0.281423073154051 ; 0.216666666666667 ;  ; 0.19644395886333 ; 0.61 ; 
ExcessiveParameterList ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
ExcessivePublicCount ; 0.215988612260696 ; 0.193333333333333 ;  ; 0.240119018848399 ; 0.396666666666667 ; 
TooManyFields ; 0.224028611524257 ; 0.253333333333333 ;  ; 0.257418305605119 ; 0.186666666666667 ; 
TooManyMethods ; 0.176882017289074 ; 0.51 ;  ; 0.187879394860377 ; 0.6 ; 
TooManyPublicMethods ; 0.210086936202098 ; 0.126666666666667 ;  ; 0.170673351437512 ; 0.713333333333333 ; 
ExcessiveClassComplexity ; 0.347212581656085 ; 0.143333333333333 ;  ; 0.361542020710809 ; 0.103333333333333 ; 
NumberOfChildren ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
DepthOfInheritance ; 0 ; 0 ;  ; 0 ; 0 ; 
CouplingBetweenObjects ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
DevelopmentCodeFragment ; 0.167853237879805 ; 0.62 ;  ; 0.17199185777681 ; 0.8 ; 
UnusedPrivateField ; 0 ; 0 ;  ; 0 ; 0 ; 
UnusedLocalVariable ; 0.219415396237514 ; 0.503333333333333 ;  ; 0.245360978050782 ; 0.406666666666667 ; 
UnusedPrivateMethod ; 0 ; 0 ;  ; 0 ; 0 ; 
UnusedFormalParameter ; 0.190171523329032 ; 0.23 ;  ; 0.159244755815006 ; 0.69 ; 
embed.JS ; 0.383908707794232 ; 0.0266666666666667 ; * ; 0.161202110991837 ; 0.713333333333333 ; 
inline.JS ; 0.178960323429595 ; 0.52 ;  ; 0.187253321647436 ; 0.716666666666667 ; 
embed.CSS ; 0.267805013552183 ; 0.193333333333333 ;  ; 0.183166251725014 ; 0.71 ; 
inline.CSS ; 0.389843581459894 ; 0.0633333333333333 ;  ; 0.263389194475475 ; 0.35 ; 
css.in.JS ; 0.40599968302999 ; 0.07 ;  ; 0.461235303254354 ; 0 ; *
css.in.JS..jquery ; 0.102426309907324 ; 0.4 ;  ; 0.0879929887986066 ; 0.96 ; 
max.lines ; 0.111035600705848 ; 0.89 ;  ; 0.1378602727399 ; 0.896666666666667 ; 
max.lines.per.function ; 0.0802019999940416 ; 0.52 ;  ; 0.112281204262438 ; 0.46 ; 
max.params ; 0.0987386022885223 ; 0.573333333333333 ;  ; 0.17188229878417 ; 0.203333333333333 ; 
complexity ; 0.0987386022885223 ; 0.573333333333333 ;  ; 0.17188229878417 ; 0.203333333333333 ; 
max.depth ; 0.330358273086021 ; 0.0966666666666667 ;  ; 0.182808143569256 ; 0.69 ; 
max.nested.callbacks ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
