CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.657798617482718 ; 0.24 ;  ; 0.661265133148132 ; 0.166666666666667 ; 
NPathComplexity ; 0.740408172491982 ; 0.03 ; * ; 0.60606685081315 ; 0.34 ; 
ExcessiveMethodLength ; 0.506540977385706 ; 0.17 ;  ; 0.310370671699937 ; 0.926666666666667 ; 
ExcessiveClassLength ; 0.571657946422855 ; 0.18 ;  ; 0.33014660112734 ; 0.866666666666667 ; 
ExcessiveParameterList ; 0.460007142605713 ; 0.38 ;  ; 0.301396133610564 ; 0.946666666666667 ; 
ExcessivePublicCount ; 0.587431852663504 ; 0.04 ; * ; 0.391664747829304 ; 0.81 ; 
TooManyFields ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
TooManyMethods ; 0.527927397142339 ; 0.27 ;  ; 0.363616158655787 ; 0.84 ; 
TooManyPublicMethods ; 0.361680636628318 ; 0 ; * ; 0.291670895785368 ; 0.813333333333333 ; 
ExcessiveClassComplexity ; 0.588565150963592 ; 0.27 ;  ; 0.483539455717254 ; 0.483333333333333 ; 
NumberOfChildren ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
DepthOfInheritance ; 0.474611719911086 ; 0.806666666666667 ;  ; 0.329047438039922 ; 0.933333333333333 ; 
CouplingBetweenObjects ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
DevelopmentCodeFragment ; 0 ; 0 ;  ; 0 ; 0 ; 
UnusedPrivateField ; 0 ; 0 ;  ; 0 ; 0 ; 
UnusedLocalVariable ; 0.633530441644932 ; 0.133333333333333 ;  ; 0.609502990163486 ; 0.4 ; 
UnusedPrivateMethod ; 0 ; 0 ;  ; 0 ; 0 ; 
UnusedFormalParameter ; 0.38746874630228 ; 0 ; * ; 0.24849819083168 ; 0.936666666666667 ; 
embed.JS ; 0.582680648871709 ; 0.346666666666667 ;  ; 0.493817486446271 ; 0.68 ; 
inline.JS ; 0.612023192292678 ; 0.126666666666667 ;  ; 0.397193903446054 ; 0.806666666666667 ; 
embed.CSS ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
inline.CSS ; 0.662453569979285 ; 0.0166666666666667 ; * ; 0.455314766058122 ; 0.54 ; 
css.in.JS ; 0.629421998161943 ; 0.0433333333333333 ; * ; 0.190647524435993 ; 0.98 ; 
css.in.JS..jquery ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
max.lines ; 0.688108891080225 ; 0.05 ; * ; 0.425831431888419 ; 0.723333333333333 ; 
max.lines.per.function ; 0.654137280433829 ; 0.2 ;  ; 0.415473432919596 ; 0.776666666666667 ; 
max.params ; 0.513002544641863 ; 0.303333333333333 ;  ; 0.526888797023688 ; 0.316666666666667 ; 
complexity ; 0.58143921912925 ; 0.233333333333333 ;  ; 0.349914009690145 ; 0.753333333333333 ; 
max.depth ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
max.nested.callbacks ; 0 ; 0 ;  ; 0 ; 0 ; 
