1;CS;phpmyadmin;phpmyadmin_sig;dokuwiki;dokuwiki sig _;opencart;opencart sig _;phpbb;phpbb sig _;phppgadmin;phppgadmin sig _;mediawiki;mediawiki sig _;prestashop;prestashop sig _;vanilla;vanilla sig _;dolibarr;dolibarr sig _;roundcubemail;roundcubemail sig _;openemr;openemr sig _;kanboard;kanboard sig _
2;CS; te; issig; te; issig; te; issig; te; issig; te; issig; te; issig; te; issig; te; issig; te; issig; te; issig; te; issig; te; issig
3;CyclomaticComplexity ; 0.119843626933692 ;  ; 0.329871860597197 ;  ; 0.469960497930826 ;  ; 0.424177770838313 ;  ; 0.40839815625991 ;  ; 0.217946496907837 ;  ; 0.225903419268995 ;  ; 0.241530620215017 ; * ; 0.317955172040683 ;  ; 0.185944148492932 ;  ; 0.293191701680092 ;  ; 0.205359898044353 ;  
4;NPathComplexity ; 0.0858840105089529 ;  ; 0.388437891969237 ;  ; 0.604644055886778 ;  ; 0.362681580002217 ;  ; 0.316984817005878 ;  ; 0.256471465081458 ;  ; 0.225903419268995 ;  ; 0.248792297760375 ; * ; 0.217692473842906 ;  ; 0.185944148492932 ;  ; 0.36452733871838 ;  ; 0.178338662411247 ;  
5;ExcessiveMethodLength ; 0.0843383180132958 ; * ; 0.299833914116562 ;  ; 0.469960497930826 ; * ; 0.426284525631081 ;  ; 0.36798656059931 ;  ; 0.219212784751064 ;  ; 0.241020169225965 ;  ; 0.294104014854252 ;  ; 0.313970078236338 ;  ; 0.185944148492932 ;  ; 0.49763088703843 ;  ; 0.191507083003275 ;  
6;ExcessiveClassLength ; 0.162621519789545 ;  ; 0.42419927706593 ;  ; 0.409955555580914 ;  ; 0.17655476226119 ;  ; 0.214616400260154 ;  ; 0.159512951189559 ;  ; 0.274587660371781 ;  ; 0.218604406593318 ;  ; 0.283511709766067 ;  ; 0.234343508804079 ;  ; 0.299191857705241 ;  ; 0 ; unique <=2 
7;ExcessiveParameterList ; 0.115621850945505 ;  ; 0 ; unique <=2 ; 0.521093653944073 ;  ; 0.227582123092054 ;  ; 0.36798656059931 ;  ; 0.149681123351814 ;  ; 0.232999038819818 ;  ; 0 ;  ; 0.295261452233972 ;  ; 0 ; unique <=2 ; 0.343173529655235 ;  ; 0.163132098324725 ;  
8;ExcessivePublicCount ; 0.131155918672898 ;  ; 0.314977002526163 ;  ; 0.520816215244983 ;  ; 0.330140592673615 ;  ; 0.389174088190078 ;  ; 0.117315933109114 ;  ; 0.307959004270798 ;  ; 0.249104914489027 ;  ; 0.243658128653008 ;  ; 0 ; unique <=2 ; 0.36476958557546 ;  ; 0 ;  
9;TooManyFields ; 0.076759361886729 ;  ; 0.262166483207611 ;  ; 1 ;  ; 0.162044275115783 ;  ; 0 ; unique <=2 ; 0.238135621823347 ;  ; 0.307363139882104 ;  ; 0.304330419471165 ;  ; 0.32694984354019 ;  ; 0.221664753291433 ;  ; 0.364419036340308 ;  ; 0 ; unique <=2 
10;TooManyMethods ; 0.20927306327897 ;  ; 0.284274190695594 ;  ; 0.520816215244983 ;  ; 0.334964161123635 ;  ; 0.314750399651054 ;  ; 0.143707176454019 ;  ; 0.280218989776583 ;  ; 0.241252357655521 ;  ; 0.313849202998217 ;  ; 0.221664753291433 ;  ; 0.298884344762438 ; * ; 0 ; unique <=2 
11;TooManyPublicMethods ; 0.129483643283323 ;  ; 0.302261014102836 ;  ; 0.469960497930826 ; * ; 0.232967356446386 ;  ; 0.252455780160419 ; * ; 0.163298929793436 ;  ; 0.232865477167589 ;  ; 0.202811896825561 ;  ; 0.240974349134004 ;  ; 0.230312656595805 ;  ; 0.41349277754039 ;  ; 0.320154222230395 ; * 
12;ExcessiveClassComplexity ; 0.120390761176162 ;  ; 0.337349800609233 ;  ; 0.409955555580914 ;  ; 0.24066518354704 ;  ; 0.417348211736735 ;  ; 0.224614766073924 ;  ; 0.22377545666658 ;  ; 0.224144644147849 ; * ; 0.308693719251986 ; * ; 0.176387134807608 ;  ; 0.431834617410822 ;  ; 0.123797891826643 ;  
13;NumberOfChildren ; 0.0692218486483483 ;  ; 0 ; unique <=2 ; 0 ; unique <=2 ; 0.14356729742268 ;  ; 0 ; unique <=2 ; 0.27661255616757 ;  ; 0.233434160686884 ;  ; 0.147516785612165 ;  ; 0.227882678065351 ;  ; 1 ;  ; 0.249932462296421 ;  ; 0.157551333607281 ;  
14;DepthOfInheritance ; 0 ;  ; 0 ;  ; 0 ;  ; 0 ;  ; 0.36798656059931 ;  ; 0 ;  ; 0.165122741436782 ;  ; 0 ;  ; 0 ;  ; 0 ;  ; 0 ; unique <=2 ; 0 ;  
15;CouplingBetweenObjects ; 0.129842461019877 ;  ; 0 ; unique <=2 ; 0 ; unique <=2 ; 0.159393375746486 ;  ; 0 ; unique <=2 ; 0.158798195868491 ; * ; 0.17513295089251 ;  ; 0.129753127514121 ;  ; 0.274555058005967 ;  ; 0.230312656595805 ;  ; 0.358049231451 ;  ; 0.156750241521791 ;  
16;DevelopmentCodeFragment ; 0.0623327160650691 ;  ; 0.327957389098748 ;  ; 0.604644055886778 ;  ; 0.308959588771673 ;  ; 0 ;  ; 0.223243689114258 ;  ; 0.3295070097446 ;  ; 0.16229698509336 ;  ; 0.283412897210071 ;  ; 0 ; unique <=2 ; 0.312290593233309 ;  ; 0 ;  
17;UnusedPrivateField ; 0.0891348579465201 ;  ; 0 ;  ; 0.469960497930826 ; * ; 0 ;  ; 0 ;  ; 0.146057005780359 ;  ; 0.153954742253029 ;  ; 0.150333616975436 ;  ; 0.175106960961784 ;  ; 0 ; unique <=2 ; 0.268901447171364 ;  ; 0 ;  
18;UnusedLocalVariable ; 0.142844217817558 ;  ; 0.41793673952356 ;  ; 0.383073730404374 ;  ; 0.420049509316412 ;  ; 0.463567506294753 ;  ; 0.20829306547343 ;  ; 0.273124106470597 ;  ; 0.293897323529257 ; * ; 0.302264493445516 ;  ; 0.176387134807608 ;  ; 0.368341652041175 ;  ; 0.106305918025827 ;  
19;UnusedPrivateMethod ; 0.109045729699769 ;  ; 0 ;  ; 0.469960497930826 ; * ; 0 ; unique <=2 ; 0 ;  ; 0.123521007568163 ;  ; 0.194377478046897 ;  ; 0.172542880024661 ;  ; 0.230908291708181 ;  ; 0 ; unique <=2 ; 0.28516648712878 ;  ; 0 ; unique <=2 
20;UnusedFormalParameter ; 0.105663680138746 ;  ; 0.285933181253841 ;  ; 0.412227706104591 ; * ; 0.321578762891196 ;  ; 0.290837606155718 ; * ; 0.201609469118635 ;  ; 0.325915347554459 ;  ; 0.256850089062959 ; * ; 0.243413059050291 ;  ; 0.208582234194097 ;  ; 0.227722997789844 ; * ; 0.156455425856946 ;  
21;embed.JS ; 0.183552752260801 ;  ; 0.379204412949115 ;  ; 0.269799755249964 ;  ; 0.351680229217332 ;  ; 0.328578220451378 ;  ; 0.242098002684706 ;  ; 0.221352732252785 ;  ; 0.298836870790018 ;  ; 0.224362209565556 ;  ; 0.294879320070775 ;  ; 0.249267395714055 ;  ; 0.261422191381916 ;  
22;inline.JS ; 0.148493965836341 ;  ; 0.248034721661945 ;  ; 0.383073730404374 ; * ; 0.380992365553921 ;  ; 0.441865809504632 ;  ; 0.296228345862064 ;  ; 0.285034777888545 ;  ; 0.192301042946869 ;  ; 0.2871489981155 ;  ; 0.291904946399707 ;  ; 0.179979753624042 ;  ; 0 ;  
23;embed.CSS ; 0.1602387835907 ;  ; 0.405388846492214 ;  ; 0.370534310455169 ;  ; 0.268056003290038 ; * ; 0 ; unique <=2 ; 0.156411361820564 ;  ; 0.231510508622517 ;  ; 0.222053094462567 ;  ; 0.341170114533538 ;  ; 0.291904946399707 ;  ; 0.249267395714055 ;  ; 0.216698609031984 ;  
24;inline.CSS ; 0.141345625602952 ;  ; 0.425676222602866 ;  ; 0.469960497930826 ; * ; 0.377809418705353 ; * ; 0.330787767546363 ;  ; 0.232810885112675 ; * ; 0.195222459648537 ;  ; 0.138760842764615 ;  ; 0.236933002991099 ;  ; 0.279624817329072 ;  ; 0.297355247193225 ;  ; 0.283337452069471 ; * 
25;css.in.JS ; 0.0982366502587123 ;  ; 0.407298642282177 ;  ; 0.43656417441788 ;  ; 0.196035942978414 ; * ; 0.46033254923945 ;  ; 0.256801447433872 ;  ; 0.293131593310796 ;  ; 0.180314633274892 ;  ; 0.273872702604693 ;  ; 0.174170861004568 ;  ; 0.300723372184791 ;  ; 0.220611887552594 ;  
26;css.in.JS..jquery ; 0.078603252154989 ;  ; 0.255019254688228 ; * ; 0.409955555580914 ;  ; 0.155803308905601 ;  ; 0 ; unique <=2 ; 0.14576758721309 ;  ; 0.209769462251913 ;  ; 0.228778678555667 ;  ; 0.124179822340687 ;  ; 0.291904946399707 ;  ; 0.337136944658401 ;  ; 0.135498949856147 ;  
27;max.lines ; 0.0927278797095216 ;  ; 0.345117805146555 ;  ; 0.469960497930826 ; * ; 0.23910802223875 ;  ; 0.427983362833878 ;  ; 0.177101310289981 ;  ; 0.183105821805274 ;  ; 0.126605518231938 ;  ; 0.258220382228486 ;  ; 0.420760527546002 ;  ; 0.157763366766899 ;  ; 0.345853730445379 ; * 
28;max.lines.per.function ; 0.109460142304814 ;  ; 0.22933055644116 ;  ; 0.604644055886778 ;  ; 0.184213041695303 ;  ; 0.40839815625991 ;  ; 0.145882233043258 ;  ; 0.336304158119004 ;  ; 0.236893724951832 ;  ; 0.281444130073562 ;  ; 0.356129793571406 ;  ; 0.429999034078547 ;  ; 0.267006951860027 ;  
29;max.params ; 0.101291467686183 ;  ; 0.149107043503208 ;  ; 0.383073730404374 ; * ; 0.166572942262011 ;  ; 0.352986228101415 ;  ; 0.193590207351555 ;  ; 0.141832029410029 ;  ; 0.294491408346824 ;  ; 0.138841721668553 ;  ; 0.270819142709258 ;  ; 0.497630887038429 ;  ; 0.218423890281371 ;  
