CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.205359898044353 ; 0.646666666666667 ;  ; 0.109833922947905 ; 0.906666666666667 ; 
NPathComplexity ; 0.178338662411247 ; 0.743333333333333 ;  ; 0.128307686732057 ; 0.843333333333333 ; 
ExcessiveMethodLength ; 0.191507083003275 ; 0.33 ;  ; 0.183438132369142 ; 0.67 ; 
ExcessiveClassLength ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
ExcessiveParameterList ; 0.163132098324725 ; 0.566666666666667 ;  ; 0.1342246659648 ; 0.753333333333333 ; 
ExcessivePublicCount ; 0 ; 0 ;  ; 0 ; 0 ; 
TooManyFields ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
TooManyMethods ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
TooManyPublicMethods ; 0.320154222230395 ; 0.0433333333333333 ; * ; 0.0843259204999016 ; 0.953333333333333 ; 
ExcessiveClassComplexity ; 0.123797891826643 ; 0.846666666666667 ;  ; 0.161702681722056 ; 0.736666666666667 ; 
NumberOfChildren ; 0.157551333607281 ; 0.63 ;  ; 0.254908064658679 ; 0.29 ; 
DepthOfInheritance ; 0 ; 0 ;  ; 0 ; 0 ; 
CouplingBetweenObjects ; 0.156750241521791 ; 0.616666666666667 ;  ; 0.169762075982604 ; 0.73 ; 
DevelopmentCodeFragment ; 0 ; 0 ;  ; 0 ; 0 ; 
UnusedPrivateField ; 0 ; 0 ;  ; 0 ; 0 ; 
UnusedLocalVariable ; 0.106305918025827 ; 0.93 ;  ; 0.176361052764754 ; 0.556666666666667 ; 
UnusedPrivateMethod ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
UnusedFormalParameter ; 0.156455425856946 ; 0.696666666666667 ;  ; 0.103219206252522 ; 0.97 ; 
embed.JS ; 0.261422191381916 ; 0.256666666666667 ;  ; 0.271076349754111 ; 0.0466666666666667 ; *
inline.JS ; 0 ; 0 ;  ; 0 ; 0 ; 
embed.CSS ; 0.216698609031984 ; 0.326666666666667 ;  ; 0.12777400382898 ; 0.706666666666667 ; 
inline.CSS ; 0.283337452069471 ; 0.0466666666666667 ; * ; 0.0676832651455828 ; 0.99 ; 
css.in.JS ; 0.220611887552594 ; 0.636666666666667 ;  ; 0.322677355492358 ; 0.136666666666667 ; 
css.in.JS..jquery ; 0.135498949856147 ; 0.613333333333333 ;  ; 0.131770960093 ; 0.786666666666667 ; 
max.lines ; 0.345853730445379 ; 0.0266666666666667 ; * ; 0.143078418821566 ; 0.803333333333333 ; 
max.lines.per.function ; 0.267006951860027 ; 0.276666666666667 ;  ; 0.14742752701617 ; 0.6 ; 
max.params ; 0.218423890281371 ; 0.196666666666667 ;  ; 0.169871334575539 ; 0.523333333333333 ; 
complexity ; 0.333425371942362 ; 0.0333333333333333 ; * ; 0.199615117111263 ; 0.396666666666667 ; 
max.depth ; 0.333425371942362 ; 0.0333333333333333 ; * ; 0.199615117111263 ; 0.396666666666667 ; 
max.nested.callbacks ; 0.351818556410926 ; 0.416666666666667 ;  ; 0.270480797860279 ; 0.33 ; 
