1;CS;phpmyadmin;phpmyadmin_p;dokuwiki;dokuwiki p _;opencart;opencart p _;phpbb;phpbb p _;phppgadmin;phppgadmin p _;mediawiki;mediawiki p _;prestashop;prestashop p _;vanilla;vanilla p _;dolibarr;dolibarr p _;roundcubemail;roundcubemail p _;openemr;openemr p _;kanboard;kanboard p _
2;CS; te; p; te; p; te; p; te; p; te; p; te; p; te; p; te; p; te; p; te; p; te; p; te; p
3;CyclomaticComplexity ; 0.13558031919929 ; 0.85 ; 0.260890928731407 ; 0.896666666666667 ; 0.183671782218231 ; 0.98 ; 0.304737843831944 ; 0.57 ; 0.245220981443153 ; 0.843333333333333 ; 0.198601649869766 ; 0.94 ; 0.182034164456092 ; 0.94 ; 0.281088172072745 ; 0 ; 0.122101253746342 ; 0.99 ; 0.257215219744878 ; 0.523333333333333 ; 0.219857192448071 ; 0.93 ; 0.181408046162649 ; 0 
4;NPathComplexity ; 0.13726148416005 ; 0.733333333333333 ; 0.233538323173349 ; 0.85 ; 0.311761784660224 ; 0.91 ; 0.249066049200523 ; 0.713333333333333 ; 0.368599157895516 ; 0.373333333333333 ; 0.229618380790487 ; 0.903333333333333 ; 0.182034164456092 ; 0.98 ; 0.324004558013388 ; 0 ; 0.111033169365151 ; 0.986666666666667 ; 0.257215219744878 ; 0.523333333333333 ; 0.219857192448071 ; 0.986666666666667 ; 0.155040319779163 ; 0 
5;ExcessiveMethodLength ; 0.0833314529053718 ; 0 ; 0.276354703816483 ; 0.743333333333333 ; 0.183671782218231 ; 0 ; 0.30604658272854 ; 0.536666666666667 ; 0.293507234852801 ; 0.97 ; 0.218371316457305 ; 0.88 ; 0.195132362882162 ; 0.936666666666667 ; 0.263337458210388 ; 0.703333333333333 ; 0.0904294853017815 ; 0.976666666666667 ; 0.257215219744878 ; 0.523333333333333 ; 0.346452243907873 ; 0.833333333333333 ; 0.124946415144166 ; 0.52 
6;ExcessiveClassLength ; 0.173765300781666 ; 0.54 ; 0.328021761868943 ; 0.616666666666667 ; 0.137882867785773 ; 0.766666666666667 ; 0.131452603163268 ; 0.986666666666667 ; 0.293507234852801 ; 0.683333333333333 ; 0.157020554821981 ; 0.856666666666667 ; 0.20260702815053 ; 0.95 ; 0.204522608790567 ; 0.856666666666667 ; 0.170662428185889 ; 0.993333333333333 ; 0.221478762972365 ; 0.71 ; 0.346452243907873 ; 0.85 ; 0 ; 0 
7;ExcessiveParameterList ; 0.131959620287643 ; 0.35 ; 0 ; 0 ; 0.225346226717296 ; 0.913333333333333 ; 0.258405775884663 ; 0.933333333333333 ; 0.293507234852801 ; 0.776666666666667 ; 0.114476442451579 ; 0.993333333333333 ; 0.172029177528584 ; 0.986666666666667 ; 0 ; 0 ; 0.0804865511955056 ; 0.986666666666667 ; 0 ; 0 ; 0.346452243907873 ; 0.74 ; 0.151973789758738 ; 0.8 
8;ExcessivePublicCount ; 0.150223231937643 ; 0.743333333333333 ; 0.225737054377484 ; 0.67 ; 0.311761784660226 ; 0.746666666666667 ; 0.218833485860045 ; 1 ; 0.293507234852801 ; 0.883333333333333 ; 0.146120018821018 ; 0.993333333333333 ; 0.23598426443316 ; 0.72 ; 0.204661175592648 ; 0.91 ; 0.0885804715819593 ; 1 ; 0 ; 0 ; 0.215309853606101 ; 0.933333333333333 ; 0 ; 0 
9;TooManyFields ; 0.0987818399857494 ; 0.946666666666667 ; 0.20234397800101 ; 0.646666666666667 ; 1 ;  all cs=1 ; 0.120081228289098 ; 1 ; 0 ; 0 ; 0.266559797926874 ; 0.88 ; 0.268537786190461 ; 0.78 ; 0.333059190028519 ; 0.576666666666667 ; 0.106619592041552 ; 0.963333333333333 ; 0.208642794444352 ; 0.696666666666667 ; 0.280583028572496 ; 0.853333333333333 ; 0 ; 0 
10;TooManyMethods ; 0.209168809444936 ; 0.66 ; 0.21828729431217 ; 0.763333333333333 ; 0.311761784660226 ; 0.746666666666667 ; 0.225537551191138 ; 0.993333333333333 ; 0.293507234852801 ; 0.876666666666667 ; 0.159355777554374 ; 0.98 ; 0.208068289516049 ; 0.953333333333333 ; 0.249416865327799 ; 0.706666666666667 ; 0.117619416193032 ; 0.993333333333333 ; 0.208642794444352 ; 0.696666666666667 ; 0.240809361294656 ; 0 ; 0 ; 0 
11;TooManyPublicMethods ; 0.139886299303453 ; 0.72 ; 0.216013751703905 ; 0.71 ; 0.183671782218231 ; 0 ; 0.195301978708816 ; 0.926666666666667 ; 0.193965172625638 ; 0 ; 0.148768592647567 ; 0.963333333333333 ; 0.187628664679712 ; 0.883333333333333 ; 0.223772425532478 ; 0.843333333333333 ; 0.0893867523522771 ; 1 ; 0.217811287892933 ; 0.766666666666667 ; 0.346452243907873 ; 0.683333333333333 ; 0.279695135853291 ; 0.19 
