CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.198601649869766 ; 0.94 ;  ; 0.225574828733222 ; 0.266666666666667 ; 
NPathComplexity ; 0.229618380790487 ; 0.903333333333333 ;  ; 0.231134929972272 ; 0.45 ; 
ExcessiveMethodLength ; 0.218371316457305 ; 0.88 ;  ; 0.236521568626936 ; 0.263333333333333 ; 
ExcessiveClassLength ; 0.157020554821981 ; 0.856666666666667 ;  ; 0.2051415340755 ; 0.393333333333333 ; 
ExcessiveParameterList ; 0.114476442451579 ; 0.993333333333333 ;  ; 0.135296228467076 ; 0.893333333333333 ; 
ExcessivePublicCount ; 0.146120018821018 ; 0.993333333333333 ;  ; 0.191986233826861 ; 0.706666666666667 ; 
TooManyFields ; 0.266559797926874 ; 0.88 ;  ; 0.230415248201276 ; 0.563333333333333 ; 
TooManyMethods ; 0.159355777554374 ; 0.98 ;  ; 0.206742068796275 ; 0.33 ; 
TooManyPublicMethods ; 0.148768592647567 ; 0.963333333333333 ;  ; 0.207752832080589 ; 0.373333333333333 ; 
ExcessiveClassComplexity ; 0.209431322263941 ; 0.89 ;  ; 0.194519341874226 ; 0.48 ; 
NumberOfChildren ; 0.215747902407234 ; 0.67 ;  ; 0.135012997947723 ; 0.92 ; 
DepthOfInheritance ; 0 ; 0 ;  ; 0 ; 0 ; 
CouplingBetweenObjects ; 0.127753135436681 ; 0 ; * ; 0.105931558180878 ; 0.736666666666667 ; 
DevelopmentCodeFragment ; 0.261812397715656 ; 0.65 ;  ; 0.274181429512584 ; 0.143333333333333 ; 
UnusedPrivateField ; 0.169528131688504 ; 0.96 ;  ; 0.105377480046609 ; 0.976666666666667 ; 
UnusedLocalVariable ; 0.200975390988479 ; 0.93 ;  ; 0.21285784215289 ; 0.47 ; 
UnusedPrivateMethod ; 0.11657518722774 ; 0.96 ;  ; 0.0824881528398992 ; 0.996666666666667 ; 
UnusedFormalParameter ; 0.165741757466438 ; 0.97 ;  ; 0.251105628966368 ; 0.16 ; 
embed.JS ; 0.197918439039553 ; 0.973333333333333 ;  ; 0.178975045270435 ; 0.613333333333333 ; 
inline.JS ; 0.215106616938713 ; 0.826666666666667 ;  ; 0.173143647689242 ; 0.616666666666667 ; 
embed.CSS ; 0.194061769604345 ; 0.826666666666667 ;  ; 0.120157143730734 ; 0.896666666666667 ; 
inline.CSS ; 0.208358105635234 ; 0.01 ; * ; 0.206012390717427 ; 0.313333333333333 ; 
css.in.JS ; 0.207650615219696 ; 0.593333333333333 ;  ; 0.151180640400125 ; 0.843333333333333 ; 
css.in.JS..jquery ; 0.171865330950152 ; 0.98 ;  ; 0.14803253527417 ; 0.883333333333333 ; 
max.lines ; 0.132982275300101 ; 0.676666666666667 ;  ; 0.159360968759039 ; 0.476666666666667 ; 
max.lines.per.function ; 0.117856916102068 ; 0.93 ;  ; 0.139983870443057 ; 0.766666666666667 ; 
max.params ; 0.205797511031814 ; 0.91 ;  ; 0.190596837338433 ; 0.693333333333333 ; 
complexity ; 0.192193480317694 ; 0.973333333333333 ;  ; 0.197466072764663 ; 0.396666666666667 ; 
max.depth ; 0.1637516179221 ; 0.85 ;  ; 0.152256025276055 ; 0.48 ; 
max.nested.callbacks ; 0.130629119311171 ; 0.993333333333333 ;  ; 0.133015481601831 ; 0.796666666666667 ; 
