CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.13558031919929 ; 0.85 ;  ; 0.148925683249482 ; 0.186666666666667 ; 
NPathComplexity ; 0.13726148416005 ; 0.733333333333333 ;  ; 0.0838087700332538 ; 0.903333333333333 ; 
ExcessiveMethodLength ; 0.0833314529053718 ; 0 ; * ; 0.0909873804916179 ; 0.416666666666667 ; 
ExcessiveClassLength ; 0.173765300781666 ; 0.54 ;  ; 0.100568095598085 ; 0.693333333333333 ; 
ExcessiveParameterList ; 0.131959620287643 ; 0.35 ;  ; 0.0696595657792317 ; 0.84 ; 
ExcessivePublicCount ; 0.150223231937643 ; 0.743333333333333 ;  ; 0.101244910998962 ; 0.66 ; 
TooManyFields ; 0.0987818399857494 ; 0.946666666666667 ;  ; 0.0883237662559172 ; 0.8 ; 
TooManyMethods ; 0.209168809444936 ; 0.66 ;  ; 0.145030081515844 ; 0.71 ; 
TooManyPublicMethods ; 0.139886299303453 ; 0.72 ;  ; 0.125099869311636 ; 0.276666666666667 ; 
ExcessiveClassComplexity ; 0.13952044718261 ; 0.8 ;  ; 0.145210417421396 ; 0.256666666666667 ; 
NumberOfChildren ; 0.122308861927574 ; 0.996666666666667 ;  ; 0.10285097514353 ; 0.816666666666667 ; 
DepthOfInheritance ; 0 ; 0 ;  ; 0 ; 0 ; 
CouplingBetweenObjects ; 0.172036991532231 ; 0.936666666666667 ;  ; 0.149450906400644 ; 0.546666666666667 ; 
DevelopmentCodeFragment ; 0.0546054814785558 ; 0.09 ;  ; 0.0945826797838584 ; 0.566666666666667 ; 
UnusedPrivateField ; 0.110183332084321 ; 0.946666666666667 ;  ; 0.131245857071146 ; 0.576666666666667 ; 
UnusedLocalVariable ; 0.142984485462171 ; 0.936666666666667 ;  ; 0.140030696440239 ; 0.343333333333333 ; 
UnusedPrivateMethod ; 0.118813303704932 ; 0.873333333333333 ;  ; 0.123414380844272 ; 0.356666666666667 ; 
UnusedFormalParameter ; 0.124087445319614 ; 0.99 ;  ; 0.127305934065207 ; 0.683333333333333 ; 
embed.JS ; 0.20977876212814 ; 0.533333333333333 ;  ; 0.142888080410095 ; 0.556666666666667 ; 
inline.JS ; 0.162752760374404 ; 0.803333333333333 ;  ; 0.219945664949166 ; 0.0666666666666667 ; 
embed.CSS ; 0.16948633641546 ; 0.923333333333333 ;  ; 0.128917977233718 ; 0.743333333333333 ; 
inline.CSS ; 0.167143311889915 ; 0.89 ;  ; 0.13876220951696 ; 0.64 ; 
css.in.JS ; 0.107584568164307 ; 1 ;  ; 0.127999058407694 ; 0.68 ; 
css.in.JS..jquery ; 0.102235502008021 ; 0.883333333333333 ;  ; 0.11370684078244 ; 0.566666666666667 ; 
max.lines ; 0.112454112347604 ; 0.993333333333333 ;  ; 0.0951811794299656 ; 0.886666666666667 ; 
max.lines.per.function ; 0.146917410988652 ; 0.996666666666667 ;  ; 0.158271907686847 ; 0.47 ; 
max.params ; 0.129495799885408 ; 0.973333333333333 ;  ; 0.163035106327618 ; 0.24 ; 
complexity ; 0.108675964032372 ; 0.993333333333333 ;  ; 0.105644586307211 ; 0.726666666666667 ; 
max.depth ; 0.101271779008933 ; 0.663333333333333 ;  ; 0.0661339026752017 ; 0.923333333333333 ; 
max.nested.callbacks ; 0.0917368127864791 ; 0.703333333333333 ;  ; 0.0911738699508864 ; 0.743333333333333 ; 
