1;CS;phpmyadmin;dokuwiki;opencart;phpbb;phppgadmin;mediawiki;prestashop;vanilla;dolibarr;roundcubemail;openemr;kanboard
2;CyclomaticComplexity ;0.0994719098261129;0.480870790903501;0.117059371930673;0.438993155949378;0.825671766444077;1.31276966168109e-05;0.520103087596403;0.544835802759155;4.9715845391339e-09;0.384817151618304;0.889997788445521;0.591374830937142
3;NPathComplexity ;0.110152748352378;0.404238743266941;0.550627956189759;0.5254962998223;0.897938432800914;1.53359501406724e-05;0.42025298088195;0.245225846432349;6.49695607352499e-09;0.609952310664365;0.278765516359219;0.640912900875733
4;ExcessiveMethodLength ;0.0802654212198093;0.608468390310738;0.0430131423749719;0.527827210059577;0.106196730658928;4.41779587883381e-05;0.517498627135501;0.000466248869833452;2.92137528659666e-07;0.357051521040388;0.34262297694122;0.402886710562239
5;ExcessiveClassLength ;0.000443173689362129;0.582285935088482;0.991232846298228;0.406697288130005;0.526035255188679;2.10965697373456e-05;0.459621307214557;0.12400233460314;0.0545685055281495;0.376481452390531;0.569417600714796;1
6;ExcessiveParameterList ;0.105093662222349;1;1;0.328651689449335;0.908467517210733;0.00155885777889392;0.704356793610713;1;0.000329146796297416;1;0.432432366191731;0.948729669177514
7;ExcessivePublicCount ;0.0452914869300609;0.386489807567099;0.514259184764965;0.884552543539946;0.856585937380644;0.323454656731343;0.433992290959273;0.809934359754809;0.000154848303148514;1;0.308827848559394;1
8;TooManyFields ;0.50138445079708;0.657208155813607;1;0.2052067274739;1;0.000175901610011445;0.395970862981616;0.940638837993594;3.24470684405335e-05;1;0.630002582630074;1
9;TooManyMethods ;0.546929380096487;0.655270762161931;0.568351453031724;0.680902532215276;0.648760055540602;5.23130763565747e-05;0.474569977228587;0.0434216389875367;5.52994528676525e-10;0.396318464849162;0.0540418140056944;1
10;TooManyPublicMethods ;0.00760599727176151;0.666806932089685;0.886284730505775;0.52248405453344;0.889356956093283;0.655896190317274;0.499736109348926;0.699079640512035;3.39452362567179e-06;0.343170239592187;0.173559770339538;0.754272112828314
11;ExcessiveClassComplexity ;0.00254832389452686;0.666599757303183;0.943052290000483;0.392060347709075;0.679109320884289;1.99056100869785e-06;0.392596122600822;0.946121435010417;7.0086631623957e-06;0.338332274575109;0.989327343790264;0.96435426704362
12;NumberOfChildren ;0.00160972544198681;1;1;1;1;0.000691639652373898;0.0698011723062261;0.690165592569455;0.0122965600545;1;0.108394397449198;0.931321321687828
13;DepthOfInheritance ;1;1;1;1;0.464168744681514;1;0.104307206460622;1;1;1;1;1
14;CouplingBetweenObjects ;0.00934190113503005;1;1;0.99761057443979;1;2.83068332061382e-05;0.832729071151356;0.599984607599495;0.0832028409490823;1;0.0468989100524288;0.441040462478692
15;DevelopmentCodeFragment ;0.110060107955208;0.598553833401684;0.815438918006817;0.959102064541379;1;0.0711495480818686;0.571649729919697;0.225751721822428;0.00211272162170449;1;0.0185450271838383;1
16;UnusedPrivateField ;0.135164334030081;1;0.00644532549422146;1;1;0.0322145369368597;0.755490216768291;1;0.061045563950251;1;1;1
17;UnusedLocalVariable ;0.0557454749822265;0.238154270782998;0.0011373354978544;0.496150070478279;0.986385461369958;0.00491194674816492;0.514622042874332;0.0449714691110908;6.29356025269024e-06;0.833886539370796;0.644128964024981;0.804706155490065
18;UnusedPrivateMethod ;0.536190325976287;1;1;1;1;0.000259389821895128;0.380733080165042;0.898514060410892;0.00431171754169637;1;0.00490084495468729;1
19;UnusedFormalParameter ;0.103912985237108;0.742695417798305;0.00028079594713772;0.836431661721821;0.751135321323341;0.0980258123292541;0.019460483928415;0.401881134708105;0.000313594122939197;0.374200645630355;0.0229048430334408;0.56427012726927
