1;CS;phpmyadmin;phpmyadmin_sig;dokuwiki;dokuwiki sig _;opencart;opencart sig _;phpbb;phpbb sig _;phppgadmin;phppgadmin sig _;mediawiki;mediawiki sig _;prestashop;prestashop sig _;vanilla;vanilla sig _;dolibarr;dolibarr sig _;roundcubemail;roundcubemail sig _;openemr;openemr sig _;kanboard;kanboard sig _
2;CyclomaticComplexity ;0.758521912447016; ;0.724002536756738; ;0.796379919390592; ;0.536869801274911; ;0.803378904039442; ;0.000162873751826583; *;0.324205516228228;NA;0.00355454290121449; *;6.19896712698031e-07; *;0.630705468173184; ;0.572217575375814; ;0.723185288081583; 
3;NPathComplexity ;0.883333169702714; ;0.638120555616258; ;0.27293613877482; ;0.613396224790947; ;0.948780109241437; ;0.00020991011501137; *;0.225073616933461;NA;0.0866945309522074; ;7.17109215929595e-07; *;0.832638090168313; ;0.709228440149527; ;0.752922501666856; 
4;ExcessiveMethodLength ;0.761413303188139; ;0.676934902047954; ;0.177533892778901; ;0.594728894277671; ;0.179635121685173; ;0.00031751082280774; *;0.257126377792535;NA;0.000677728249230131; *;7.88316795574241e-05; *;0.66355939120063; ;0.422947737932119; ;0.382646218560975; 
5;ExcessiveClassLength ;0.00255094919808073; *;0.733981728527702; ;0.726049566173691; ;0.508441239188539; ;0.275382150527369; ;0.000250306483944069; *;0.337597389665434;NA;0.0426401470752542; *;0.113886680000226; ;0.404178456935897; ;0.964498900842843; ;1; unique <=3
6;ExcessiveParameterList ;0.530576648145724; ;1; unique <=3;1; unique <=3;0.414072140643729; ;0.88855609859927; ;0.0174993951119629; *;0.685727418226784;NA;1; 0;4.76856612247163e-05; *;1; unique <=3;0.483699475394212; ;0.975366289201115; 
7;ExcessivePublicCount ;0.181665066909768; ;0.200550563939486; ;0.671631144830264; ;0.772548629739379; ;0.829762004356066; ;0.0519416666609927; ;0.199391381179616;NA;0.634138858065561; ;0.000456953300842193; *;1; unique <=3;0.588498050027548; ;1; 0
8;TooManyFields ;0.535109128887595; ;0.423929209134346; ;1;  all cs=1;0.223301472460461; ;1; unique <=3;0.00142252754620456; *;0.338346874063022;NA;0.925185650267929; ;0.000646877352469194; *;1; unique <=3;0.76741071933692; ;1; unique <=3
9;TooManyMethods ;0.649106484494048; ;0.0396393035505235; *;0.541620347523343; ;0.238318629144571; ;0.583448442511057; ;0.000884581856197009; *;0.451864550231237;NA;0.0425288646988123; *;9.1631500323324e-08; *;0.376246886761501; ;0.0337958423313101; *;1; unique <=3
10;TooManyPublicMethods ;0.253130586714601; ;0.55839855948599; ;0.950418665626948; ;0.700273779930455; ;0.906707337562152; ;0.0733257921608145; ;0.224575425579285;NA;0.249751676490906; ;4.76535645475998e-06; *;0.487526730011228; ;0.245830669519293; ;0.520590165471325; 
11;ExcessiveClassComplexity ;0.0298061104065018; *;0.832010898445586; ;0.852393635250366; ;0.457134722480027; ;0.401263813521301; ;5.92311462537598e-05; *;0.253792737704821;NA;0.737208695249315; ;3.45692873499816e-06; *;0.491954658752638; ;0.947997693722835; ;0.920944332786233; 
12;NumberOfChildren ;0.290577937773168; ;1; unique <=3;1; unique <=3;1; unique <=3;1; unique <=3;0.0144998461229147; *;0.38004266270588;NA;0.058613868970884; ;0.0255457242348558; *;1;  all cs=1;0.0555123330632556; ;0.972644872041053; 
13;DepthOfInheritance ;1; 0;1; 0;1; 0;1; 0;0.759023731540059; ;1; 0;0.265841591238625;NA;1; 0;1; 0;1; 0;1; unique <=3;1; 0
14;CouplingBetweenObjects ;0.00369592410097265; *;1; unique <=3;1; unique <=3;0.984580568776528; ;1; unique <=3;0.000225161525790824; *;0.752997361344304;NA;0.783636834024252; ;0.0384378325068395; *;1; unique <=3;0.272756221071573; ;0.59321790669947; 
15;DevelopmentCodeFragment ;0.620115573042792; ;0.329221060152579; ;0.455688326200748; ;0.980886806754321; ;1; 0;0.0152822815365406; *;0.93786026973636;NA;0.215478369724841; ;6.69136202643238e-06; *;1; unique <=3;0.00610701136169237; *;1; 0
16;UnusedPrivateField ;0.70511351444195; ;1; 0;0.186394837216753; ;1; 0;1; 0;0.0383503368610147; *;0.986342748219636;NA;1; unique <=3;0.397711732624174; ;1; unique <=3;1; unique <=3;1; 0
17;UnusedLocalVariable ;0.3377803437792; ;0.339110245185772; ;0.164289675236416; ;0.625857531956304; ;0.965862070099616; ;0.0830562132466113; ;0.677323197219722;NA;0.00091505995875108; *;0.00125748909142283; *;0.900747032624525; ;0.320450097007141; ;0.632456540717429; 
18;UnusedPrivateMethod ;0.903799653309606; ;1; 0;1; unique <=3;1; unique <=3;1; 0;0.000951002606687909; *;0.921662741546964;NA;0.972769458488464; ;0.0645000009372255; ;1; unique <=3;0.0345970856571744; *;1; unique <=3
19;UnusedFormalParameter ;0.921869523188661; ;0.334080891906006; ;0.00213736552682152; *;0.91843581571385; ;0.713864738369838; ;0.0475417961961929; *;0.111935124171174;NA;0.00640233041928792; *;0.0027134774646339; *;0.286101141466593; ;0.00509830486438392; *;0.66961857822965; 
20;embed.JS ;0.761984971295603; ;0.0794935655479487; ;0.687380676344658; ;0.574243135088445; ;0.232704695400736; ;0.528198338324554; ;0.629000379171614;NA;0.0251913730588794; *;0.00920672694279454; *;0.377893306356747; ;0.0109160266791881; *;1; unique <=3
21;inline.JS ;0.209096643073819; ;0.235038536733702; ;0.569686360567826; ;0.563576060506223; ;0.835398440945218; ;0.399744258160387; ;0.311410036011702;NA;0.514412075584847; ;0.000143708971589635; *;0.400465167803853; ;0.101219294780923; ;1; 0
22;embed.CSS ;0.275021088688675; ;0.134222685746812; ;0.140746159058736; ;0.775865432458732; ;1; unique <=3;0.434288548539362; ;0.955237011507753;NA;0.0167196424259896; *;0.425310788737905; ;1; unique <=3;0.00864443052011105; *;0.389632676751081; 
23;inline.CSS ;0.635612573220981; ;0.0401308770372041; *;0.72070128389083; ;0.78750500695829; ;0.0840105782839176; ;0.143303429965749; ;0.849405421196993;NA;0.42889569439357; ;0.0968097285655188; ;0.432609854654337; ;0.00649062667951806; *;0.636706472295065; 
24;css.in.JS ;0.0110595935420112; *;0.00884104309537479; *;0.954442153365917; ;0.723560357552828; ;0.930586186970422; ;0.140201386796665; ;0.68718694733656;NA;0.779474071046381; ;1.84451112831967e-06; *;0.359258358049399; ;0.876969717243457; ;0.626713609841609; 
25;css.in.JS..jquery ;0.895326442944601; ;0.587935089383961; ;0.924128496055999; ;0.445018482817036; ;1; unique <=3;0.000388861059546456; *;0.680264542250631;NA;0.297528075915611; ;0.357695943863272; ;0.505423876571528; ;0.0174430965293534; *;0.0609992457812272; 
26;max.lines ;0.882243586621618; ;0.0654379512283169; ;0.00415412591368589; *;0.773666630452082; ;0.180014412448604; ;0.729381996687895; ;0.795609630074085;NA;0.000230740704790937; *;0.0223961049855521; *;0.689736392142868; ;0.00848014640693535; *;0.04441223386011; *
27;max.lines.per.function ;0.632939364761712; ;0.257726827062673; ;0.795809753819497; ;0.43241954746749; ;0.353533352975548; ;0.0243068234675163; *;0.779887160716299;NA;0.0684749141496121; ;0.936900048964175; ;0.637194852181503; ;0.00249286958567557; *;0.0635949991559108; 
28;max.params ;0.709323879413115; ;0.535587313571359; ;0.216138531605095; ;0.0756423316214941; ;0.316809922660836; ;0.788853224559285; ;0.976804556283429;NA;0.924594255573498; ;0.578884980233534; ;0.454768461840235; ;0.0649496175662457; ;0.048947355948774; *
29;complexity ;0.715008301895017; ;0.353883435420307; ;0.417824510891926; ;0.214111522091485; ;0.452058956277868; ;0.133670228239528; ;0.928599205116963;NA;0.989682773696741; ;0.454675255195793; ;0.673576090073623; ;0.255614911343214; ;0.0490787136439937; *
30;max.depth ;0.728574867157204; ;0.264645445745758; ;0.457427037575007; ;1; unique <=3;1; unique <=3;0.847543318214502; ;0.848826047130239;NA;0.0821011343528762; ;0.0382930772722947; *;0.473977425358018; ;0.0229204603758277; *;0.0536522219873481; 
31;max.nested.callbacks ;0.523081533570769; ;1; unique <=3;0.370333269697842; ;0.327783243583311; ;1; 0;0.137595618143337; ;0.98117704923383;NA;0.000208612095622542; *;0.0355393571167218; *;0.622484506407048; ;0.0188829898652062; *;0.028692067944602; *
