Id;Version;Date;Age;VersionAge; CyclomaticComplexity; NPathComplexity;ExcessiveMethodLength;ExcessiveClassLength;ExcessiveParameterList;ExcessivePublicCount;TooManyFields;TooManyMethods;TooManyPublicMethods;ExcessiveClassComplexity;NumberOfChildren;DepthOfInheritance;CouplingBetweenObjects;DevelopmentCodeFragment;UnusedPrivateField;UnusedLocalVariable;UnusedPrivateMethod;UnusedFormalParameter; embed JS;inline JS;embed CSS;inline CSS;css in JS;css in JS: jquery; max-lines;max-lines-per-function;max-params;complexity;max-depth;max-nested-callbacks;PHP;HTML;JavaScript;CSS;HTML_template;HTML_diff;Client;SUM
1;1.1.0;2003-12-08;0;0;56;38;14;0;0;2;2;2;10;6;0;0;0;0;0;332;0;36;2;2;3;6;20;0;0;0;0;3;0;0;18404;446;149;378;203;243;973;23599
2;1.2.0;2004-03-24;107;107;32;20;8;0;0;3;1;3;8;6;0;0;0;0;0;211;0;43;4;4;3;1;20;0;0;1;1;3;0;0;22471;643;264;448;203;440;1355;25766
3;1.2.1;2004-03-28;111;1;32;20;8;0;0;3;1;3;8;6;0;0;0;0;0;211;0;43;4;4;3;1;20;0;0;1;1;3;0;0;22532;636;264;448;203;433;1348;25820
4;1.2.2;2004-03-29;112;1;32;20;8;0;0;3;1;3;8;6;0;0;0;0;0;211;0;43;4;4;3;1;20;0;0;1;1;3;0;0;22533;636;264;448;203;433;1348;25821
5;1.2.3;2004-04-02;116;2;32;20;8;0;0;3;1;3;8;6;0;0;0;0;0;211;0;43;4;4;3;1;20;0;0;1;1;3;0;0;22540;636;264;448;203;433;1348;25828
6;1.2.4;2004-04-13;127;11;32;20;8;0;0;3;1;3;8;6;0;0;0;0;0;212;0;43;4;4;3;1;20;0;0;1;1;3;0;0;22656;638;264;466;203;435;1368;25970
7;1.2.5;2004-05-03;147;3;34;22;8;0;0;3;1;3;8;6;0;0;0;0;0;212;0;43;4;4;3;1;20;0;0;1;1;3;0;0;22692;639;264;466;203;436;1369;26007
8;1.2.6;2004-05-25;169;22;34;22;8;0;0;3;1;3;8;6;0;0;0;0;0;212;0;43;4;4;3;1;20;0;0;1;1;3;0;0;22729;639;264;466;203;436;1369;26044
9;1.3.0;2004-08-12;248;4;59;36;14;0;0;6;3;5;26;15;1;0;0;2;0;242;0;94;3;2;3;9;35;0;1;5;1;7;1;0;33678;1254;470;3508;0;1254;5232;41501
10;1.3.1;2004-08-14;250;2;59;36;14;0;0;6;3;5;26;15;1;0;0;2;0;241;0;93;3;2;3;9;35;0;1;5;1;7;1;0;33693;1254;470;3508;0;1254;5232;41516
11;1.3.2;2004-08-30;266;5;59;36;14;0;0;6;3;5;26;15;1;0;0;2;0;243;0;93;3;2;3;9;35;0;1;5;1;7;1;0;33766;1258;470;3508;0;1258;5236;41594
12;1.3.3;2004-09-09;276;10;59;36;14;0;0;6;3;5;26;15;1;0;0;2;0;248;0;93;3;2;3;9;35;0;1;5;1;7;1;0;33751;1258;470;3508;0;1258;5236;41579
13;1.3.4;2004-09-29;296;6;59;36;14;0;0;6;3;5;26;15;1;0;0;2;0;248;0;93;3;3;3;9;35;0;1;5;1;7;1;0;33961;1258;470;3511;0;1258;5239;41792
