Id;Version;Date;Age;VersionAge; CyclomaticComplexity; NPathComplexity;ExcessiveMethodLength;ExcessiveClassLength;ExcessiveParameterList;ExcessivePublicCount;TooManyFields;TooManyMethods;TooManyPublicMethods;ExcessiveClassComplexity;NumberOfChildren;DepthOfInheritance;CouplingBetweenObjects;DevelopmentCodeFragment;UnusedPrivateField;UnusedLocalVariable;UnusedPrivateMethod;UnusedFormalParameter; embed JS;inline JS;embed CSS;inline CSS;css in JS;css in JS: jquery; max-lines;max-lines-per-function;max-params;complexity;max-depth;max-nested-callbacks;PHP;HTML;JavaScript;CSS;HTML_template;HTML_diff;Client;SUM
1;1.5.0.0;2011-07-06;0;0;748;453;202;34;13;19;53;21;72;153;2;0;50;9;36;612;45;304;294;445;28;4083;508;512;43;1106;383;543;297;20;199860;28703;62182;12702;9124;4806;103587;313878
2;1.5.0.1;2011-11-23;140;140;866;513;246;44;18;26;67;28;91;182;6;5;65;12;43;564;27;289;351;429;38;4586;514;644;52;1358;560;801;380;35;284091;44257;74118;14960;24583;4875;133335;444516
3;1.5.0.2;2011-12-23;170;30;583;337;171;23;16;18;39;19;60;132;4;9;52;6;27;329;15;234;288;412;12;4366;485;576;52;1343;405;575;304;31;218605;48950;72548;18046;29956;4644;139544;380409
4;1.5.0.3;2011-12-29;176;6;578;330;170;22;15;17;37;18;59;128;4;10;52;6;27;321;15;232;286;408;10;4328;485;581;52;1348;408;575;304;31;216365;49220;72804;18189;30295;4575;140213;380275
5;1.5.0.5;2012-02-14;223;47;577;326;169;21;14;17;34;18;61;126;4;16;54;6;25;259;19;230;239;360;10;3974;484;570;49;1283;404;569;302;26;206125;42584;69427;15003;24490;3732;127014;352270
6;1.5.0.9;2012-03-26;264;41;586;344;179;22;15;17;36;18;63;132;4;16;55;6;25;251;19;232;247;357;10;3979;486;577;49;1291;402;588;306;26;208971;43734;70477;15475;25204;3772;129686;357615
7;1.5.0.13;2012-06-07;337;73;587;351;181;22;15;17;37;17;66;130;4;17;60;6;22;237;4;204;237;356;11;3967;740;600;62;1352;439;714;279;31;211751;43701;66334;15921;24885;3722;125956;358174
8;1.5.0.15;2012-08-06;397;60;603;360;185;23;16;17;36;17;68;130;4;18;62;6;22;242;4;203;235;356;11;4011;740;600;62;1356;439;714;279;31;213210;43950;66382;15820;24963;3717;126152;360065
9;1.5.0.17;2012-09-13;435;38;613;365;190;24;16;17;36;17;68;130;4;21;64;6;23;249;4;205;245;372;11;4024;745;660;64;1394;450;741;280;32;227238;47201;68717;16826;28006;3703;132744;380386
10;1.5.1.0;2012-10-04;456;21;602;359;188;23;16;17;36;16;69;129;4;21;67;6;23;245;4;211;243;372;11;4001;745;660;64;1393;450;742;280;32;226929;47270;68656;16835;28060;3707;132761;381523
11;1.5.2.0;2012-10-23;475;19;603;360;188;23;16;17;36;16;69;129;4;21;67;6;23;245;4;211;244;373;11;4006;745;660;64;1393;450;742;280;32;227401;47358;68658;16836;28123;3732;132852;382084
12;1.5.3.0;2012-12-28;541;66;611;365;188;23;16;18;36;16;69;129;4;21;67;6;23;242;4;208;248;374;11;4007;746;670;65;1511;451;745;280;32;228333;47461;74350;17150;28271;3699;138961;389277
13;1.5.3.1;2012-12-31;544;3;611;365;188;23;16;18;36;16;69;129;4;21;67;6;23;242;4;208;256;383;11;4032;746;670;65;1511;451;745;280;32;228340;48485;74429;17150;29293;3701;140064;390332
14;1.5.4.0;2013-03-27;630;86;626;373;195;23;16;17;36;16;68;130;0;0;70;6;23;251;4;252;266;401;12;2443;745;655;65;1402;451;754;279;32;225360;40790;69250;17187;30460;3334;127227;376769
15;1.5.4.1;2013-04-25;659;29;630;378;195;23;16;17;36;16;69;129;0;0;71;6;23;253;3;253;266;401;12;2445;745;655;65;1402;451;754;279;32;225643;40886;69304;17199;30533;3339;127389;377273
16;1.5.5.0;2013-08-29;785;126;652;394;200;23;16;18;36;16;74;130;0;0;73;5;23;259;3;265;274;399;12;2452;736;593;68;1441;463;782;279;33;228586;41347;70452;20469;30894;3384;132268;385304
17;1.5.6.0;2013-10-07;824;39;653;397;200;23;16;18;36;16;74;131;0;0;72;5;23;257;3;266;268;399;12;2456;720;593;68;1172;431;706;222;30;229760;41371;58938;20472;30905;3393;120781;377477
18;1.6.0.1;2013-11-18;866;42;643;391;202;23;15;18;34;18;79;134;0;0;65;5;24;231;3;268;318;435;54;2321;714;644;75;1295;445;742;232;30;233483;53555;66990;34614;39863;3400;155159;438169
19;1.5.6.1;2013-11-20;868;2;663;405;202;23;16;18;36;16;75;134;0;0;73;5;23;263;3;265;269;402;12;2465;720;593;68;1174;432;706;222;30;231029;41654;59109;20478;31180;3401;121241;380165
20;1.6.0.2;2013-12-19;897;29;616;378;202;24;15;19;35;19;76;126;0;0;60;5;18;221;2;248;303;391;38;1840;721;664;77;1315;441;745;232;30;225272;53874;67275;37589;41980;3220;158738;430237
21;1.5.6.2;2014-01-20;929;32;665;407;202;23;16;18;36;16;75;135;0;0;74;5;23;262;3;265;260;399;10;2415;720;593;68;1182;432;706;222;30;230498;43169;59180;20545;32673;3423;122894;381488
22;1.6.0.3;2014-02-03;943;14;626;385;202;24;15;19;35;19;76;126;0;0;60;5;13;226;0;247;231;372;39;1761;460;463;65;1225;343;587;216;30;225192;50139;65103;42955;38295;3170;158197;431862
23;1.6.0.4;2014-03-06;974;31;633;395;205;26;16;20;35;21;77;124;0;0;60;4;11;218;4;254;205;320;41;1743;125;388;47;918;347;656;191;42;224123;45351;58173;49521;38524;2844;153045;429571
24;1.6.0.5;2014-03-17;985;11;637;397;205;26;16;20;35;21;77;125;0;0;60;4;11;220;4;254;204;320;40;1741;125;387;47;912;346;655;191;42;225015;45458;58048;49966;38638;2837;153472;433766
25;1.6.0.6;2014-04-10;1009;24;618;383;193;26;16;20;35;21;73;117;0;0;59;5;7;212;4;184;165;264;37;1767;125;372;45;859;331;620;176;40;205177;40468;55656;69440;33611;2648;165564;424102
26;1.6.0.7;2014-06-17;1077;68;630;389;195;26;16;20;35;22;73;116;0;0;60;5;7;214;4;184;169;267;37;1775;125;387;48;935;335;638;177;40;222683;40979;63187;20722;34163;2607;124888;398755
27;1.6.0.8;2014-06-20;1080;3;630;389;196;26;16;20;35;22;73;116;0;0;60;5;7;214;4;184;169;267;37;1775;125;387;48;935;335;638;177;40;222718;40996;63211;20722;34179;2608;124929;398834
28;1.6.0.9;2014-07-30;1120;40;632;393;197;26;16;20;35;22;74;116;0;0;60;5;7;217;4;186;169;269;37;1790;135;387;48;937;335;640;177;40;224227;40903;63203;20749;34179;2515;124855;402240
29;1.6.0.10;2014-11-14;1227;107;645;393;201;26;16;20;35;22;75;122;0;0;62;5;7;224;4;187;171;274;39;1790;135;384;47;929;331;640;177;40;229756;41396;62875;20873;34475;2718;125144;409468
30;1.6.0.11;2015-01-07;1281;54;654;389;205;26;16;20;35;22;76;124;0;0;64;5;7;213;4;189;170;287;39;1801;135;387;48;945;335;641;177;41;231097;41676;63540;22088;34748;2725;127304;414607
31;1.6.0.12;2015-02-23;1328;47;672;398;208;26;16;20;36;23;76;126;0;0;64;5;7;219;4;187;169;289;39;1805;135;387;48;953;337;643;177;41;233558;41972;63720;22009;35049;2721;127701;418012
32;1.6.0.13;2015-02-24;1329;1;672;398;208;26;16;20;36;23;76;126;0;0;64;5;7;219;4;187;169;289;39;1805;135;387;48;953;337;643;177;41;233559;41972;63720;22009;35049;2721;127701;418013
33;1.6.0.14;2015-03-06;1339;10;672;398;208;26;16;20;36;23;76;126;0;0;64;5;7;219;4;187;169;289;39;1805;135;387;48;953;337;643;177;41;233559;41972;63720;22009;35049;2721;127701;418015
34;1.6.1.0;2015-07-02;1457;118;690;410;214;28;19;21;36;23;78;129;0;0;66;7;7;213;6;187;169;456;40;1492;135;411;49;976;337;647;178;41;238684;44361;64260;22357;37446;2838;130978;428939
35;1.6.1.1;2015-08-20;1506;49;693;412;219;28;20;21;37;23;78;130;0;0;66;7;7;213;6;188;169;456;40;1496;135;406;49;975;337;647;178;41;242195;44318;64280;22364;37494;2747;130962;432719
36;1.6.1.2;2015-10-29;1576;70;699;412;219;28;20;21;37;23;78;130;0;0;66;7;7;217;6;190;171;456;40;1497;135;406;49;975;337;649;178;41;242600;44309;64267;22367;37485;2747;130943;434506
37;1.6.1.3;2015-11-26;1604;28;699;412;219;28;20;21;37;23;78;130;0;0;66;7;7;217;6;190;171;456;40;1497;135;406;49;975;337;649;178;41;242611;44308;64267;22367;37484;2747;130942;434519
38;1.6.1.4;2016-01-07;1646;42;700;412;219;28;20;21;37;23;78;130;0;0;66;7;7;217;6;190;171;456;40;1497;135;406;49;975;337;649;178;41;242645;44330;64303;22367;37508;2745;131000;435597
39;1.6.1.5;2016-04-15;1745;99;701;412;218;28;20;21;37;23;78;130;0;0;66;7;7;219;6;191;171;462;40;1414;135;406;49;976;337;649;178;41;247655;44386;64293;22367;37373;2936;131046;441172
40;1.6.1.6;2016-06-15;1806;61;701;412;218;28;20;21;37;23;78;130;0;0;66;7;7;219;6;191;171;462;40;1414;135;406;49;976;337;649;178;41;247694;44446;64297;22367;37433;2936;131110;441278
41;1.6.1.7;2016-09-08;1891;85;701;412;218;28;20;21;37;23;78;130;0;0;66;7;7;219;6;191;171;462;40;1414;135;406;49;976;337;649;178;41;247713;44447;64297;22367;37434;2936;131111;441308
