Id;Version;Date; max-lines;max-lines-per-function;max-params;complexity;max-depth;max-nested-callbacks
1;2005-07-01;2005-07-01;2;10;6;3;0;0
2;2005-07-13;2005-07-13;2;10;6;3;0;0
3;2005-09-19;2005-09-19;4;28;7;8;1;0
4;2005-09-22;2005-09-22;4;28;7;8;1;0
5;2006-03-05;2006-03-05;5;36;6;9;1;0
6;2006-03-09;2006-03-09;5;36;6;9;1;0
7;2006-11-06;2006-11-06;5;40;6;9;1;0
8;2007-06-26;2007-07-02;3;24;5;6;0;0
9;2008-05-04;2008-05-04;2;22;5;5;0;0
10;2008-05-05;2008-06-02;2;22;5;5;0;0
11;2010-11-07;2010-11-07;4;44;4;7;2;0
12;2010-11-07a;2011-01-16;4;44;4;7;2;0
13;2011_05_25;2011-05-25;4;45;5;8;2;0
14;2011_05_25a;2011-06-14;4;45;5;8;2;0
15;2012-01-25;2012-01-25;9;389;168;257;43;0
16;2012-01-25b;2012-07-13;9;389;168;257;43;0
17;2012-10-13;2012-10-13;9;392;168;258;43;0
18;2013-05-10;2013-05-10;9;477;117;308;48;2
19;2013-05-10a;2013-06-16;9;477;117;308;48;2
20;2013-12-08;2013-12-08;9;478;117;309;48;2
21;2014-05-05;2014-05-05;9;538;119;311;46;2
22;2014-05-05a;2014-06-25;9;538;119;311;46;2
23;2014-09-29;2014-09-29;9;560;123;309;45;0
24;2014-09-29a;2014-10-08;9;560;123;309;45;0
25;2014_09_29b;2014-12-03;9;560;123;309;45;0
26;2014_09_29c;2015-02-24;9;560;123;309;45;0
27;2014_09_29d;2015-03-19;9;560;123;309;45;0
28;2015-08-10;2015-08-10;9;591;124;314;45;0
29;2015-08-10a;2015-08-23;9;591;124;314;45;0
30;2016-06-26;2016-06-26;10;583;127;285;41;0
31;2016-06-26a;2016-07-03;10;583;127;285;41;0
32;2017-02-19;2017-02-19;7;166;68;138;6;0
33;2017-02-19a;2017-02-20;7;166;68;138;6;0
34;2017-02-19b;2017-03-07;7;166;68;138;6;0
35;2017-02-19c;2017-08-11;7;166;68;138;6;0
36;2017-02-19d;2017-08-22;7;166;68;138;6;0
37;2017-02-19e;2017-08-23;7;166;68;138;6;0
38;2018-04-22;2018-04-22;7;167;68;138;6;0
39;2018-04-22a;2018-05-03;7;167;68;138;6;0
40;2018-04-22b;2019-01-06;7;167;68;138;6;0
