"id";"version";"date"
"1";"2005-07-01";"2005-07-01"
"2";"2005-07-13";"2005-07-13"
"3";"2005-09-19";"2005-09-19"
"4";"2005-09-22";"2005-09-22"
"5";"2006-03-05";"2006-03-05"
"6";"2006-03-09";"2006-03-09"
"7";"2006-11-06";"2006-11-06"
"8";"2007-06-26";"2007-07-02"
"9";"2008-05-04";"2008-05-04"
"10";"2008-05-05";"2008-06-02"
"11";"2010-11-07";"2010-11-07"
"12";"2010-11-07a";"2011-01-16"
"13";"2011_05_25";"2011-05-25"
"14";"2011_05_25a";"2011-06-14"
"15";"2012-01-25";"2012-01-25"
"16";"2012-01-25b";"2012-07-13"
"17";"2012-10-13";"2012-10-13"
"18";"2013-05-10";"2013-05-10"
"19";"2013-05-10a";"2013-06-16"
"20";"2013-12-08";"2013-12-08"
"21";"2014-05-05";"2014-05-05"
"22";"2014-05-05a";"2014-06-25"
"23";"2014-09-29";"2014-09-29"
"24";"2014-09-29a";"2014-10-08"
"25";"2014_09_29b";"2014-12-03"
"26";"2014_09_29c";"2015-02-24"
"27";"2014_09_29d";"2015-03-19"
"28";"2015-08-10";"2015-08-10"
"29";"2015-08-10a";"2015-08-23"
"30";"2016-06-26";"2016-06-26"
"31";"2016-06-26a";"2016-07-03"
"32";"2017-02-19";"2017-02-19"
"33";"2017-02-19a";"2017-02-20"
"34";"2017-02-19b";"2017-03-07"
"35";"2017-02-19c";"2017-08-11"
"36";"2017-02-19d";"2017-08-22"
"37";"2017-02-19e";"2017-08-23"
"38";"2018-04-22";"2018-04-22"
"39";"2018-04-22a";"2018-05-03"
"40";"2018-04-22b";"2019-01-06"
