Id;Version;Date; embed JS;inline JS;embed CSS;inline CSS;css in JS;css in JS: jquery
1;2.0.1;2006-02-24;7;10;2;27;28;0
2;2.2.0;2007-12-26;30;154;5;44;32;0
3;2.4.0;2008-08-22;29;153;5;53;84;0
4;2.4.1;2008-10-31;29;153;5;53;84;0
5;2.5.0;2008-12-29;51;201;13;96;103;0
6;2.6.0;2009-04-25;52;201;14;97;103;0
7;2.6.1;2009-06-14;52;201;14;97;103;0
8;2.7.0;2009-12-04;63;198;15;120;118;0
9;2.7.1;2009-12-30;63;198;15;120;118;0
10;2.8.0;2010-03-16;70;199;18;134;122;0
11;2.8.1;2010-05-02;70;199;18;134;122;0
12;2.9.0;2010-09-29;67;89;15;131;122;0
13;3.0.0;2011-04-11;88;75;17;132;122;0
14;3.0.1;2011-07-10;88;75;17;132;122;0
15;3.1.0;2012-01-01;117;72;15;142;125;0
16;3.1.1;2012-03-01;117;72;15;142;125;0
17;3.2.0;2012-07-11;120;50;12;125;15;0
18;3.2.1;2012-08-29;121;50;12;124;15;0
19;3.2.2;2012-09-12;121;50;12;124;15;0
20;3.2.3;2012-12-05;121;50;12;124;15;0
21;3.3.0;2013-02-20;142;60;8;181;15;0
22;3.3.1;2013-03-18;142;60;8;181;15;0
23;3.3.2;2013-05-22;141;60;8;176;15;0
24;3.3.3;2013-07-24;141;60;8;176;15;0
25;3.4.0;2013-08-04;143;69;8;197;15;0
26;3.4.1;2013-10-13;143;69;8;191;15;0
27;3.4.2;2014-01-05;143;69;8;191;15;0
28;3.5.0;2014-02-03;156;72;8;201;15;0
29;3.5.1;2014-03-09;156;72;8;195;15;0
30;3.5.2;2014-04-13;156;72;8;207;15;0
31;3.5.3;2014-05-31;156;71;8;207;15;0
32;3.5.4;2014-07-15;157;71;8;207;15;0
33;3.6.0;2014-08-16;159;70;9;218;45;20
34;3.6.1;2014-10-04;159;70;9;218;45;20
35;3.6.2;2014-12-27;159;70;9;218;45;20
36;3.6.3;2015-04-19;159;70;9;219;45;20
37;3.7.0;2015-04-20;184;98;9;296;21;0
38;3.7.1;2015-06-01;184;98;9;296;21;0
39;3.8.0;2015-09-13;199;105;11;376;23;7
40;3.8.1;2015-10-11;199;105;11;376;23;7
41;3.8.2;2015-11-08;199;105;11;376;23;7
42;3.8.3;2015-12-27;199;105;11;376;23;7
43;3.8.4;2016-03-12;200;105;11;381;23;7
44;3.9.0;2016-03-13;206;103;9;444;6;0
45;3.9.1;2016-04-23;206;103;9;444;6;0
46;3.9.2;2016-06-06;206;103;9;442;6;0
47;3.9.3;2016-07-17;206;103;9;443;6;0
48;4.0.0;2016-09-03;221;116;11;453;6;0
49;4.0.1;2016-10-02;221;116;11;455;6;0
50;4.0.2;2016-10-31;221;116;11;455;6;0
51;4.0.3;2016-12-26;221;117;11;456;6;0
52;4.0.4;2017-01-24;221;117;11;456;6;0
53;5.0.0;2017-03-12;223;124;11;452;6;0
54;5.0.1;2017-04-03;222;124;11;452;6;0
55;5.0.2;2017-05-06;222;124;12;452;6;0
56;5.0.3;2017-06-01;222;124;12;452;6;0
57;5.0.4;2017-06-26;222;124;12;452;6;0
58;5.0.5;2017-08-26;221;124;12;452;6;0
59;6.0.0;2017-09-04;243;126;11;496;6;0
60;6.0.1;2017-09-20;243;126;11;496;6;0
61;6.0.2;2017-10-07;243;126;11;496;6;0
62;6.0.3;2017-10-29;243;126;11;496;6;0
63;6.0.4;2017-12-05;243;126;11;496;6;0
64;6.0.5;2018-01-26;243;126;11;496;6;0
65;7.0.0;2018-02-18;265;134;13;575;6;0
66;7.0.1;2018-03-23;265;134;13;576;6;0
67;7.0.2;2018-05-12;265;135;13;576;6;0
68;7.0.3;2018-06-23;265;135;13;576;6;0
69;8.0.0;2018-08-14;278;140;13;607;6;0
70;8.0.1;2018-09-02;278;140;13;607;6;0
71;8.0.2;2018-09-19;278;140;13;607;6;0
72;8.0.3;2018-11-05;278;140;13;607;6;0
73;8.0.4;2018-12-23;278;140;13;607;6;0
74;9.0.0;2019-02-01;294;182;17;647;7;1
75;9.0.1;2019-03-05;294;186;17;646;7;1
76;9.0.2;2019-04-07;294;186;17;647;7;1
77;9.0.3;2019-05-09;294;186;17;647;7;1
78;10.0.0;2019-06-30;308;196;22;667;7;1
79;10.0.1;2019-08-04;311;196;21;663;7;1
80;10.0.2;2019-09-11;312;195;20;663;7;1
81;10.0.3;2019-10-23;311;192;20;662;7;1
82;10.0.4;2019-11-27;311;192;20;662;7;1
83;10.0.5;2019-12-24;311;192;20;662;7;1
