Id;Version;Date; max-lines;max-lines-per-function;max-params;complexity;max-depth;max-nested-callbacks
1;2.0.1;2006-02-24;1;3;2;2;0;0
2;2.2.0;2007-12-26;6;21;5;12;2;0
3;2.4.0;2008-08-22;6;24;5;15;2;0
4;2.4.1;2008-10-31;6;24;5;15;2;0
5;2.5.0;2008-12-29;7;54;11;45;14;0
6;2.6.0;2009-04-25;7;54;11;45;14;0
7;2.6.1;2009-06-14;7;54;11;45;14;0
8;2.7.0;2009-12-04;7;54;12;45;14;0
9;2.7.1;2009-12-30;7;54;12;45;14;0
10;2.8.0;2010-03-16;7;55;12;46;14;0
11;2.8.1;2010-05-02;7;55;12;46;14;0
12;2.9.0;2010-09-29;7;55;12;42;14;0
13;3.0.0;2011-04-11;8;53;12;41;12;0
14;3.0.1;2011-07-10;8;53;12;41;12;0
15;3.1.0;2012-01-01;9;59;12;40;12;0
16;3.1.1;2012-03-01;9;59;12;40;12;0
17;3.2.0;2012-07-11;7;52;8;10;7;1
18;3.2.1;2012-08-29;7;52;8;10;7;1
19;3.2.2;2012-09-12;7;52;8;10;7;1
20;3.2.3;2012-12-05;7;52;8;10;7;1
21;3.3.0;2013-02-20;3;64;13;10;7;1
22;3.3.1;2013-03-18;3;64;13;10;7;1
23;3.3.2;2013-05-22;3;64;13;10;7;1
24;3.3.3;2013-07-24;3;64;13;10;7;1
25;3.4.0;2013-08-04;3;65;13;10;7;1
26;3.4.1;2013-10-13;3;65;13;10;7;1
27;3.4.2;2014-01-05;3;65;13;10;7;1
28;3.5.0;2014-02-03;3;66;13;10;7;1
29;3.5.1;2014-03-09;3;66;13;10;7;1
30;3.5.2;2014-04-13;3;66;13;10;7;1
31;3.5.3;2014-05-31;3;66;13;10;7;1
32;3.5.4;2014-07-15;3;66;13;10;7;1
33;3.6.0;2014-08-16;4;83;51;91;30;1
34;3.6.1;2014-10-04;4;83;51;91;30;1
35;3.6.2;2014-12-27;4;83;51;91;30;1
36;3.6.3;2015-04-19;4;83;51;91;30;1
37;3.7.0;2015-04-20;3;68;13;10;7;1
38;3.7.1;2015-06-01;3;68;13;10;7;1
39;3.8.0;2015-09-13;6;119;72;109;17;1
40;3.8.1;2015-10-11;6;120;72;109;17;1
41;3.8.2;2015-11-08;6;120;72;109;17;1
42;3.8.3;2015-12-27;6;120;72;109;17;1
43;3.8.4;2016-03-12;6;120;72;109;17;1
44;3.9.0;2016-03-13;1;34;3;2;0;1
45;3.9.1;2016-04-23;1;34;3;2;0;1
46;3.9.2;2016-06-06;1;34;3;2;0;1
47;3.9.3;2016-07-17;1;34;3;2;0;1
48;4.0.0;2016-09-03;1;36;3;2;0;1
49;4.0.1;2016-10-02;1;36;3;2;0;1
50;4.0.2;2016-10-31;1;36;3;2;0;1
51;4.0.3;2016-12-26;1;36;3;2;0;1
52;4.0.4;2017-01-24;1;36;3;2;0;1
53;5.0.0;2017-03-12;1;36;3;2;0;1
54;5.0.1;2017-04-03;1;36;3;2;0;1
55;5.0.2;2017-05-06;1;36;3;2;0;1
56;5.0.3;2017-06-01;1;36;3;2;0;1
57;5.0.4;2017-06-26;1;36;3;2;0;1
58;5.0.5;2017-08-26;1;36;3;2;0;1
59;6.0.0;2017-09-04;1;42;5;2;0;1
60;6.0.1;2017-09-20;1;42;5;2;0;1
61;6.0.2;2017-10-07;1;42;5;2;0;1
62;6.0.3;2017-10-29;1;43;5;2;0;1
63;6.0.4;2017-12-05;1;43;5;2;0;1
64;6.0.5;2018-01-26;1;43;5;2;0;1
65;7.0.0;2018-02-18;1;48;5;2;0;3
66;7.0.1;2018-03-23;1;48;5;2;0;3
67;7.0.2;2018-05-12;1;48;5;2;0;1
68;7.0.3;2018-06-23;1;48;5;2;0;1
69;8.0.0;2018-08-14;1;47;5;2;0;1
70;8.0.1;2018-09-02;1;47;5;2;0;1
71;8.0.2;2018-09-19;1;47;5;2;0;1
72;8.0.3;2018-11-05;1;47;5;2;0;1
73;8.0.4;2018-12-23;1;47;5;2;0;1
74;9.0.0;2019-02-01;1;48;5;7;0;1
75;9.0.1;2019-03-05;1;48;5;7;0;1
76;9.0.2;2019-04-07;1;48;5;7;0;1
77;9.0.3;2019-05-09;1;47;5;7;0;1
78;10.0.0;2019-06-30;5;143;13;47;0;4
79;10.0.1;2019-08-04;5;143;13;47;0;4
80;10.0.2;2019-09-11;5;143;13;47;0;4
81;10.0.3;2019-10-23;5;143;13;47;0;4
82;10.0.4;2019-11-27;5;143;13;47;0;4
83;10.0.5;2019-12-24;5;143;13;47;0;4
