"id";"version";"date"
"1";"2.0.1";"2006-02-24"
"2";"2.2.0";"2007-12-26"
"3";"2.4.0";"2008-08-22"
"4";"2.4.1";"2008-10-31"
"5";"2.5.0";"2008-12-29"
"6";"2.6.0";"2009-04-25"
"7";"2.6.1";"2009-06-14"
"8";"2.7.0";"2009-12-04"
"9";"2.7.1";"2009-12-30"
"10";"2.8.0";"2010-03-16"
"11";"2.8.1";"2010-05-02"
"12";"2.9.0";"2010-09-29"
"13";"3.0.0";"2011-04-11"
"14";"3.0.1";"2011-07-10"
"15";"3.1.0";"2012-01-01"
"16";"3.1.1";"2012-03-01"
"17";"3.2.0";"2012-07-11"
"18";"3.2.1";"2012-08-29"
"19";"3.2.2";"2012-09-12"
"20";"3.2.3";"2012-12-05"
"21";"3.3.0";"2013-02-20"
"22";"3.3.1";"2013-03-18"
"23";"3.3.2";"2013-05-22"
"24";"3.3.3";"2013-07-24"
"25";"3.4.0";"2013-08-04"
"26";"3.4.1";"2013-10-13"
"27";"3.4.2";"2014-01-05"
"28";"3.5.0";"2014-02-03"
"29";"3.5.1";"2014-03-09"
"30";"3.5.2";"2014-04-13"
"31";"3.5.3";"2014-05-31"
"32";"3.5.4";"2014-07-15"
"33";"3.6.0";"2014-08-16"
"34";"3.6.1";"2014-10-04"
"35";"3.6.2";"2014-12-27"
"36";"3.6.3";"2015-04-19"
"37";"3.7.0";"2015-04-20"
"38";"3.7.1";"2015-06-01"
"39";"3.8.0";"2015-09-13"
"40";"3.8.1";"2015-10-11"
"41";"3.8.2";"2015-11-08"
"42";"3.8.3";"2015-12-27"
"43";"3.8.4";"2016-03-12"
"44";"3.9.0";"2016-03-13"
"45";"3.9.1";"2016-04-23"
"46";"3.9.2";"2016-06-06"
"47";"3.9.3";"2016-07-17"
"48";"4.0.0";"2016-09-03"
"49";"4.0.1";"2016-10-02"
"50";"4.0.2";"2016-10-31"
"51";"4.0.3";"2016-12-26"
"52";"4.0.4";"2017-01-24"
"53";"5.0.0";"2017-03-12"
"54";"5.0.1";"2017-04-03"
"55";"5.0.2";"2017-05-06"
"56";"5.0.3";"2017-06-01"
"57";"5.0.4";"2017-06-26"
"58";"5.0.5";"2017-08-26"
"59";"6.0.0";"2017-09-04"
"60";"6.0.1";"2017-09-20"
"61";"6.0.2";"2017-10-07"
"62";"6.0.3";"2017-10-29"
"63";"6.0.4";"2017-12-05"
"64";"6.0.5";"2018-01-26"
"65";"7.0.0";"2018-02-18"
"66";"7.0.1";"2018-03-23"
"67";"7.0.2";"2018-05-12"
"68";"7.0.3";"2018-06-23"
"69";"8.0.0";"2018-08-14"
"70";"8.0.1";"2018-09-02"
"71";"8.0.2";"2018-09-19"
"72";"8.0.3";"2018-11-05"
"73";"8.0.4";"2018-12-23"
"74";"9.0.0";"2019-02-01"
"75";"9.0.1";"2019-03-05"
"76";"9.0.2";"2019-04-07"
"77";"9.0.3";"2019-05-09"
"78";"10.0.0";"2019-06-30"
"79";"10.0.1";"2019-08-04"
"80";"10.0.2";"2019-09-11"
"81";"10.0.3";"2019-10-23"
"82";"10.0.4";"2019-11-27"
"83";"10.0.5";"2019-12-24"
