"id";"version";"date"
"1";"1.0.0";"2014-02-17"
"2";"1.0.1";"2014-02-22"
"3";"1.0.2";"2014-02-28"
"4";"1.0.3";"2014-03-15"
"5";"1.0.4";"2014-05-04"
"6";"1.0.5";"2014-05-27"
"7";"1.0.6";"2014-06-30"
"8";"1.0.7";"2014-08-20"
"9";"1.0.8";"2014-09-19"
"10";"1.0.9";"2014-11-02"
"11";"1.0.10";"2014-12-07"
"12";"1.0.11";"2015-01-10"
"13";"1.0.12";"2015-02-22"
"14";"1.0.13";"2015-04-06"
"15";"1.0.14";"2015-05-02"
"16";"1.0.15";"2015-05-31"
"17";"1.0.16";"2015-06-28"
"18";"1.0.17";"2015-07-26"
"19";"1.0.18";"2015-08-30"
"20";"1.0.19";"2015-10-11"
"21";"1.0.20";"2015-10-24"
"22";"1.0.21";"2015-11-22"
"23";"1.0.22";"2015-12-14"
"24";"1.0.23";"2016-01-09"
"25";"1.0.24";"2016-01-24"
"26";"1.0.25";"2016-02-07"
"27";"1.0.26";"2016-02-28"
"28";"1.0.27";"2016-03-27"
"29";"1.0.28";"2016-05-08"
"30";"1.0.29";"2016-06-06"
"31";"1.0.30";"2016-06-09"
"32";"1.0.31";"2016-07-04"
"33";"1.0.32";"2016-08-01"
"34";"1.0.33";"2016-09-06"
"35";"1.0.34";"2016-10-11"
"36";"1.0.35";"2016-12-05"
"37";"1.0.36";"2016-12-31"
"38";"1.0.37";"2017-01-14"
"39";"1.0.38";"2017-01-28"
"40";"1.0.39";"2017-02-12"
"41";"1.0.40";"2017-02-25"
"42";"1.0.41";"2017-03-19"
"43";"1.0.42";"2017-04-08"
"44";"1.0.43";"2017-05-01"
"45";"1.0.44";"2017-05-29"
"46";"1.0.45";"2017-06-23"
"47";"1.0.46";"2017-08-13"
"48";"1.0.47";"2017-10-04"
"49";"1.0.48";"2017-10-24"
"50";"1.1.0";"2017-11-20"
"51";"1.1.1";"2017-12-09"
"52";"1.2.0";"2017-12-27"
"53";"1.2.1";"2018-03-01"
"54";"1.2.2";"2018-03-31"
"55";"1.2.3";"2018-04-19"
"56";"1.2.4";"2018-05-17"
"57";"1.2.5";"2018-06-15"
"58";"1.2.6";"2018-10-11"
"59";"1.2.7";"2018-12-20"
"60";"1.2.8";"2019-02-02"
"61";"1.2.9";"2019-04-06"
"62";"1.2.10";"2019-06-22"
"63";"1.2.11";"2019-08-24"
"64";"1.2.12";"2019-10-27"
"65";"1.2.13";"2019-12-16"
