Id;Version;Date; CyclomaticComplexity; NPathComplexity;ExcessiveMethodLength;ExcessiveClassLength;ExcessiveParameterList;ExcessivePublicCount;TooManyFields;TooManyMethods;TooManyPublicMethods;ExcessiveClassComplexity;NumberOfChildren;DepthOfInheritance;CouplingBetweenObjects;DevelopmentCodeFragment;UnusedPrivateField;UnusedLocalVariable;UnusedPrivateMethod;UnusedFormalParameter
1;1.1.0;2003-12-08;56;38;14;0;0;2;2;2;10;6;0;0;0;0;0;332;0;36
2;1.2.0;2004-03-24;32;20;8;0;0;3;1;3;8;6;0;0;0;0;0;211;0;43
3;1.2.1;2004-03-28;32;20;8;0;0;3;1;3;8;6;0;0;0;0;0;211;0;43
4;1.2.2;2004-03-29;32;20;8;0;0;3;1;3;8;6;0;0;0;0;0;211;0;43
5;1.2.3;2004-04-02;32;20;8;0;0;3;1;3;8;6;0;0;0;0;0;211;0;43
6;1.2.4;2004-04-13;32;20;8;0;0;3;1;3;8;6;0;0;0;0;0;212;0;43
7;1.2.5;2004-05-03;34;22;8;0;0;3;1;3;8;6;0;0;0;0;0;212;0;43
8;1.2.6;2004-05-25;34;22;8;0;0;3;1;3;8;6;0;0;0;0;0;212;0;43
9;1.3.0;2004-08-12;59;36;14;0;0;6;3;5;26;15;1;0;0;2;0;242;0;94
10;1.3.1;2004-08-14;59;36;14;0;0;6;3;5;26;15;1;0;0;2;0;241;0;93
11;1.3.2;2004-08-30;59;36;14;0;0;6;3;5;26;15;1;0;0;2;0;243;0;93
12;1.3.3;2004-09-09;59;36;14;0;0;6;3;5;26;15;1;0;0;2;0;248;0;93
13;1.3.4;2004-09-29;59;36;14;0;0;6;3;5;26;15;1;0;0;2;0;248;0;93
14;1.3.5;2004-09-30;58;35;14;0;0;6;3;5;26;15;1;0;0;2;0;250;0;93
15;1.3.6;2004-10-14;58;35;14;0;0;6;3;5;26;15;1;0;0;2;0;250;0;93
16;1.3.7;2004-10-18;58;35;14;0;0;6;3;5;26;15;1;0;0;2;0;250;0;93
17;1.3.8;2004-11-15;57;35;14;0;0;5;2;4;25;14;1;0;0;2;0;241;0;93
18;1.3.9;2004-12-12;57;35;14;0;0;5;2;4;25;14;1;0;0;2;0;241;0;93
19;1.3.10;2005-02-04;57;35;14;0;0;5;2;4;25;14;1;0;0;2;0;241;0;93
20;1.3.11;2005-02-21;58;35;14;0;0;5;2;4;25;14;1;0;0;2;0;236;0;93
21;1.4.0;2005-03-21;89;53;34;3;0;4;4;5;19;17;0;0;1;3;0;355;0;89
22;1.4.1;2005-04-17;92;57;36;3;0;4;4;5;19;18;0;0;1;3;0;360;0;89
23;1.4.2;2005-04-21;92;57;36;3;0;4;4;5;19;18;0;0;1;3;0;360;0;89
24;1.4.3;2005-04-29;96;59;37;3;0;4;4;5;19;19;0;0;1;3;0;369;0;89
25;1.4.4;2005-05-04;96;59;37;3;0;4;4;5;19;19;0;0;1;3;0;369;0;89
26;1.4.5;2005-06-03;96;60;36;3;1;4;4;5;19;20;0;0;1;3;0;377;0;91
27;1.4.6;2005-07-07;98;61;36;3;1;4;4;5;19;20;0;0;1;3;0;378;0;89
28;1.4.7;2005-07-16;98;61;36;3;1;4;4;5;19;20;0;0;1;3;0;377;0;89
29;1.4.8;2005-08-23;98;61;36;3;1;4;4;5;19;20;0;0;1;3;0;377;0;89
30;1.4.9;2005-08-29;98;61;36;3;1;4;4;5;19;20;0;0;1;3;0;377;0;89
31;1.4.10;2005-09-21;98;61;36;3;1;4;4;5;19;20;0;0;1;3;0;375;0;89
33;1.5.0;2005-10-06;150;99;54;6;1;6;7;8;37;37;0;0;1;6;0;607;0;106
34;1.5.1;2005-10-26;151;99;54;6;1;6;7;8;37;37;0;0;1;6;0;607;0;106
35;1.5.2;2005-11-03;150;98;53;6;1;6;7;8;37;37;0;0;1;6;0;602;0;106
36;1.5.3;2005-12-04;149;97;52;6;1;6;7;8;37;37;0;0;1;6;0;595;0;106
37;1.5.4;2005-12-22;149;97;52;6;1;6;7;8;37;37;0;0;1;6;0;595;0;106
38;1.5.5;2006-01-05;149;97;52;6;1;6;7;8;37;37;0;0;1;6;0;595;0;106
39;1.5.6;2006-01-19;149;97;52;6;1;6;7;8;37;37;0;0;1;6;0;594;0;106
40;1.5.7;2006-03-02;149;97;53;6;2;6;7;8;37;37;0;0;1;6;0;596;0;106
41;1.5.8;2006-03-26;149;97;53;6;2;6;7;8;37;37;0;0;1;6;0;596;0;106
43;1.6.1;2006-04-05;178;109;61;10;1;10;8;12;45;45;1;0;1;8;0;360;0;142
44;1.6.2;2006-04-08;178;109;61;10;1;10;8;12;45;45;1;0;1;8;0;360;0;142
45;1.6.3;2006-04-11;178;109;61;10;1;10;8;12;45;45;1;0;1;8;0;360;0;142
46;1.6.4;2006-05-02;178;109;61;10;1;10;8;12;45;45;1;0;1;8;0;360;0;142
47;1.6.5;2006-05-03;178;109;61;10;1;10;8;12;45;45;1;0;1;8;0;360;0;142
48;1.6.6;2006-05-23;178;109;61;10;1;10;8;12;45;45;1;0;1;8;0;360;0;142
49;1.6.7;2006-06-06;178;110;61;10;1;10;8;12;45;45;1;0;1;8;0;360;0;142
50;1.7.0;2006-07-07;203;132;77;11;1;12;9;13;48;46;1;0;4;8;0;380;0;144
51;1.7.1;2006-07-09;203;132;77;11;1;12;9;13;48;46;1;0;4;8;0;380;0;144
52;1.8.0;2006-10-10;230;145;80;11;2;15;12;13;52;53;2;0;4;9;0;417;2;152
53;1.8.1;2006-10-11;230;145;80;11;2;15;12;13;52;53;2;0;4;9;0;417;2;152
54;1.8.2;2006-10-14;230;145;80;11;2;15;12;13;52;53;2;0;4;9;0;417;2;152
55;1.9.0;2007-01-10;238;155;82;10;2;18;12;14;52;52;2;0;5;9;0;205;2;143
56;1.9.1;2007-01-24;238;155;82;10;2;18;12;14;52;52;2;0;5;9;0;206;2;143
57;1.9.2;2007-02-14;238;155;82;10;2;18;12;14;52;52;2;0;5;9;0;206;2;143
58;1.9.3;2007-02-21;238;155;82;10;2;18;12;14;52;52;2;0;5;9;0;206;2;143
59;1.10.0;2007-05-09;520;322;164;22;4;36;24;28;112;114;4;0;8;18;0;360;12;310
60;1.10.1;2007-07-13;522;324;164;22;4;36;24;28;112;114;4;0;8;18;0;360;12;310
61;1.11.0;2007-09-10;546;336;156;26;4;38;24;32;116;124;4;0;8;18;2;330;10;398
62;1.11.1;2008-01-24;302;186;86;15;3;22;14;19;67;67;2;0;5;10;1;193;5;240
63;1.11.2;2008-03-03;273;168;78;13;2;19;12;16;58;62;2;0;4;9;1;165;5;199
64;1.12.0;2008-03-20;321;210;98;14;2;19;14;17;60;72;4;0;5;9;2;224;9;228
65;1.13.0;2008-08-14;412;280;135;18;4;27;20;26;79;96;4;0;9;10;11;328;9;257
66;1.13.1;2008-09-06;412;280;135;18;4;27;20;26;79;96;4;0;9;10;11;328;9;257
67;1.13.2;2008-10-02;413;280;135;18;4;27;20;26;79;96;4;0;9;10;11;332;9;258
68;1.13.3;2008-12-15;418;285;137;18;4;27;20;26;79;97;4;0;9;10;11;333;9;261
69;1.13.4;2009-02-07;418;285;137;18;4;27;20;26;79;97;4;0;9;10;11;334;9;261
71;1.14.0;2009-02-22;458;309;139;18;5;27;21;27;83;110;4;0;8;10;14;388;10;278
72;1.15.0;2009-06-10;469;321;148;20;6;30;22;27;84;118;5;0;9;10;14;399;13;310
73;1.15.1;2009-07-13;469;321;148;20;6;30;22;27;84;118;5;0;9;10;14;399;13;311
74;1.15.2;2010-03-08;469;321;148;20;6;30;22;27;84;118;5;0;9;10;14;399;13;312
75;1.15.4;2010-05-28;470;321;148;21;6;31;22;28;84;118;5;0;9;10;14;400;13;312
76;1.16.0;2010-07-28;510;357;174;22;6;32;25;31;84;131;6;0;11;8;15;435;13;361
77;1.16.1;2011-01-04;510;358;174;22;6;33;25;31;84;131;6;0;11;8;15;436;13;361
78;1.16.2;2011-02-01;510;358;174;22;6;33;25;31;84;131;6;0;11;8;15;436;13;361
79;1.16.3;2011-04-12;509;358;174;22;6;33;25;31;84;131;6;0;11;8;15;435;13;361
80;1.16.4;2011-04-14;509;358;174;22;6;33;25;31;84;131;6;0;11;8;15;435;13;361
81;1.16.5;2011-05-05;509;358;174;22;6;33;25;31;84;131;6;0;11;8;15;435;13;361
82;1.17.0;2011-06-22;542;366;186;26;6;32;28;35;94;148;8;0;14;12;0;136;32;378
84;1.18.0;2011-11-28;594;397;205;32;7;36;33;42;96;168;8;0;28;13;0;136;37;380
85;1.18.1;2012-01-11;594;396;205;32;7;36;33;42;96;168;8;0;28;13;0;133;37;381
86;1.18.2;2012-03-22;594;396;206;32;7;36;33;42;96;168;8;0;28;13;0;134;37;380
87;1.18.3;2012-04-25;594;396;206;32;7;36;33;42;96;168;8;0;28;13;0;134;37;379
88;1.19.0;2012-05-02;621;406;202;36;7;35;35;43;99;179;8;0;38;13;0;156;40;410
89;1.19.1;2012-06-12;622;407;202;36;7;35;35;43;99;179;8;0;38;13;0;156;40;410
90;1.19.2;2012-08-31;622;408;202;36;7;35;35;43;99;179;8;0;38;13;0;156;40;412
91;1.20.0;2012-11-09;660;428;215;41;7;36;37;47;102;187;8;0;39;22;0;191;39;416
92;1.20.1;2012-11-30;660;427;215;41;7;36;37;47;102;187;8;0;39;22;0;191;39;416
93;1.20.2;2012-12-04;660;427;215;41;7;36;37;47;102;187;8;0;39;22;0;191;39;416
94;1.20.3;2013-03-04;660;427;215;41;7;36;37;47;102;187;8;0;39;22;0;191;39;416
95;1.20.4;2013-04-15;660;427;215;41;7;36;37;47;102;187;8;0;39;22;0;191;39;416
96;1.20.5;2013-05-01;662;428;215;41;7;36;38;47;102;187;8;0;39;22;0;191;39;416
97;1.20.6;2013-05-21;662;428;215;41;7;36;38;47;102;187;8;0;39;22;0;191;39;416
98;1.21.0;2013-05-25;706;455;222;42;7;36;37;45;103;192;9;0;44;23;0;152;38;427
99;1.21.1;2013-05-28;706;455;222;42;7;36;37;45;103;192;9;0;44;23;0;152;38;427
100;1.21.2;2013-09-04;706;455;221;42;7;36;37;45;103;192;9;0;44;23;0;152;38;427
101;1.21.3;2013-11-14;706;455;221;42;7;36;37;45;103;192;9;0;44;23;0;152;38;427
102;1.22.0;2013-12-06;748;494;233;48;7;37;39;49;104;202;9;0;48;27;0;187;37;432
103;1.22.1;2014-01-14;748;494;234;48;7;37;39;49;104;202;9;0;48;26;0;187;38;434
104;1.22.2;2014-01-28;748;494;234;48;7;37;39;49;104;202;9;0;48;26;0;187;38;434
105;1.22.3;2014-02-27;748;494;236;48;7;37;39;49;104;202;9;0;48;26;0;187;38;434
106;1.22.4;2014-03-11;748;494;236;48;7;37;39;49;104;202;9;0;48;26;0;187;38;434
107;1.22.5;2014-03-27;749;496;236;48;7;37;39;49;104;202;9;0;48;26;0;187;38;434
108;1.22.6;2014-04-24;749;496;236;48;7;37;39;49;104;202;9;0;48;26;0;187;38;434
109;1.22.7;2014-05-29;749;496;236;48;7;37;39;49;104;202;9;0;48;26;0;187;38;434
110;1.23.0;2014-06-04;770;518;258;53;8;34;39;50;101;207;8;0;52;25;0;244;38;447
111;1.23.1;2014-06-25;770;518;258;53;8;34;39;50;101;207;8;0;52;25;0;244;38;447
112;1.23.2;2014-07-30;770;518;258;53;8;34;39;50;101;207;8;0;52;25;0;244;38;447
113;1.23.3;2014-08-27;770;518;259;53;8;34;39;50;101;207;8;0;52;25;0;244;38;448
114;1.23.4;2014-09-24;770;518;258;53;8;34;39;50;101;207;8;0;52;25;0;244;40;450
115;1.23.5;2014-10-01;770;518;258;53;8;34;39;50;101;207;8;0;52;25;0;244;40;453
116;1.23.6;2014-10-29;770;518;258;53;8;34;39;50;101;207;8;0;52;25;0;245;40;453
118;1.24.0;2014-11-27;793;523;258;53;8;32;39;47;99;208;8;0;55;24;4;251;34;477
119;1.24.1;2014-12-17;793;523;258;53;8;32;39;47;99;208;8;0;55;24;4;251;34;477
120;1.24.2;2015-03-31;795;525;258;53;8;32;39;49;99;208;8;0;55;24;4;252;32;475
122;1.25.1;2015-05-25;816;534;264;54;8;34;42;51;102;216;9;0;64;24;4;264;28;498
123;1.25.2;2015-08-10;816;534;264;54;8;34;42;51;102;216;9;0;64;24;4;264;28;498
124;1.25.3;2015-10-16;817;537;265;54;8;34;42;51;102;219;9;0;64;24;4;265;28;498
125;1.26.0;2015-11-25;843;555;273;57;7;36;42;52;106;231;9;0;74;27;1;267;24;496
126;1.26.1;2015-12-18;843;555;274;57;7;36;42;52;106;231;9;0;74;27;1;268;24;496
127;1.26.2;2015-12-20;843;555;274;57;7;36;42;52;106;231;9;0;74;27;1;268;24;496
128;1.26.3;2016-05-20;844;555;274;57;7;36;42;52;106;231;9;0;74;27;1;268;24;496
129;1.27.0;2016-06-28;894;585;285;58;9;37;45;56;117;240;10;0;94;27;1;271;21;524
130;1.27.1;2016-08-23;897;585;285;58;9;37;45;56;117;240;10;0;95;27;1;271;21;528
131;1.28.0;2016-11-28;942;608;305;62;8;36;49;58;123;248;10;0;109;27;5;287;31;552
132;1.28.1;2017-04-06;944;609;305;62;8;36;49;58;124;249;11;0;109;27;5;288;31;551
133;1.28.2;2017-04-30;944;609;307;62;8;36;49;58;124;249;11;0;109;27;5;289;31;551
134;1.29.0;2017-07-13;968;622;315;62;8;36;48;58;127;258;11;0;113;29;7;306;33;521
135;1.29.1;2017-08-23;968;622;315;62;8;36;48;58;127;258;11;0;113;29;7;306;33;521
136;1.29.2;2017-11-14;969;623;315;62;8;36;48;58;127;258;11;0;113;29;7;306;33;521
137;1.30.0;2017-12-08;985;636;323;66;9;37;47;59;128;262;12;0;118;29;6;321;33;523
138;1.31.0;2018-06-13;1013;667;336;71;9;38;46;63;131;267;13;0;127;29;1;330;31;593
139;1.31.1;2018-09-20;1012;666;336;71;9;38;46;63;131;266;13;0;127;29;1;330;31;593
