"id";"version";"date"
"1";"1.1.0";"2003-12-08"
"2";"1.2.0";"2004-03-24"
"3";"1.2.1";"2004-03-28"
"4";"1.2.2";"2004-03-29"
"5";"1.2.3";"2004-04-02"
"6";"1.2.4";"2004-04-13"
"7";"1.2.5";"2004-05-03"
"8";"1.2.6";"2004-05-25"
"9";"1.3.0";"2004-08-12"
"10";"1.3.1";"2004-08-14"
"11";"1.3.2";"2004-08-30"
"12";"1.3.3";"2004-09-09"
"13";"1.3.4";"2004-09-29"
"14";"1.3.5";"2004-09-30"
"15";"1.3.6";"2004-10-14"
"16";"1.3.7";"2004-10-18"
"17";"1.3.8";"2004-11-15"
"18";"1.3.9";"2004-12-12"
"19";"1.3.10";"2005-02-04"
"20";"1.3.11";"2005-02-21"
"21";"1.4.0";"2005-03-21"
"22";"1.4.1";"2005-04-17"
"23";"1.4.2";"2005-04-21"
"24";"1.4.3";"2005-04-29"
"25";"1.4.4";"2005-05-04"
"26";"1.4.5";"2005-06-03"
"27";"1.4.6";"2005-07-07"
"28";"1.4.7";"2005-07-16"
"29";"1.4.8";"2005-08-23"
"30";"1.4.9";"2005-08-29"
"31";"1.4.10";"2005-09-21"
"33";"1.5.0";"2005-10-06"
"34";"1.5.1";"2005-10-26"
"35";"1.5.2";"2005-11-03"
"36";"1.5.3";"2005-12-04"
"37";"1.5.4";"2005-12-22"
"38";"1.5.5";"2006-01-05"
"39";"1.5.6";"2006-01-19"
"40";"1.5.7";"2006-03-02"
"41";"1.5.8";"2006-03-26"
"43";"1.6.1";"2006-04-05"
"44";"1.6.2";"2006-04-08"
"45";"1.6.3";"2006-04-11"
"46";"1.6.4";"2006-05-02"
"47";"1.6.5";"2006-05-03"
"48";"1.6.6";"2006-05-23"
"49";"1.6.7";"2006-06-06"
"50";"1.7.0";"2006-07-07"
"51";"1.7.1";"2006-07-09"
"52";"1.8.0";"2006-10-10"
"53";"1.8.1";"2006-10-11"
"54";"1.8.2";"2006-10-14"
"55";"1.9.0";"2007-01-10"
"56";"1.9.1";"2007-01-24"
"57";"1.9.2";"2007-02-14"
"58";"1.9.3";"2007-02-21"
"59";"1.10.0";"2007-05-09"
"60";"1.10.1";"2007-07-13"
"61";"1.11.0";"2007-09-10"
"62";"1.11.1";"2008-01-24"
"63";"1.11.2";"2008-03-03"
"64";"1.12.0";"2008-03-20"
"65";"1.13.0";"2008-08-14"
"66";"1.13.1";"2008-09-06"
"67";"1.13.2";"2008-10-02"
"68";"1.13.3";"2008-12-15"
"69";"1.13.4";"2009-02-07"
"71";"1.14.0";"2009-02-22"
"72";"1.15.0";"2009-06-10"
"73";"1.15.1";"2009-07-13"
"74";"1.15.2";"2010-03-08"
"75";"1.15.4";"2010-05-28"
"76";"1.16.0";"2010-07-28"
"77";"1.16.1";"2011-01-04"
"78";"1.16.2";"2011-02-01"
"79";"1.16.3";"2011-04-12"
"80";"1.16.4";"2011-04-14"
"81";"1.16.5";"2011-05-05"
"82";"1.17.0";"2011-06-22"
"84";"1.18.0";"2011-11-28"
"85";"1.18.1";"2012-01-11"
"86";"1.18.2";"2012-03-22"
"87";"1.18.3";"2012-04-25"
"88";"1.19.0";"2012-05-02"
"89";"1.19.1";"2012-06-12"
"90";"1.19.2";"2012-08-31"
"91";"1.20.0";"2012-11-09"
"92";"1.20.1";"2012-11-30"
"93";"1.20.2";"2012-12-04"
"94";"1.20.3";"2013-03-04"
"95";"1.20.4";"2013-04-15"
"96";"1.20.5";"2013-05-01"
"97";"1.20.6";"2013-05-21"
"98";"1.21.0";"2013-05-25"
"99";"1.21.1";"2013-05-28"
"100";"1.21.2";"2013-09-04"
"101";"1.21.3";"2013-11-14"
"102";"1.22.0";"2013-12-06"
"103";"1.22.1";"2014-01-14"
"104";"1.22.2";"2014-01-28"
"105";"1.22.3";"2014-02-27"
"106";"1.22.4";"2014-03-11"
"107";"1.22.5";"2014-03-27"
"108";"1.22.6";"2014-04-24"
"109";"1.22.7";"2014-05-29"
"110";"1.23.0";"2014-06-04"
"111";"1.23.1";"2014-06-25"
"112";"1.23.2";"2014-07-30"
"113";"1.23.3";"2014-08-27"
"114";"1.23.4";"2014-09-24"
"115";"1.23.5";"2014-10-01"
"116";"1.23.6";"2014-10-29"
"118";"1.24.0";"2014-11-27"
"119";"1.24.1";"2014-12-17"
"120";"1.24.2";"2015-03-31"
"122";"1.25.1";"2015-05-25"
"123";"1.25.2";"2015-08-10"
"124";"1.25.3";"2015-10-16"
"125";"1.26.0";"2015-11-25"
"126";"1.26.1";"2015-12-18"
"127";"1.26.2";"2015-12-20"
"128";"1.26.3";"2016-05-20"
"129";"1.27.0";"2016-06-28"
"130";"1.27.1";"2016-08-23"
"131";"1.28.0";"2016-11-28"
"132";"1.28.1";"2017-04-06"
"133";"1.28.2";"2017-04-30"
"134";"1.29.0";"2017-07-13"
"135";"1.29.1";"2017-08-23"
"136";"1.29.2";"2017-11-14"
"137";"1.30.0";"2017-12-08"
"138";"1.31.0";"2018-06-13"
"139";"1.31.1";"2018-09-20"
"140";"1.32.0";"2019-01-10"
"141";"1.32.1";"2019-02-14"
"142";"1.32.2";"2019-06-06"
"144";"1.33.0";"2019-07-02"
"145";"1.33.1";"2019-10-07"
