"id";"version";"PHP";"HTML";"JavaScript";"CSS";"HTML_template";"HTML_diff";"Client";"SUM"
"1";"1.5.5.1";"65010";"38067";"36180";"6345";"32716";"1356";"80592";"145754"
"2";"1.5.6";"92435";"54831";"42436";"6865";"49285";"1551";"104132";"190621"
"3";"1.5.6.1";"91891";"49854";"41215";"5892";"48216";"1638";"96961";"183965"
"4";"1.5.6.2";"92121";"49999";"41340";"5892";"48361";"1638";"97231";"184358"
"5";"1.5.6.3";"92138";"49999";"41340";"5892";"48361";"1638";"97231";"184384"
"6";"1.5.6.4";"92142";"49999";"41340";"5892";"48361";"1638";"97231";"184402"
"7";"2.0.0.0";"106700";"65327";"32150";"31282";"63464";"1854";"128759";"245797"
"8";"2.0.1.0";"108334";"66059";"36541";"31555";"64211";"1839";"134155";"253196"
"9";"2.0.1.1";"108344";"66053";"36543";"31568";"64210";"1834";"134164";"253185"
"10";"2.0.2.0";"114817";"69203";"39257";"44943";"67321";"1873";"153403";"278207"
"11";"2.0.3.0";"116416";"70006";"39388";"44943";"68107";"1890";"154337";"280699"
"12";"2.0.3.1";"116441";"70034";"39388";"44944";"68131";"1894";"154366";"280785"
"13";"2.1.0.0";"115934";"70300";"39503";"35066";"68502";"1789";"144869";"268635"
"14";"2.1.0.1";"115959";"70304";"39503";"35066";"68505";"1790";"144873";"268669"
"15";"2.1.0.2";"115959";"70304";"39503";"35066";"68505";"1790";"144873";"268672"
"16";"2.2.0.0";"122158";"74210";"46139";"23896";"72254";"1947";"144245";"276344"
"17";"2.3.0.0";"132343";"80213";"74599";"27848";"77792";"1998";"182660";"323546"
"18";"2.3.0.1";"132353";"80212";"74599";"27848";"77792";"1997";"182659";"323555"
"19";"2.3.0.2";"132332";"80192";"74599";"27848";"77772";"1997";"182639";"323514"
"20";"3.0.0.0";"139104";"83663";"162403";"28283";"80968";"2272";"274349";"423137"
"23";"3.0.1.1";"141925";"85587";"175573";"28744";"82901";"2263";"289904";"440567"
"24";"3.0.1.2";"141922";"85617";"176149";"28744";"82931";"2263";"290510";"441179"
"25";"3.0.2.0";"142947";"86161";"176192";"28746";"83454";"2284";"291099";"442754"
"26";"3.0.3.0";"147693";"89325";"177829";"28921";"86603";"2299";"296075";"450928"
"27";"3.0.3.1";"147693";"89325";"177829";"28921";"86603";"2299";"296075";"450928"
"28";"3.0.3.2";"148204";"89437";"177907";"28920";"86715";"2299";"296264";"451552"
