Id;Version;Date; max-lines;max-lines-per-function;max-params;complexity;max-depth;max-nested-callbacks
1;2_7_2;2005-06-01;6;49;12;28;0;0
2;2_8_0;2005-11-11;8;64;17;36;0;0
3;2_8_1;2006-01-17;8;64;18;36;0;0
4;2_8_3;2007-08-22;8;66;18;51;6;0
5;2_9_0;2008-08-06;10;94;57;115;77;0
6;3_0_0;2009-03-15;10;97;57;115;77;0
7;3_0_1;2009-03-31;10;97;57;115;77;0
8;3_1_0;2009-08-24;9;68;15;35;0;0
9;3_2_0;2010-02-16;10;68;51;103;77;0
10;4_0_0;2011-03-26;16;181;110;217;150;0
11;4_1_0;2011-09-21;125;965;406;691;320;12
12;4_1_1;2012-08-30;138;1257;622;1086;398;13
13;4_1_2;2013-08-17;139;1277;671;1167;410;13
14;4_1_2_3;2013-11-02;139;1277;671;1167;410;13
15;4_1_2_6;2014-06-07;139;1277;671;1167;410;13
16;4_1_2_7;2014-06-13;139;1277;671;1167;410;13
17;4_2_0;2014-12-21;145;1885;816;1481;483;18
18;4_2_0_3;2015-05-30;145;1885;816;1481;483;18
19;4_2_1;2016-03-24;164;2551;1106;2053;605;18
20;4_2_2;2016-05-18;164;2552;1106;2053;605;18
21;5_0_0;2017-02-14;261;7853;2731;4144;739;191
22;5_0_0_5;2017-09-23;261;7853;2731;4144;739;191
23;5_0_0_6;2017-11-10;261;7853;2731;4144;739;191
24;5_0_1;2018-04-21;209;10191;3102;4710;946;200
25;5_0_1_1;2018-04-28;209;10191;3102;4710;946;200
26;5_0_1_2;2018-05-07;209;10191;3102;4710;946;200
27;5_0_1_3;2018-05-28;209;10191;3102;4710;946;200
28;5_0_1_4;2018-07-15;209;10191;3102;4710;946;200
29;5_0_1_5;2018-08-17;209;10191;3102;4710;946;200
30;5_0_1_6;2018-09-09;209;10191;3087;4708;946;200
31;5_0_1_7;2019-02-15;210;10191;3087;4708;946;200
32;5_0_2;2019-08-04;42;1684;503;975;239;6
33;5_0_2_1;2019-10-11;41;1670;503;975;239;6
