"id";"version";"date"
"1";"2.0.0";"2002-04-04"
"2";"2.0.1";"2002-05-20"
"3";"2.0.2";"2002-08-08"
"4";"2.0.3";"2002-09-28"
"5";"2.0.4";"2003-01-15"
"6";"2.0.5";"2003-06-15"
"7";"2.0.6";"2003-08-03"
"8";"2.0.7";"2004-03-13"
"9";"2.0.8";"2004-03-25"
"10";"2.0.8a";"2004-03-28"
"11";"2.0.9";"2004-07-11"
"12";"2.0.10";"2004-07-17"
"13";"2.0.11";"2004-11-18"
"14";"2.0.12";"2005-02-21"
"15";"2.0.13";"2005-02-27"
"16";"2.0.14";"2005-04-18"
"17";"2.0.15";"2005-05-13"
"18";"2.0.16";"2005-06-28"
"19";"2.0.17";"2005-08-08"
"20";"2.0.18";"2005-10-31"
"21";"2.0.19";"2005-12-30"
"22";"2.0.20";"2006-04-05"
"23";"2.0.21";"2006-05-30"
"24";"3.0.0";"2007-12-12"
"25";"3.0.1";"2008-04-08"
"26";"3.0.2";"2008-07-10"
"27";"3.0.3";"2008-11-12"
"28";"3.0.4";"2008-12-13"
"29";"3.0.5";"2009-05-31"
"30";"3.0.6";"2009-11-17"
"31";"3.0.7";"2010-02-28"
"32";"3.0.8";"2010-11-19"
"33";"3.0.9";"2011-07-10"
"34";"3.0.10";"2012-01-02"
"35";"3.0.11";"2012-08-20"
"36";"3.0.12";"2013-09-28"
"37";"3.1.0";"2014-10-28"
"38";"3.1.1";"2014-11-01"
"39";"3.1.2";"2014-11-25"
"40";"3.1.3";"2015-02-01"
"41";"3.1.4";"2015-05-03"
"42";"3.1.5";"2015-06-14"
"43";"3.1.6";"2015-09-05"
"44";"3.1.7";"2015-12-19"
"45";"3.1.8";"2016-02-18"
"46";"3.1.9";"2016-04-16"
"47";"3.1.10";"2016-10-02"
"48";"3.2.0";"2017-01-07"
"49";"3.2.1";"2017-07-16"
"50";"3.2.2";"2018-01-07"
