Id;Version;Date; max-lines;max-lines-per-function;max-params;complexity;max-depth;max-nested-callbacks
1;3.0.0;2008-09-27;5;42;19;26;1;0
2;3.0.1;2008-10-22;5;42;19;26;1;0
3;3.0.1.1;2008-10-30;5;42;19;26;1;0
4;3.1.0;2008-11-28;6;52;23;27;1;0
5;3.1.1;2008-12-06;6;52;23;27;1;0
6;3.1.2;2009-01-19;6;52;23;27;1;0
7;3.1.3;2009-02-28;6;52;23;27;1;0
8;3.1.3.1;2009-03-24;6;52;23;27;1;0
9;3.1.3.2;2009-04-14;6;52;23;27;1;0
10;3.1.4;2009-04-25;6;52;23;27;1;0
11;3.1.5;2009-05-15;6;53;23;27;1;0
12;3.2.0;2009-06-15;6;53;23;27;1;0
13;3.2.0.1;2009-06-30;6;53;23;27;1;0
14;3.2.2;2009-09-13;6;53;23;28;1;0
15;3.2.2.1;2009-10-12;6;53;23;28;1;0
16;3.2.3;2009-10-30;6;53;23;28;1;0
17;3.2.4;2009-12-02;6;53;23;28;1;0
18;3.2.5;2010-01-10;6;53;23;28;1;0
19;3.3.0;2010-03-07;6;58;24;32;5;0
20;3.3.1;2010-03-16;6;58;24;32;5;0
21;3.3.2;2010-04-13;6;58;24;32;5;0
22;3.3.3;2010-05-10;6;58;24;32;5;0
23;3.3.4;2010-06-28;6;58;24;32;5;0
24;3.3.5;2010-07-26;6;58;24;32;5;0
25;3.3.5.1;2010-08-20;6;58;24;32;5;0
26;3.3.6;2010-08-28;6;58;24;33;5;0
27;3.3.7;2010-09-07;6;58;24;33;5;0
28;3.3.8;2010-10-25;6;58;24;33;5;0
29;3.3.8.1;2010-11-29;6;58;24;33;5;0
30;3.3.9;2011-01-03;6;58;24;33;5;0
31;3.3.9.1;2011-02-08;6;58;24;33;5;0
32;3.3.9.2;2011-02-11;6;58;24;33;5;0
33;3.3.10;2011-03-19;6;58;24;33;5;0
34;3.4.0;2011-05-11;1;2;92;145;46;27
35;3.4.1;2011-05-20;1;2;92;145;46;27
36;3.4.2;2011-06-07;1;3;92;145;46;27
37;3.4.3;2011-06-27;1;3;92;145;46;27
38;3.4.3.1;2011-07-03;1;3;92;145;46;27
39;3.4.3.2;2011-07-23;1;3;92;145;46;27
40;3.4.4;2011-08-24;1;3;92;145;46;27
41;3.4.5;2011-09-14;1;3;92;145;46;27
42;3.4.6;2011-10-16;1;3;92;145;46;27
43;3.4.7;2011-10-23;1;3;92;145;46;27
44;3.4.7.1;2011-11-10;1;3;92;145;46;27
45;3.4.8;2011-12-01;1;3;92;146;46;27
46;3.4.9;2011-12-21;1;3;92;146;46;27
47;3.4.10;2012-02-14;1;3;92;146;46;27
48;3.4.10.1;2012-02-18;1;3;92;146;46;27
49;3.4.10.2;2012-03-28;1;3;92;146;46;27
50;3.5.0;2012-04-07;2;10;228;372;145;28
51;3.5.1;2012-05-03;2;10;228;372;145;28
52;3.5.2;2012-07-07;2;10;272;424;199;28
53;3.5.2.1;2012-08-03;2;10;272;424;199;28
54;3.5.2.2;2012-08-12;2;10;272;424;199;28
55;3.5.3;2012-10-08;3;9;270;400;200;28
56;3.5.4;2012-11-16;3;9;270;400;200;28
57;3.5.5;2012-12-20;3;9;270;400;200;28
58;3.5.6;2013-01-28;3;9;270;400;200;28
59;3.5.7;2013-02-15;3;9;270;400;200;28
60;3.5.8;2013-04-08;3;9;270;400;200;28
61;3.5.8.1;2013-04-24;3;9;270;400;200;28
62;4.0.0;2013-05-03;0;2;287;420;598;36
63;4.0.1;2013-05-14;0;2;287;420;599;36
64;4.0.2;2013-05-24;0;2;287;420;599;36
65;4.0.3;2013-06-05;0;2;288;420;599;36
66;4.0.4;2013-06-17;0;2;288;420;600;36
67;4.0.4.1;2013-06-30;0;2;288;420;600;36
68;4.0.4.2;2013-07-28;0;2;288;420;600;36
69;4.0.5;2013-08-04;36;634;286;419;226;36
70;4.0.6;2013-09-05;62;989;327;535;246;36
71;4.0.7;2013-09-23;62;993;328;535;246;36
72;4.0.8;2013-10-06;62;994;328;535;246;36
73;4.0.9;2013-11-04;63;995;328;535;246;36
74;4.0.10;2013-12-04;63;989;328;535;246;36
75;4.1.0;2013-12-12;66;1056;368;560;270;39
76;4.1.1;2013-12-17;66;1056;368;560;270;39
77;4.1.2;2013-12-23;66;1057;368;561;270;39
78;4.1.3;2013-12-31;66;1058;368;561;270;39
79;4.1.4;2014-01-07;66;1057;368;561;270;41
80;4.1.5;2014-01-17;66;1056;368;561;270;41
81;4.1.6;2014-01-26;66;1056;368;561;270;41
82;4.1.7;2014-02-09;65;1047;351;559;272;41
83;4.1.8;2014-02-22;65;1049;351;559;272;41
84;4.1.9;2014-03-06;65;1050;351;559;272;41
86;4.1.11;2014-03-22;65;1050;351;559;272;41
87;4.1.12;2014-03-27;65;1050;351;559;272;41
88;4.1.13;2014-04-13;65;1050;351;559;272;41
89;4.1.14;2014-04-26;65;1049;351;559;272;41
90;4.2.0;2014-05-08;65;1067;352;558;270;42
91;4.2.1;2014-05-13;154;1547;420;666;357;42
92;4.2.2;2014-05-20;154;1547;420;666;357;42
93;4.2.3;2014-06-08;154;1546;420;666;357;42
94;4.2.4;2014-06-20;154;1546;420;666;357;42
95;4.2.5;2014-06-26;154;1546;420;666;357;42
96;4.2.6;2014-07-17;154;1546;420;666;357;42
97;4.2.7;2014-07-31;154;1546;420;666;357;42
98;4.2.7.1;2014-08-17;154;1546;420;666;357;42
99;4.2.8;2014-08-31;154;1546;420;666;357;42
100;4.2.8.1;2014-09-13;154;1546;420;666;357;42
101;4.2.9;2014-09-20;154;1547;420;666;357;42
102;4.2.9.1;2014-10-01;154;1547;420;666;357;42
103;4.2.10;2014-10-11;154;1547;420;666;357;42
104;4.2.10.1;2014-10-21;154;1547;420;666;357;42
105;4.2.11;2014-10-31;154;1547;420;666;357;42
106;4.2.12;2014-11-20;154;1548;420;666;357;42
107;4.2.13;2014-11-30;154;1548;420;666;357;42
108;4.2.13.1;2014-12-03;154;1548;420;666;357;42
109;4.3.0;2014-12-05;160;1645;441;677;351;40
110;4.3.1;2014-12-08;160;1644;441;677;351;40
111;4.3.2;2014-12-12;160;1644;441;677;351;40
112;4.3.3;2014-12-21;160;1644;441;677;351;40
113;4.3.4;2014-12-29;160;1644;441;677;351;40
114;4.3.5;2015-01-05;160;1644;441;677;351;40
115;4.3.6;2015-01-07;160;1644;441;677;351;40
116;4.3.7;2015-01-15;160;1644;441;677;351;40
117;4.3.8;2015-01-24;160;1644;441;677;351;40
118;4.3.9;2015-02-05;160;1644;441;677;351;40
119;4.3.10;2015-02-20;160;1644;441;677;351;40
120;4.3.11;2015-03-02;160;1644;441;677;351;40
121;4.3.11.1;2015-03-04;160;1644;441;677;351;40
122;4.3.12;2015-03-14;160;1644;441;677;351;40
123;4.3.13;2015-03-29;160;1646;441;677;351;40
124;4.4.0;2015-04-01;165;1978;514;818;407;36
125;4.4.1;2015-04-07;165;1979;514;818;407;36
126;4.4.1.1;2015-04-08;165;1979;514;818;407;36
127;4.4.2;2015-04-13;165;1980;514;818;407;36
128;4.4.3;2015-04-20;165;1981;514;818;407;36
129;4.4.4;2015-04-26;165;1981;514;818;407;36
130;4.4.5;2015-05-05;165;1981;514;818;407;36
131;4.4.6;2015-05-07;165;1981;514;818;407;36
132;4.4.6.1;2015-05-13;165;1981;514;818;407;36
133;4.4.7;2015-05-16;165;1981;514;818;407;36
134;4.4.8;2015-05-28;165;1981;514;818;407;36
135;4.4.9;2015-06-04;165;1981;514;818;407;36
136;4.4.10;2015-06-17;165;1981;514;818;407;36
137;4.4.11;2015-07-06;165;1981;514;818;407;36
138;4.4.12;2015-07-20;165;1982;514;818;407;36
139;4.4.13;2015-08-07;165;1982;514;818;407;36
140;4.4.13.1;2015-08-08;165;1982;514;818;407;36
141;4.4.14;2015-08-20;165;1983;514;818;407;36
142;4.4.14.1;2015-09-08;165;1983;514;818;407;36
143;4.4.15;2015-09-20;165;1983;514;818;407;36
144;4.5.0;2015-09-23;169;2043;516;834;408;39
145;4.5.0.1;2015-09-24;169;2043;516;834;408;39
146;4.5.0.2;2015-09-25;169;2043;516;834;408;39
147;4.5.1;2015-10-23;169;2043;516;834;408;39
148;4.5.2;2015-11-23;169;2043;516;834;408;39
149;4.5.3;2015-12-23;169;2043;516;834;408;39
150;4.5.3.1;2015-12-25;169;2043;516;834;408;39
151;4.5.4;2016-01-28;169;2045;516;834;408;39
152;4.5.4.1;2016-01-29;169;2045;516;834;408;39
153;4.5.5.1;2016-02-29;169;2044;517;834;408;39
154;4.6.0;2016-03-22;176;2059;490;850;347;38
155;4.6.1;2016-05-03;176;2060;490;850;347;38
156;4.6.2;2016-05-25;176;2060;490;850;347;38
157;4.6.3;2016-06-23;176;2060;490;850;347;38
158;4.6.4;2016-08-16;176;2059;490;849;347;38
159;4.6.5;2016-11-25;176;2057;490;849;347;39
160;4.6.5.1;2016-11-26;176;2057;490;849;347;39
161;4.6.5.2;2016-12-05;176;2057;490;849;347;39
162;4.6.6;2017-01-23;176;2060;491;851;347;39
163;4.7.0;2017-03-29;50;875;335;504;178;38
164;4.7.1;2017-05-26;50;875;335;504;178;38
165;4.7.2;2017-06-29;175;2034;470;754;300;42
166;4.7.3;2017-07-20;175;2034;470;754;300;42
