Id;Version;Date; embed JS;inline JS;embed CSS;inline CSS;css in JS;css in JS: jquery
1;0.1.0;2002-02-11;1;0;0;0;0;0
2;0.5.0;2002-12-14;3;0;0;6;3;0
3;0.6.0;2002-12-24;3;0;0;8;3;0
4;0.6.5;2003-01-17;3;1;1;8;3;0
5;3.0.1;2003-08-13;3;8;1;11;2;0
6;3.2.1;2003-12-03;5;10;1;12;2;0
7;3.3.1;2004-03-07;6;10;0;12;2;0
8;3.4.1;2004-07-01;6;11;0;13;2;0
9;3.5.1;2004-12-13;6;11;0;22;2;0
10;3.5.2;2005-02-18;6;11;0;22;2;0
11;3.5.3;2005-04-16;6;11;0;22;2;0
12;3.5.4;2005-07-15;6;11;0;22;2;0
13;3.5.5;2005-08-12;6;11;0;22;2;0
14;3.5.6;2005-10-18;6;11;0;22;2;0
15;4.0.1;2005-11-23;7;11;1;21;0;0
16;4.1.1;2007-03-24;17;20;1;24;39;0
17;4.1.2;2007-06-01;17;20;1;24;39;0
18;4.1.3;2007-07-11;17;20;1;24;39;0
19;4.2.1;2008-08-02;23;37;1;122;141;0
20;4.2.2;2008-12-18;23;37;1;122;141;0
21;4.2.3;2010-03-23;23;37;1;122;141;0
22;5.0.0;2010-11-29;20;20;1;114;8;6
23;5.0.1;2010-12-13;20;20;1;114;8;6
24;5.0.2;2011-01-03;20;20;1;114;8;6
25;5.0.3;2011-10-03;20;20;1;114;8;6
26;5.0.4;2012-03-22;20;20;1;114;8;6
27;5.1.0;2013-04-14;21;17;1;76;8;6
28;5.6.0;2018-11-12;22;17;1;76;8;6
29;7.12.0;2019-09-28;22;17;1;76;8;6
