"id";"version";"PHP";"HTML";"JavaScript";"CSS";"HTML_template";"HTML_diff";"Client";"SUM"
"1";"0.1.0";"783";"106";"7";"0";"0";"106";"113";"889"
"2";"0.5.0";"3625";"297";"869";"202";"0";"185";"1368";"4939"
"3";"0.6.0";"4198";"301";"869";"107";"0";"189";"1277";"5421"
"4";"0.6.5";"5042";"262";"871";"107";"0";"150";"1240";"6226"
"5";"3.0.1";"8085";"168";"416";"193";"0";"168";"777";"8841"
"6";"3.2.1";"10179";"174";"441";"207";"0";"174";"822";"10960"
"7";"3.3.1";"11005";"181";"479";"207";"0";"181";"867";"11825"
"8";"3.4.1";"12730";"183";"479";"207";"0";"183";"869";"13552"
"9";"3.5.1";"14603";"187";"479";"263";"0";"187";"929";"15485"
"10";"3.5.2";"14620";"189";"479";"263";"0";"189";"931";"15504"
"11";"3.5.3";"14630";"189";"479";"263";"0";"189";"931";"15514"
"12";"3.5.4";"14643";"189";"479";"263";"0";"189";"931";"15527"
"13";"3.5.5";"14675";"189";"479";"263";"0";"189";"931";"15559"
"14";"3.5.6";"14675";"189";"479";"263";"0";"189";"931";"15559"
"15";"4.0.1";"17807";"162";"118";"308";"0";"162";"588";"18344"
"16";"4.1.1";"23955";"256";"705";"333";"0";"256";"1294";"25322"
"17";"4.1.2";"23913";"258";"705";"333";"0";"258";"1296";"25282"
"18";"4.1.3";"23899";"260";"705";"333";"0";"260";"1298";"25270"
"19";"4.2.1";"28150";"3070";"15038";"836";"0";"2527";"18944";"48720"
"20";"4.2.2";"28157";"3070";"15038";"836";"0";"2527";"18944";"48727"
"21";"4.2.3";"28166";"3070";"15038";"839";"0";"2527";"18947";"48739"
"22";"5.0.0";"23583";"190";"693";"757";"0";"190";"1640";"25089"
"23";"5.0.1";"23582";"190";"693";"757";"0";"190";"1640";"25088"
"24";"5.0.2";"23747";"190";"693";"758";"0";"190";"1641";"25254"
"25";"5.0.3";"23763";"190";"696";"758";"0";"190";"1644";"25273"
"26";"5.0.4";"23891";"190";"696";"758";"0";"190";"1644";"25401"
"27";"5.1.0";"24208";"197";"726";"761";"0";"197";"1684";"25738"
"28";"5.6.0";"24535";"215";"730";"1082";"0";"215";"2027";"26416"
"29";"7.12.0";"24779";"215";"730";"1082";"0";"215";"2027";"26660"
