Id;Version;Date; max-lines;max-lines-per-function;max-params;complexity;max-depth;max-nested-callbacks
1;0.1.0;2002-02-11;0;0;0;0;0;0
2;0.5.0;2002-12-14;2;13;9;2;0;0
3;0.6.0;2002-12-24;2;13;9;2;0;0
4;0.6.5;2003-01-17;2;13;9;2;0;0
5;3.0.1;2003-08-13;1;3;2;2;0;0
6;3.2.1;2003-12-03;1;3;2;2;0;0
7;3.3.1;2004-03-07;1;4;2;2;0;0
8;3.4.1;2004-07-01;1;4;2;2;0;0
9;3.5.1;2004-12-13;1;4;2;2;0;0
10;3.5.2;2005-02-18;1;4;2;2;0;0
11;3.5.3;2005-04-16;1;4;2;2;0;0
12;3.5.4;2005-07-15;1;4;2;2;0;0
13;3.5.5;2005-08-12;1;4;2;2;0;0
14;3.5.6;2005-10-18;1;4;2;2;0;0
15;4.0.1;2005-11-23;0;0;0;0;0;0
16;4.1.1;2007-03-24;1;6;3;1;0;0
17;4.1.2;2007-06-01;1;6;3;1;0;0
18;4.1.3;2007-07-11;1;6;3;1;0;0
19;4.2.1;2008-08-02;17;182;50;38;15;0
20;4.2.2;2008-12-18;17;182;50;38;15;0
21;4.2.3;2010-03-23;17;182;50;38;15;0
22;5.0.0;2010-11-29;0;13;1;1;0;0
23;5.0.1;2010-12-13;0;13;1;1;0;0
24;5.0.2;2011-01-03;0;13;1;1;0;0
25;5.0.3;2011-10-03;0;13;1;1;0;0
26;5.0.4;2012-03-22;0;13;1;1;0;0
27;5.1.0;2013-04-14;0;13;1;1;0;0
28;5.6.0;2018-11-12;0;13;1;1;0;0
29;7.12.0;2019-09-28;0;13;1;1;0;0
