Id;Version;Date; embed JS;inline JS;embed CSS;inline CSS;css in JS;css in JS: jquery
1;1.5.0.0;2011-07-06;294;445;28;4083;508;512
2;1.5.0.1;2011-11-23;351;429;38;4586;514;644
3;1.5.0.2;2011-12-23;288;412;12;4366;485;576
4;1.5.0.3;2011-12-29;286;408;10;4328;485;581
5;1.5.0.5;2012-02-14;239;360;10;3974;484;570
6;1.5.0.9;2012-03-26;247;357;10;3979;486;577
7;1.5.0.13;2012-06-07;237;356;11;3967;740;600
8;1.5.0.15;2012-08-06;235;356;11;4011;740;600
9;1.5.0.17;2012-09-13;245;372;11;4024;745;660
10;1.5.1.0;2012-10-04;243;372;11;4001;745;660
11;1.5.2.0;2012-10-23;244;373;11;4006;745;660
12;1.5.3.0;2012-12-28;248;374;11;4007;746;670
13;1.5.3.1;2012-12-31;256;383;11;4032;746;670
14;1.5.4.0;2013-03-27;266;401;12;2443;745;655
15;1.5.4.1;2013-04-25;266;401;12;2445;745;655
16;1.5.5.0;2013-08-29;274;399;12;2452;736;593
17;1.5.6.0;2013-10-07;268;399;12;2456;720;593
18;1.6.0.1;2013-11-18;318;435;54;2321;714;644
19;1.5.6.1;2013-11-20;269;402;12;2465;720;593
20;1.6.0.2;2013-12-19;303;391;38;1840;721;664
21;1.5.6.2;2014-01-20;260;399;10;2415;720;593
22;1.6.0.3;2014-02-03;231;372;39;1761;460;463
23;1.6.0.4;2014-03-06;205;320;41;1743;125;388
24;1.6.0.5;2014-03-17;204;320;40;1741;125;387
25;1.6.0.6;2014-04-10;165;264;37;1767;125;372
26;1.6.0.7;2014-06-17;169;267;37;1775;125;387
27;1.6.0.8;2014-06-20;169;267;37;1775;125;387
28;1.6.0.9;2014-07-30;169;269;37;1790;135;387
29;1.6.0.10;2014-11-14;171;274;39;1790;135;384
30;1.6.0.11;2015-01-07;170;287;39;1801;135;387
31;1.6.0.12;2015-02-23;169;289;39;1805;135;387
32;1.6.0.13;2015-02-24;169;289;39;1805;135;387
33;1.6.0.14;2015-03-06;169;289;39;1805;135;387
34;1.6.1.0;2015-07-02;169;456;40;1492;135;411
35;1.6.1.1;2015-08-20;169;456;40;1496;135;406
36;1.6.1.2;2015-10-29;171;456;40;1497;135;406
37;1.6.1.3;2015-11-26;171;456;40;1497;135;406
38;1.6.1.4;2016-01-07;171;456;40;1497;135;406
39;1.6.1.5;2016-04-15;171;462;40;1414;135;406
40;1.6.1.6;2016-06-15;171;462;40;1414;135;406
41;1.6.1.7;2016-09-08;171;462;40;1414;135;406
42;1.6.1.8;2016-10-20;171;462;40;1414;135;406
43;1.6.1.9;2016-11-07;174;462;40;1414;135;406
44;1.7.0.0;2016-11-08;158;222;45;1368;199;725
45;1.7.0.1;2016-11-16;158;222;45;1368;199;725
46;1.7.0.2;2016-11-28;158;222;45;1368;202;729
47;1.7.0.3;2016-12-21;158;222;45;1368;199;726
48;1.7.0.4;2017-01-10;158;222;45;1368;175;680
49;1.7.0.5;2017-02-13;158;222;45;1368;263;1081
50;1.7.0.6;2017-03-03;159;222;45;1368;263;1081
51;1.7.1.0;2017-04-03;160;225;45;1371;175;683
52;1.7.1.1;2017-04-20;160;225;45;1371;174;684
53;1.7.1.2;2017-06-07;160;225;45;1371;174;684
54;1.7.2.0;2017-07-20;159;212;45;1369;302;1022
55;1.7.2.1;2017-08-18;159;212;45;1369;310;1045
56;1.7.2.2;2017-08-31;159;212;45;1369;310;1045
57;1.7.2.3;2017-10-05;159;212;45;1369;310;1045
58;1.7.2.4;2017-10-24;159;212;45;1369;310;1045
59;1.7.2.5;2018-02-21;159;212;45;1369;310;1045
60;1.7.3.0;2018-02-26;160;212;46;1388;191;700
61;1.7.3.1;2018-04-09;160;213;47;1387;191;700
62;1.7.3.2;2018-05-03;160;213;47;1387;191;700
63;1.7.3.3;2018-05-24;160;213;47;1387;191;701
64;1.7.3.4;2018-06-27;160;213;47;1387;191;701
65;1.7.4.0;2018-07-03;159;201;47;1376;191;690
66;1.7.4.1;2018-07-16;159;201;47;1376;191;690
67;1.7.4.2;2018-07-27;159;201;47;1376;191;690
68;1.7.4.3;2018-10-03;159;201;47;1376;191;690
69;1.7.4.4;2018-11-06;159;201;47;1376;191;690
70;1.7.5.0;2018-12-17;159;200;46;1374;166;647
71;1.7.5.1;2019-02-18;159;200;46;1374;167;649
72;1.7.5.2;2019-05-02;159;200;46;1374;167;649
73;1.7.6.0;2019-07-09;153;189;356;3703;171;648
74;1.7.6.1;2019-08-26;153;189;356;3698;171;648
