"id";"version";"date"
"1";"1.5.0.0";"2011-07-06"
"2";"1.5.0.1";"2011-11-23"
"3";"1.5.0.2";"2011-12-23"
"4";"1.5.0.3";"2011-12-29"
"5";"1.5.0.5";"2012-02-14"
"6";"1.5.0.9";"2012-03-26"
"7";"1.5.0.13";"2012-06-07"
"8";"1.5.0.15";"2012-08-06"
"9";"1.5.0.17";"2012-09-13"
"10";"1.5.1.0";"2012-10-04"
"11";"1.5.2.0";"2012-10-23"
"12";"1.5.3.0";"2012-12-28"
"13";"1.5.3.1";"2012-12-31"
"14";"1.5.4.0";"2013-03-27"
"15";"1.5.4.1";"2013-04-25"
"16";"1.5.5.0";"2013-08-29"
"17";"1.5.6.0";"2013-10-07"
"18";"1.6.0.1";"2013-11-18"
"19";"1.5.6.1";"2013-11-20"
"20";"1.6.0.2";"2013-12-19"
"21";"1.5.6.2";"2014-01-20"
"22";"1.6.0.3";"2014-02-03"
"23";"1.6.0.4";"2014-03-06"
"24";"1.6.0.5";"2014-03-17"
"25";"1.6.0.6";"2014-04-10"
"26";"1.6.0.7";"2014-06-17"
"27";"1.6.0.8";"2014-06-20"
"28";"1.6.0.9";"2014-07-30"
"29";"1.6.0.10";"2014-11-14"
"30";"1.6.0.11";"2015-01-07"
"31";"1.6.0.12";"2015-02-23"
"32";"1.6.0.13";"2015-02-24"
"33";"1.6.0.14";"2015-03-06"
"34";"1.6.1.0";"2015-07-02"
"35";"1.6.1.1";"2015-08-20"
"36";"1.6.1.2";"2015-10-29"
"37";"1.6.1.3";"2015-11-26"
"38";"1.6.1.4";"2016-01-07"
"39";"1.6.1.5";"2016-04-15"
"40";"1.6.1.6";"2016-06-15"
"41";"1.6.1.7";"2016-09-08"
"42";"1.6.1.8";"2016-10-20"
"43";"1.6.1.9";"2016-11-07"
"44";"1.7.0.0";"2016-11-08"
"45";"1.7.0.1";"2016-11-16"
"46";"1.7.0.2";"2016-11-28"
"47";"1.7.0.3";"2016-12-21"
"48";"1.7.0.4";"2017-01-10"
"49";"1.7.0.5";"2017-02-13"
"50";"1.7.0.6";"2017-03-03"
"51";"1.7.1.0";"2017-04-03"
"52";"1.7.1.1";"2017-04-20"
"53";"1.7.1.2";"2017-06-07"
"54";"1.7.2.0";"2017-07-20"
"55";"1.7.2.1";"2017-08-18"
"56";"1.7.2.2";"2017-08-31"
"57";"1.7.2.3";"2017-10-05"
"58";"1.7.2.4";"2017-10-24"
"59";"1.7.2.5";"2018-02-21"
"60";"1.7.3.0";"2018-02-26"
"61";"1.7.3.1";"2018-04-09"
"62";"1.7.3.2";"2018-05-03"
"63";"1.7.3.3";"2018-05-24"
"64";"1.7.3.4";"2018-06-27"
"65";"1.7.4.0";"2018-07-03"
"66";"1.7.4.1";"2018-07-16"
"67";"1.7.4.2";"2018-07-27"
"68";"1.7.4.3";"2018-10-03"
"69";"1.7.4.4";"2018-11-06"
"70";"1.7.5.0";"2018-12-17"
"71";"1.7.5.1";"2019-02-18"
"72";"1.7.5.2";"2019-05-02"
"73";"1.7.6.0";"2019-07-09"
"74";"1.7.6.1";"2019-08-26"
