"id";"version";"date"
"1";"1.0.0";"2014-04-05"
"2";"1.0.1";"2014-05-09"
"3";"1.0.2";"2014-07-20"
"4";"1.0.3";"2014-09-29"
"5";"1.0.4";"2014-12-18"
"6";"1.0.5";"2015-01-23"
"7";"1.1.0";"2015-02-07"
"8";"1.1.1";"2015-03-16"
"9";"1.1.2";"2015-06-05"
"10";"1.1.3";"2015-09-10"
"11";"1.1.4";"2015-12-23"
"12";"1.1.5";"2016-04-19"
"13";"1.2.0";"2016-05-21"
"14";"1.2.1";"2016-07-26"
"15";"1.2.2";"2016-09-28"
"16";"1.2.3";"2016-11-28"
"17";"1.2.4";"2017-03-10"
"18";"1.2.5";"2017-04-28"
"19";"1.3.0";"2017-06-26"
"20";"1.3.1";"2017-09-04"
"21";"1.3.2";"2017-10-30"
"22";"1.3.3";"2017-11-08"
"23";"1.3.4";"2018-01-14"
"24";"1.3.5";"2018-03-15"
"25";"1.3.6";"2018-04-11"
"26";"1.3.7";"2018-07-27"
"27";"1.3.8";"2018-10-26"
"28";"1.3.9";"2019-03-31"
"29";"1.3.10";"2019-08-28"
"30";"1.4.0";"2019-11-09"
"31";"1.4.1";"2019-11-22"
