Id;Version;Date; embed JS;inline JS;embed CSS;inline CSS;css in JS;css in JS: jquery
1;2.0;2010-07-21;7;25;2;56;17;47
2;2.0.1;2010-08-04;7;25;2;56;17;47
4;2.0.3;2010-08-11;8;25;2;58;17;47
7;2.0.6;2010-09-01;8;25;2;55;17;47
10;2.0.9;2010-09-15;8;25;2;55;17;46
11;2.0.10;2010-09-30;8;25;2;55;17;46
12;2.0.11;2010-10-06;8;25;2;55;17;46
14;2.0.13;2010-10-27;11;25;3;55;18;46
15;2.0.14;2010-11-09;13;25;6;56;22;54
16;2.0.15;2010-11-25;13;25;6;56;22;55
17;2.0.16;2010-12-02;13;25;6;56;22;55
20;2.0.17.2;2011-01-18;14;25;6;65;41;98
21;2.0.17.3;2011-01-19;14;25;6;65;41;98
22;2.0.17.4;2011-01-25;14;25;6;65;29;89
24;2.0.17.6;2011-01-26;14;25;6;65;29;89
26;2.0.17.8;2011-01-31;14;25;6;65;29;89
27;2.0.17.9;2011-03-22;14;25;6;65;29;89
28;2.0.17.10;2011-05-23;14;25;6;65;29;89
29;2.0.16.1;2011-05-24;13;25;6;56;22;55
30;2.0.18;2011-11-03;15;26;10;55;28;91
31;2.0.18.1;2011-11-08;15;26;10;55;28;91
32;2.0.18.3;2012-03-05;15;26;10;55;28;91
33;2.0.18.4;2012-03-26;15;26;10;55;28;91
34;2.0.18.5;2012-04-11;15;26;10;55;28;91
35;2.0.18.6;2013-03-22;15;26;10;55;28;91
37;2.0.18.8;2013-04-05;15;26;10;55;28;91
38;2.0.18.9;2013-11-26;15;26;10;55;28;91
39;2.0.18.10;2013-12-22;15;26;10;55;28;91
40;2.0.18.11;2014-04-21;15;26;10;55;28;91
41;2.1;2014-04-28;20;26;25;67;60;104
42;2.1.1;2014-08-02;21;27;24;67;60;104
43;2.1.2;2014-09-05;21;27;24;67;60;104
44;2.1.3;2014-09-09;21;27;24;67;60;104
45;2.1.6;2014-11-21;21;27;24;67;60;104
46;2.1.7;2015-01-09;21;27;24;67;60;104
47;2.1.8;2015-01-15;21;27;24;67;60;104
49;2.1.8p2;2015-01-16;21;27;24;67;60;104
50;2.1.9;2015-03-18;21;27;24;67;60;104
51;2.1.10;2015-05-04;21;27;24;67;60;104
52;2.1.11;2015-06-12;17;1;23;32;60;104
53;2.1.12;2015-10-15;17;1;23;32;60;104
54;2.1.12p3;2015-10-21;17;1;23;32;60;104
55;2.1.13p1;2015-11-02;17;1;23;32;60;104
56;2.2;2015-11-11;18;1;28;36;103;283
57;2.2.1;2016-05-07;18;1;28;36;103;283
58;2.3;2016-11-18;17;2;30;78;103;289
59;2.5;2017-12-23;34;2;14;148;152;359
60;2.5.1;2018-01-25;34;2;14;148;152;359
61;2.6;2018-05-15;34;2;14;150;155;359
62;2.6.1;2018-08-17;34;2;14;150;155;359
63;2.6.3;2018-09-24;34;2;14;150;155;359
64;2.6.4;2018-10-29;34;2;14;150;155;359
65;2.8;2019-02-07;32;2;14;184;161;357
66;2.8.1;2019-03-15;32;2;14;184;161;357
67;2.8.2;2019-04-16;32;2;15;183;161;310
68;2.8.3;2019-04-23;32;2;14;184;161;357
69;2.8.4;2019-06-04;32;2;14;184;161;357
70;3.0;2019-06-10;32;2;15;183;161;310
71;3.0.1;2019-06-11;32;2;15;183;161;310
72;3.0.2;2019-06-20;32;2;15;183;161;310
73;3.1;2019-07-10;32;2;15;182;161;314
74;3.2;2019-08-29;33;2;15;210;161;314
75;3.3;2019-10-28;33;2;16;206;161;314
