"id";"version";"date"
"1";"2.0";"2010-07-21"
"2";"2.0.1";"2010-08-04"
"4";"2.0.3";"2010-08-11"
"7";"2.0.6";"2010-09-01"
"10";"2.0.9";"2010-09-15"
"11";"2.0.10";"2010-09-30"
"12";"2.0.11";"2010-10-06"
"14";"2.0.13";"2010-10-27"
"15";"2.0.14";"2010-11-09"
"16";"2.0.15";"2010-11-25"
"17";"2.0.16";"2010-12-02"
"20";"2.0.17.2";"2011-01-18"
"21";"2.0.17.3";"2011-01-19"
"22";"2.0.17.4";"2011-01-25"
"24";"2.0.17.6";"2011-01-26"
"26";"2.0.17.8";"2011-01-31"
"27";"2.0.17.9";"2011-03-22"
"28";"2.0.17.10";"2011-05-23"
"29";"2.0.16.1";"2011-05-24"
"30";"2.0.18";"2011-11-03"
"31";"2.0.18.1";"2011-11-08"
"32";"2.0.18.3";"2012-03-05"
"33";"2.0.18.4";"2012-03-26"
"34";"2.0.18.5";"2012-04-11"
"35";"2.0.18.6";"2013-03-22"
"37";"2.0.18.8";"2013-04-05"
"38";"2.0.18.9";"2013-11-26"
"39";"2.0.18.10";"2013-12-22"
"40";"2.0.18.11";"2014-04-21"
"41";"2.1";"2014-04-28"
"42";"2.1.1";"2014-08-02"
"43";"2.1.2";"2014-09-05"
"44";"2.1.3";"2014-09-09"
"45";"2.1.6";"2014-11-21"
"46";"2.1.7";"2015-01-09"
"47";"2.1.8";"2015-01-15"
"49";"2.1.8p2";"2015-01-16"
"50";"2.1.9";"2015-03-18"
"51";"2.1.10";"2015-05-04"
"52";"2.1.11";"2015-06-12"
"53";"2.1.12";"2015-10-15"
"54";"2.1.12p3";"2015-10-21"
"55";"2.1.13p1";"2015-11-02"
"56";"2.2";"2015-11-11"
"57";"2.2.1";"2016-05-07"
"58";"2.3";"2016-11-18"
"59";"2.5";"2017-12-23"
"60";"2.5.1";"2018-01-25"
"61";"2.6";"2018-05-15"
"62";"2.6.1";"2018-08-17"
"63";"2.6.3";"2018-09-24"
"64";"2.6.4";"2018-10-29"
"65";"2.8";"2019-02-07"
"66";"2.8.1";"2019-03-15"
"67";"2.8.2";"2019-04-16"
"68";"2.8.3";"2019-04-23"
"69";"2.8.4";"2019-06-04"
"70";"3.0";"2019-06-10"
"71";"3.0.1";"2019-06-11"
"72";"3.0.2";"2019-06-20"
"73";"3.1";"2019-07-10"
"74";"3.2";"2019-08-29"
"75";"3.3";"2019-10-28"
