id;version1;version2;date1;date2;count
2;1.1.0;1.2.0;2003-12-08;2004-03-24;0
3;1.2.0;1.2.1;2004-03-24;2004-03-28;0
4;1.2.1;1.2.2;2004-03-28;2004-03-29;0
5;1.2.2;1.2.3;2004-03-29;2004-04-02;0
6;1.2.3;1.2.4;2004-04-02;2004-04-13;0
7;1.2.4;1.2.5;2004-04-13;2004-05-03;0
8;1.2.5;1.2.6;2004-05-03;2004-05-25;0
9;1.2.6;1.3.0;2004-05-25;2004-08-12;0
10;1.3.0;1.3.1;2004-08-12;2004-08-14;0
11;1.3.1;1.3.2;2004-08-14;2004-08-30;0
12;1.3.2;1.3.3;2004-08-30;2004-09-09;0
13;1.3.3;1.3.4;2004-09-09;2004-09-29;0
14;1.3.4;1.3.5;2004-09-29;2004-09-30;0
15;1.3.5;1.3.6;2004-09-30;2004-10-14;0
16;1.3.6;1.3.7;2004-10-14;2004-10-18;0
17;1.3.7;1.3.8;2004-10-18;2004-11-15;0
18;1.3.8;1.3.9;2004-11-15;2004-12-12;0
19;1.3.9;1.3.10;2004-12-12;2005-02-04;0
20;1.3.10;1.3.11;2005-02-04;2005-02-21;0
21;1.3.11;1.4.0;2005-02-21;2005-03-21;0
22;1.4.0;1.4.1;2005-03-21;2005-04-17;0
23;1.4.1;1.4.2;2005-04-17;2005-04-21;0
24;1.4.2;1.4.3;2005-04-21;2005-04-29;0
25;1.4.3;1.4.4;2005-04-29;2005-05-04;0
26;1.4.4;1.4.5;2005-05-04;2005-06-03;0
27;1.4.5;1.4.6;2005-06-03;2005-07-07;0
28;1.4.6;1.4.7;2005-07-07;2005-07-16;0
29;1.4.7;1.4.8;2005-07-16;2005-08-23;0
30;1.4.8;1.4.9;2005-08-23;2005-08-29;0
31;1.4.9;1.4.10;2005-08-29;2005-09-21;0
33;1.4.10;1.5.0;2005-09-21;2005-10-06;0
34;1.5.0;1.5.1;2005-10-06;2005-10-26;0
35;1.5.1;1.5.2;2005-10-26;2005-11-03;0
36;1.5.2;1.5.3;2005-11-03;2005-12-04;0
37;1.5.3;1.5.4;2005-12-04;2005-12-22;0
38;1.5.4;1.5.5;2005-12-22;2006-01-05;0
39;1.5.5;1.5.6;2006-01-05;2006-01-19;0
40;1.5.6;1.5.7;2006-01-19;2006-03-02;0
41;1.5.7;1.5.8;2006-03-02;2006-03-26;0
43;1.5.8;1.6.1;2006-03-26;2006-04-05;0
44;1.6.1;1.6.2;2006-04-05;2006-04-08;0
45;1.6.2;1.6.3;2006-04-08;2006-04-11;0
46;1.6.3;1.6.4;2006-04-11;2006-05-02;0
47;1.6.4;1.6.5;2006-05-02;2006-05-03;0
