id;version1;version2;date1;date2;count
2;2005-07-01;2005-07-13;2005-07-01;2005-07-13;0
3;2005-07-13;2005-09-19;2005-07-13;2005-09-19;0
4;2005-09-19;2005-09-22;2005-09-19;2005-09-22;0
5;2005-09-22;2006-03-05;2005-09-22;2006-03-05;0
6;2006-03-05;2006-03-09;2006-03-05;2006-03-09;0
7;2006-03-09;2006-11-06;2006-03-09;2006-11-06;0
8;2006-11-06;2007-06-26;2006-11-06;2007-07-02;0
9;2007-06-26;2008-05-04;2007-07-02;2008-05-04;0
10;2008-05-04;2008-05-05;2008-05-04;2008-06-02;0
11;2008-05-05;2010-11-07;2008-06-02;2010-11-07;11
12;2010-11-07;2010-11-07a;2010-11-07;2011-01-16;11
13;2010-11-07a;2011_05_25;2011-01-16;2011-05-25;23
14;2011_05_25;2011_05_25a;2011-05-25;2011-06-14;2
15;2011_05_25a;2012-01-25;2011-06-14;2012-01-25;28
16;2012-01-25;2012-01-25b;2012-01-25;2012-07-13;42
17;2012-01-25b;2012-10-13;2012-07-13;2012-10-13;18
18;2012-10-13;2013-05-10;2012-10-13;2013-05-10;83
19;2013-05-10;2013-05-10a;2013-05-10;2013-06-16;12
20;2013-05-10a;2013-12-08;2013-06-16;2013-12-08;239
21;2013-12-08;2014-05-05;2013-12-08;2014-05-05;205
22;2014-05-05;2014-05-05a;2014-05-05;2014-06-25;90
23;2014-05-05a;2014-09-29;2014-06-25;2014-09-29;109
24;2014-09-29;2014-09-29a;2014-09-29;2014-10-08;15
25;2014-09-29a;2014_09_29b;2014-10-08;2014-12-03;53
26;2014_09_29b;2014_09_29c;2014-12-03;2015-02-24;105
27;2014_09_29c;2014_09_29d;2015-02-24;2015-03-19;30
28;2014_09_29d;2015-08-10;2015-03-19;2015-08-10;202
29;2015-08-10;2015-08-10a;2015-08-10;2015-08-23;30
30;2015-08-10a;2016-06-26;2015-08-23;2016-06-26;287
31;2016-06-26;2016-06-26a;2016-06-26;2016-07-03;14
32;2016-06-26a;2017-02-19;2016-07-03;2017-02-19;218
33;2017-02-19;2017-02-19a;2017-02-19;2017-02-20;1
34;2017-02-19a;2017-02-19b;2017-02-20;2017-03-07;40
35;2017-02-19b;2017-02-19c;2017-03-07;2017-08-11;180
36;2017-02-19c;2017-02-19d;2017-08-11;2017-08-22;14
37;2017-02-19d;2017-02-19e;2017-08-22;2017-08-23;1
38;2017-02-19e;2018-04-22;2017-08-23;2018-04-22;237
39;2018-04-22;2018-04-22a;2018-04-22;2018-05-03;43
40;2018-04-22a;2018-04-22b;2018-05-03;2019-01-06;285
41;2018-04-22b;next;2019-01-06;2020-05-01;410
