id;version1;version2;date1;date2;count
2;1.5.0.0;1.5.0.1;2011-07-06;2011-11-23;0
3;1.5.0.1;1.5.0.2;2011-11-23;2011-12-23;0
4;1.5.0.2;1.5.0.3;2011-12-23;2011-12-29;0
5;1.5.0.3;1.5.0.5;2011-12-29;2012-02-14;0
6;1.5.0.5;1.5.0.9;2012-02-14;2012-03-26;0
7;1.5.0.9;1.5.0.13;2012-03-26;2012-06-07;0
8;1.5.0.13;1.5.0.15;2012-06-07;2012-08-06;0
9;1.5.0.15;1.5.0.17;2012-08-06;2012-09-13;0
10;1.5.0.17;1.5.1.0;2012-09-13;2012-10-04;0
11;1.5.1.0;1.5.2.0;2012-10-04;2012-10-23;0
12;1.5.2.0;1.5.3.0;2012-10-23;2012-12-28;0
13;1.5.3.0;1.5.3.1;2012-12-28;2012-12-31;0
14;1.5.3.1;1.5.4.0;2012-12-31;2013-03-27;164
15;1.5.4.0;1.5.4.1;2013-03-27;2013-04-25;53
16;1.5.4.1;1.5.5.0;2013-04-25;2013-08-29;265
17;1.5.5.0;1.5.6.0;2013-08-29;2013-10-07;138
18;1.5.6.0;1.6.0.1;2013-10-07;2013-11-18;185
19;1.6.0.1;1.5.6.1;2013-11-18;2013-11-20;9
20;1.5.6.1;1.6.0.2;2013-11-20;2013-12-19;151
21;1.6.0.2;1.5.6.2;2013-12-19;2014-01-20;122
22;1.5.6.2;1.6.0.3;2014-01-20;2014-02-03;57
23;1.6.0.3;1.6.0.4;2014-02-03;2014-03-06;169
24;1.6.0.4;1.6.0.5;2014-03-06;2014-03-17;58
25;1.6.0.5;1.6.0.6;2014-03-17;2014-04-10;98
26;1.6.0.6;1.6.0.7;2014-04-10;2014-06-17;232
27;1.6.0.7;1.6.0.8;2014-06-17;2014-06-20;7
28;1.6.0.8;1.6.0.9;2014-06-20;2014-07-30;119
29;1.6.0.9;1.6.0.10;2014-07-30;2014-11-14;261
30;1.6.0.10;1.6.0.11;2014-11-14;2015-01-07;87
31;1.6.0.11;1.6.0.12;2015-01-07;2015-02-23;156
32;1.6.0.12;1.6.0.13;2015-02-23;2015-02-24;6
33;1.6.0.13;1.6.0.14;2015-02-24;2015-03-06;41
34;1.6.0.14;1.6.1.0;2015-03-06;2015-07-02;776
35;1.6.1.0;1.6.1.1;2015-07-02;2015-08-20;408
36;1.6.1.1;1.6.1.2;2015-08-20;2015-10-29;606
37;1.6.1.2;1.6.1.3;2015-10-29;2015-11-26;166
38;1.6.1.3;1.6.1.4;2015-11-26;2016-01-07;135
39;1.6.1.4;1.6.1.5;2016-01-07;2016-04-15;738
40;1.6.1.5;1.6.1.6;2016-04-15;2016-06-15;359
41;1.6.1.6;1.6.1.7;2016-06-15;2016-09-08;466
42;1.6.1.7;1.6.1.8;2016-09-08;2016-10-20;508
43;1.6.1.8;1.6.1.9;2016-10-20;2016-11-07;194
44;1.6.1.9;1.7.0.0;2016-11-07;2016-11-08;5
45;1.7.0.0;1.7.0.1;2016-11-08;2016-11-16;83
46;1.7.0.1;1.7.0.2;2016-11-16;2016-11-28;97
47;1.7.0.2;1.7.0.3;2016-11-28;2016-12-21;146
48;1.7.0.3;1.7.0.4;2016-12-21;2017-01-10;78
49;1.7.0.4;1.7.0.5;2017-01-10;2017-02-13;200
50;1.7.0.5;1.7.0.6;2017-02-13;2017-03-03;101
51;1.7.0.6;1.7.1.0;2017-03-03;2017-04-03;101
52;1.7.1.0;1.7.1.1;2017-04-03;2017-04-20;75
53;1.7.1.1;1.7.1.2;2017-04-20;2017-06-07;166
54;1.7.1.2;1.7.2.0;2017-06-07;2017-07-20;197
55;1.7.2.0;1.7.2.1;2017-07-20;2017-08-18;92
56;1.7.2.1;1.7.2.2;2017-08-18;2017-08-31;30
57;1.7.2.2;1.7.2.3;2017-08-31;2017-10-05;108
58;1.7.2.3;1.7.2.4;2017-10-05;2017-10-24;40
59;1.7.2.4;1.7.2.5;2017-10-24;2018-02-21;347
60;1.7.2.5;1.7.3.0;2018-02-21;2018-02-26;24
61;1.7.3.0;1.7.3.1;2018-02-26;2018-04-09;126
62;1.7.3.1;1.7.3.2;2018-04-09;2018-05-03;91
63;1.7.3.2;1.7.3.3;2018-05-03;2018-05-24;98
64;1.7.3.3;1.7.3.4;2018-05-24;2018-06-27;103
65;1.7.3.4;1.7.4.0;2018-06-27;2018-07-03;30
66;1.7.4.0;1.7.4.1;2018-07-03;2018-07-16;70
67;1.7.4.1;1.7.4.2;2018-07-16;2018-07-27;63
68;1.7.4.2;1.7.4.3;2018-07-27;2018-10-03;1440
69;1.7.4.3;1.7.4.4;2018-10-03;2018-11-06;448
70;1.7.4.4;1.7.5.0;2018-11-06;2018-12-17;516
71;1.7.5.0;1.7.5.1;2018-12-17;2019-02-18;823
72;1.7.5.1;1.7.5.2;2019-02-18;2019-05-02;1019
73;1.7.5.2;1.7.6.0;2019-05-02;2019-07-09;911
74;1.7.6.0;1.7.6.1;2019-07-09;2019-08-26;704
75;1.7.6.1;next;2019-08-26;2019-11-28;1122
