id;version1;version2;date1;date2;count
2;1.0.0;1.0.1;2014-04-05;2014-05-09;64
3;1.0.1;1.0.2;2014-05-09;2014-07-20;86
4;1.0.2;1.0.3;2014-07-20;2014-09-29;84
5;1.0.3;1.0.4;2014-09-29;2014-12-18;93
6;1.0.4;1.0.5;2014-12-18;2015-01-23;34
7;1.0.5;1.1.0;2015-01-23;2015-02-07;20
8;1.1.0;1.1.1;2015-02-07;2015-03-16;39
9;1.1.1;1.1.2;2015-03-16;2015-06-05;66
10;1.1.2;1.1.3;2015-06-05;2015-09-10;79
11;1.1.3;1.1.4;2015-09-10;2015-12-23;66
12;1.1.4;1.1.5;2015-12-23;2016-04-19;90
13;1.1.5;1.2.0;2016-04-19;2016-05-21;49
14;1.2.0;1.2.1;2016-05-21;2016-07-26;105
15;1.2.1;1.2.2;2016-07-26;2016-09-28;80
16;1.2.2;1.2.3;2016-09-28;2016-11-28;87
17;1.2.3;1.2.4;2016-11-28;2017-03-10;149
18;1.2.4;1.2.5;2017-03-10;2017-04-28;55
19;1.2.5;1.3.0;2017-04-28;2017-06-26;73
20;1.3.0;1.3.1;2017-06-26;2017-09-04;121
21;1.3.1;1.3.2;2017-09-04;2017-10-30;82
22;1.3.2;1.3.3;2017-10-30;2017-11-08;11
23;1.3.3;1.3.4;2017-11-08;2018-01-14;108
24;1.3.4;1.3.5;2018-01-14;2018-03-15;78
25;1.3.5;1.3.6;2018-03-15;2018-04-11;29
26;1.3.6;1.3.7;2018-04-11;2018-07-27;122
27;1.3.7;1.3.8;2018-07-27;2018-10-26;129
28;1.3.8;1.3.9;2018-10-26;2019-03-31;207
29;1.3.9;1.3.10;2019-03-31;2019-08-28;200
30;1.3.10;1.4.0;2019-08-28;2019-11-09;105
31;1.4.0;1.4.1;2019-11-09;2019-11-22;57
32;1.4.1;next;2019-11-22;2020-01-01;70
