id;version1;version2;date1;date2;count
2;3.0.0;3.0.1;2008-09-27;2008-10-22;20
3;3.0.1;3.0.1.1;2008-10-22;2008-10-30;10
4;3.0.1.1;3.1.0;2008-10-30;2008-11-28;12
5;3.1.0;3.1.1;2008-11-28;2008-12-06;10
6;3.1.1;3.1.2;2008-12-06;2009-01-19;19
7;3.1.2;3.1.3;2009-01-19;2009-02-28;25
8;3.1.3;3.1.3.1;2009-02-28;2009-03-24;15
9;3.1.3.1;3.1.3.2;2009-03-24;2009-04-14;10
10;3.1.3.2;3.1.4;2009-04-14;2009-04-25;7
11;3.1.4;3.1.5;2009-04-25;2009-05-15;10
12;3.1.5;3.2.0;2009-05-15;2009-06-15;15
13;3.2.0;3.2.0.1;2009-06-15;2009-06-30;8
14;3.2.0.1;3.2.2;2009-06-30;2009-09-13;38
15;3.2.2;3.2.2.1;2009-09-13;2009-10-12;7
16;3.2.2.1;3.2.3;2009-10-12;2009-10-30;7
17;3.2.3;3.2.4;2009-10-30;2009-12-02;16
18;3.2.4;3.2.5;2009-12-02;2010-01-10;10
19;3.2.5;3.3.0;2010-01-10;2010-03-07;39
20;3.3.0;3.3.1;2010-03-07;2010-03-16;11
21;3.3.1;3.3.2;2010-03-16;2010-04-13;40
22;3.3.2;3.3.3;2010-04-13;2010-05-10;17
23;3.3.3;3.3.4;2010-05-10;2010-06-28;18
24;3.3.4;3.3.5;2010-06-28;2010-07-26;20
25;3.3.5;3.3.5.1;2010-07-26;2010-08-20;21
26;3.3.5.1;3.3.6;2010-08-20;2010-08-28;7
27;3.3.6;3.3.7;2010-08-28;2010-09-07;19
28;3.3.7;3.3.8;2010-09-07;2010-10-25;31
29;3.3.8;3.3.8.1;2010-10-25;2010-11-29;15
30;3.3.8.1;3.3.9;2010-11-29;2011-01-03;34
31;3.3.9;3.3.9.1;2011-01-03;2011-02-08;42
32;3.3.9.1;3.3.9.2;2011-02-08;2011-02-11;5
33;3.3.9.2;3.3.10;2011-02-11;2011-03-19;50
34;3.3.10;3.4.0;2011-03-19;2011-05-11;74
35;3.4.0;3.4.1;2011-05-11;2011-05-20;15
36;3.4.1;3.4.2;2011-05-20;2011-06-07;26
37;3.4.2;3.4.3;2011-06-07;2011-06-27;27
38;3.4.3;3.4.3.1;2011-06-27;2011-07-03;7
39;3.4.3.1;3.4.3.2;2011-07-03;2011-07-23;33
40;3.4.3.2;3.4.4;2011-07-23;2011-08-24;27
41;3.4.4;3.4.5;2011-08-24;2011-09-14;21
42;3.4.5;3.4.6;2011-09-14;2011-10-16;31
43;3.4.6;3.4.7;2011-10-16;2011-10-23;11
44;3.4.7;3.4.7.1;2011-10-23;2011-11-10;7
45;3.4.7.1;3.4.8;2011-11-10;2011-12-01;13
46;3.4.8;3.4.9;2011-12-01;2011-12-21;10
47;3.4.9;3.4.10;2011-12-21;2012-02-14;33
48;3.4.10;3.4.10.1;2012-02-14;2012-02-18;1
49;3.4.10.1;3.4.10.2;2012-02-18;2012-03-28;23
50;3.4.10.2;3.5.0;2012-03-28;2012-04-07;10
51;3.5.0;3.5.1;2012-04-07;2012-05-03;53
52;3.5.1;3.5.2;2012-05-03;2012-07-07;62
53;3.5.2;3.5.2.1;2012-07-07;2012-08-03;30
54;3.5.2.1;3.5.2.2;2012-08-03;2012-08-12;7
55;3.5.2.2;3.5.3;2012-08-12;2012-10-08;31
56;3.5.3;3.5.4;2012-10-08;2012-11-16;48
57;3.5.4;3.5.5;2012-11-16;2012-12-20;23
58;3.5.5;3.5.6;2012-12-20;2013-01-28;49
59;3.5.6;3.5.7;2013-01-28;2013-02-15;33
60;3.5.7;3.5.8;2013-02-15;2013-04-08;66
61;3.5.8;3.5.8.1;2013-04-08;2013-04-24;32
62;3.5.8.1;4.0.0;2013-04-24;2013-05-03;28
63;4.0.0;4.0.1;2013-05-03;2013-05-14;36
64;4.0.1;4.0.2;2013-05-14;2013-05-24;32
65;4.0.2;4.0.3;2013-05-24;2013-06-05;11
66;4.0.3;4.0.4;2013-06-05;2013-06-17;20
67;4.0.4;4.0.4.1;2013-06-17;2013-06-30;23
68;4.0.4.1;4.0.4.2;2013-06-30;2013-07-28;42
69;4.0.4.2;4.0.5;2013-07-28;2013-08-04;9
70;4.0.5;4.0.6;2013-08-04;2013-09-05;47
71;4.0.6;4.0.7;2013-09-05;2013-09-23;21
72;4.0.7;4.0.8;2013-09-23;2013-10-06;37
73;4.0.8;4.0.9;2013-10-06;2013-11-04;35
74;4.0.9;4.0.10;2013-11-04;2013-12-04;37
75;4.0.10;4.1.0;2013-12-04;2013-12-12;10
76;4.1.0;4.1.1;2013-12-12;2013-12-17;15
77;4.1.1;4.1.2;2013-12-17;2013-12-23;10
